i,item_id,split_key,source,target_kind,target_text,target_id,nll_base,top1_base,rank_base,nll_true,top1_true,rank_true,nll_decoy,top1_decoy,rank_decoy,changed_frac_bin,changed_target_frac_proxy,content_overlap,decoy_pair_id,decoy_row_index,doc_id,example_id,overlap_bin,pair_id,rewrite_words,row_index,source_words,target_char_end,target_char_start,target_id_in_decoy_source,target_id_in_source
0,edit:frontier_consolidation_fwcompact_medium_027780:0:58-63,row:264,compact_edit,content,aging,6189,7.364250183105469,0,214,8.161787986755371,0,268,7.73020076751709,0,282,0p2_0p4,0.3,0.6666666666666666,frontier_consolidation_fwcompact_medium_029445,170,15333,750264,0p6_0p8,frontier_consolidation_fwcompact_medium_027780,20,264,29,63,58,False,False
1,edit:frontier_consolidation_fwcompact_medium_044135:0:70-74,row:1763,compact_edit,content,acks,3160,7.484060287475586,0,290,13.200932502746582,0,2392,6.116471290588379,0,91,0p2_0p4,0.3,0.4375,frontier_consolidation_fwcompact_medium_030316,2191,6703,751763,0p4_0p6,frontier_consolidation_fwcompact_medium_044135,20,1763,31,74,70,False,False
2,edit:frontier_consolidation_fwcompact_medium_026603:0:0-4,row:2924,compact_edit,content,Many,3483,7.280070781707764,0,202,5.978316783905029,0,62,8.806966781616211,0,442,0p4_0p6,0.46153846153846156,0.46153846153846156,frontier_consolidation_fwcompact_medium_026079,2246,1294,752924,0p4_0p6,frontier_consolidation_fwcompact_medium_026603,13,2924,27,4,0,False,False
3,edit:frontier_consolidation_fwcompact_medium_056650:0:0-4,row:693,compact_edit,content,Cont,4898,11.140981674194336,0,3820,10.787700653076172,0,2861,10.301855087280273,0,2543,0p4_0p6,0.4375,0.5833333333333334,frontier_consolidation_fwcompact_medium_022332,31,7903,750693,0p4_0p6,frontier_consolidation_fwcompact_medium_056650,16,693,24,4,0,False,False
4,edit:frontier_consolidation_fwcompact_medium_044681:0:0-5,row:2940,compact_edit,connective,After,1482,2.5994274616241455,0,2,1.1719104051589966,1,1,4.557882785797119,0,9,0p2_0p4,0.36363636363636365,0.4,frontier_consolidation_fwcompact_medium_030115,2255,9086,752940,0p4_0p6,frontier_consolidation_fwcompact_medium_044681,11,2940,18,5,0,False,False
5,edit:frontier_consolidation_fwcompact_medium_013981:0:0-6,row:2006,compact_edit,content,Almost,11394,11.042370796203613,0,2427,12.746220588684082,0,4639,13.704453468322754,0,6991,0p4_0p6,0.4,0.5238095238095238,frontier_consolidation_fwcompact_medium_058158,2979,2039,752006,0p4_0p6,frontier_consolidation_fwcompact_medium_013981,20,2006,32,6,0,False,False
6,edit:frontier_consolidation_fwcompact_medium_013987:0:18-20,row:2931,compact_edit,content,'s,249,0.24514280259609222,1,1,0.11116280406713486,1,1,0.11873244494199753,1,1,0p2_0p4,0.3,0.6666666666666666,frontier_consolidation_fwcompact_medium_012861,1832,2039,752931,0p6_0p8,frontier_consolidation_fwcompact_medium_013987,10,2931,13,20,18,False,False
7,edit:frontier_consolidation_fwcompact_medium_021435:0:81-85,row:1374,compact_edit,content,oked,8535,4.829833507537842,0,14,6.004980087280273,0,61,4.899831771850586,0,18,0p2_0p4,0.3076923076923077,0.3333333333333333,frontier_consolidation_fwcompact_medium_001236,1038,4586,751374,lt0p4,frontier_consolidation_fwcompact_medium_021435,13,1374,21,85,81,False,False
8,edit:frontier_consolidation_fwcompact_medium_025061:0:91-94,row:1352,compact_edit,content,les,698,5.521346092224121,0,27,6.2261857986450195,0,11,5.512602806091309,0,31,0p4_0p6,0.4166666666666667,0.47619047619047616,frontier_consolidation_fwcompact_medium_045360,913,2722,751352,0p4_0p6,frontier_consolidation_fwcompact_medium_025061,24,1352,40,94,91,False,False
9,edit:frontier_consolidation_fwcompact_medium_054180:0:75-78,row:2740,compact_edit,content,see,6166,6.681480407714844,0,62,11.073060035705566,0,349,6.685781002044678,0,59,0p4_0p6,0.45454545454545453,0.4,frontier_consolidation_fwcompact_medium_006402,2098,13513,752740,0p4_0p6,frontier_consolidation_fwcompact_medium_054180,11,2740,25,78,75,False,False
10,edit:frontier_consolidation_fwcompact_medium_015436:0:17-20,row:487,compact_edit,content,zed,7912,5.554929256439209,0,34,6.134167194366455,0,23,6.5200395584106445,0,88,0p2_0p4,0.23529411764705882,0.4666666666666667,frontier_consolidation_fwcompact_medium_034375,1184,5686,750487,0p4_0p6,frontier_consolidation_fwcompact_medium_015436,16,487,33,20,17,False,False
11,edit:frontier_consolidation_fwcompact_medium_006478:0:0-3,row:1661,compact_edit,content,One,1620,10.35930061340332,0,2841,12.00685977935791,0,5944,10.980525016784668,0,2908,ge0p6,0.6666666666666666,0.4444444444444444,frontier_consolidation_fwcompact_medium_049011,1331,15070,751661,0p4_0p6,frontier_consolidation_fwcompact_medium_006478,9,1661,12,3,0,False,False
12,edit:frontier_consolidation_fwcompact_medium_031612:0:18-23,row:603,compact_edit,content,ining,1494,7.0645527839660645,0,153,8.012640953063965,0,17,6.281309604644775,0,71,0p4_0p6,0.4666666666666667,0.47368421052631576,frontier_consolidation_fwcompact_medium_014937,530,1014,750603,0p4_0p6,frontier_consolidation_fwcompact_medium_031612,15,603,25,23,18,False,False
13,edit:frontier_consolidation_fwcompact_medium_048907:0:69-71,row:2202,compact_edit,content,'s,249,3.6717453002929688,0,10,5.446263313293457,0,16,2.329854965209961,0,3,0p4_0p6,0.5263157894736842,0.5,frontier_consolidation_fwcompact_medium_030187,673,15740,752202,0p4_0p6,frontier_consolidation_fwcompact_medium_048907,19,2202,31,71,69,True,False
14,edit:frontier_consolidation_fwcompact_medium_009515:0:0-1,row:2352,compact_edit,content,P,327,5.900737762451172,0,33,6.137392044067383,0,69,7.28080940246582,0,188,0p4_0p6,0.5,0.4,frontier_consolidation_fwcompact_medium_049481,1838,16116,752352,0p4_0p6,frontier_consolidation_fwcompact_medium_009515,8,2352,12,1,0,False,False
15,edit:frontier_consolidation_fwcompact_medium_023592:0:31-37,row:1088,compact_edit,content,ations,895,4.602901935577393,0,8,5.613903522491455,0,10,3.487771511077881,0,2,0p4_0p6,0.4117647058823529,0.5625,frontier_consolidation_fwcompact_medium_045568,1832,15864,751088,0p4_0p6,frontier_consolidation_fwcompact_medium_023592,17,1088,26,37,31,False,False
16,edit:frontier_consolidation_fwcompact_medium_033468:0:0-2,row:1671,compact_edit,content,Al,927,10.15351676940918,0,2368,9.984683990478516,0,2073,11.786062240600586,0,4423,0p4_0p6,0.5,0.3888888888888889,frontier_consolidation_fwcompact_medium_001015,1856,12767,751671,lt0p4,frontier_consolidation_fwcompact_medium_033468,12,1671,33,2,0,False,False
17,edit:frontier_consolidation_fwcompact_medium_053963:0:28-33,row:1659,compact_edit,content,iders,9223,9.658805847167969,0,1691,14.423467636108398,0,4236,9.265973091125488,0,1518,0p2_0p4,0.3333333333333333,0.65,frontier_consolidation_fwcompact_medium_027596,587,6181,751659,0p6_0p8,frontier_consolidation_fwcompact_medium_053963,21,1659,28,33,28,False,False
18,edit:frontier_consolidation_fwcompact_medium_005325:0:80-86,row:351,compact_edit,content,ations,895,10.041540145874023,0,1147,4.467177867889404,0,8,9.63698673248291,0,905,0p4_0p6,0.42857142857142855,0.3888888888888889,frontier_consolidation_fwcompact_medium_021562,947,3689,750351,lt0p4,frontier_consolidation_fwcompact_medium_005325,14,351,28,86,80,False,False
19,edit:frontier_consolidation_fwcompact_medium_027899:0:80-84,row:2167,compact_edit,content,hers,2338,5.948325157165527,0,66,6.21241569519043,0,66,5.174585342407227,0,27,0p4_0p6,0.47058823529411764,0.47058823529411764,frontier_consolidation_fwcompact_medium_023191,856,12367,752167,0p4_0p6,frontier_consolidation_fwcompact_medium_027899,17,2167,29,84,80,False,False
20,edit:frontier_consolidation_fwcompact_medium_054906:0:65-67,row:2184,compact_edit,content,ps,666,8.097447395324707,0,471,7.513243675231934,0,317,7.558475494384766,0,349,0p4_0p6,0.4444444444444444,0.5555555555555556,frontier_consolidation_fwcompact_medium_028575,1729,16342,752184,0p4_0p6,frontier_consolidation_fwcompact_medium_054906,9,2184,13,67,65,False,False
21,edit:frontier_consolidation_fwcompact_medium_057447:0:60-63,row:670,compact_edit,content,ing,212,3.1148252487182617,0,4,6.228855133056641,0,54,3.4543354511260986,0,2,0p2_0p4,0.25,0.5,frontier_consolidation_fwcompact_medium_007876,580,5270,750670,0p4_0p6,frontier_consolidation_fwcompact_medium_057447,12,670,23,63,60,False,False
22,edit:frontier_consolidation_fwcompact_medium_021140:0:43-45,row:292,compact_edit,content,ed,214,5.82790470123291,0,41,3.8341476917266846,0,3,5.098777770996094,0,13,ge0p6,0.6470588235294118,0.4,frontier_consolidation_fwcompact_medium_057376,467,3878,750292,0p4_0p6,frontier_consolidation_fwcompact_medium_021140,17,292,30,45,43,False,False
23,edit:frontier_consolidation_fwcompact_medium_009970:0:48-52,row:2656,compact_edit,content,ored,2169,3.7988102436065674,0,9,5.542681694030762,0,36,4.212045669555664,0,12,0p4_0p6,0.4,0.5,frontier_consolidation_fwcompact_medium_055276,2053,2877,752656,0p4_0p6,frontier_consolidation_fwcompact_medium_009970,10,2656,20,52,48,False,False
24,edit:frontier_consolidation_fwcompact_medium_041978:0:67-71,row:493,compact_edit,content,ated,641,2.910069704055786,0,3,3.40787672996521,0,4,2.760998487472534,0,2,0p2_0p4,0.3333333333333333,0.5454545454545454,frontier_consolidation_fwcompact_medium_030170,444,8280,750493,0p4_0p6,frontier_consolidation_fwcompact_medium_041978,12,493,25,71,67,False,False
25,edit:frontier_consolidation_fwcompact_medium_030361:0:39-41,row:2530,compact_edit,content,-b,1516,7.262045860290527,0,305,11.321684837341309,0,430,6.450376510620117,0,126,0p4_0p6,0.4166666666666667,0.4117647058823529,frontier_consolidation_fwcompact_medium_021165,1962,12538,752530,0p4_0p6,frontier_consolidation_fwcompact_medium_030361,12,2530,24,41,39,False,False
26,edit:frontier_consolidation_fwcompact_medium_010361:0:35-37,row:1236,compact_edit,content,'s,249,0.906642735004425,1,1,6.440262317657471,0,23,0.7671132683753967,1,1,0p2_0p4,0.2631578947368421,0.75,frontier_consolidation_fwcompact_medium_005344,1603,6342,751236,0p6_0p8,frontier_consolidation_fwcompact_medium_010361,18,1236,25,37,35,False,False
27,edit:frontier_consolidation_fwcompact_medium_039007:0:48-53,row:2850,compact_edit,content,ounds,1129,4.981245040893555,0,19,6.440759658813477,0,76,4.772426605224609,0,13,0p4_0p6,0.5,0.4166666666666667,frontier_consolidation_fwcompact_medium_025688,2202,6156,752850,0p4_0p6,frontier_consolidation_fwcompact_medium_039007,12,2850,24,53,48,False,False
28,edit:frontier_consolidation_fwcompact_medium_013127:0:4-8,row:2769,compact_edit,content,hers,2338,5.205568313598633,0,19,4.833642959594727,0,18,3.549633026123047,0,5,0p4_0p6,0.5,0.5714285714285714,frontier_consolidation_fwcompact_medium_055913,2137,3956,752769,0p4_0p6,frontier_consolidation_fwcompact_medium_013127,8,2769,12,8,4,False,False
29,edit:frontier_consolidation_fwcompact_medium_055329:0:15-17,row:271,compact_edit,content,ed,214,5.125439167022705,0,25,4.500926494598389,0,12,5.093020439147949,0,16,ge0p6,0.6,0.6,frontier_consolidation_fwcompact_medium_010558,2248,15175,750271,0p6_0p8,frontier_consolidation_fwcompact_medium_055329,10,271,16,17,15,False,False
30,edit:frontier_consolidation_fwcompact_medium_020869:0:17-18,row:2643,compact_edit,content,s,87,6.21661901473999,0,37,7.273458480834961,0,126,6.497751235961914,0,54,0p2_0p4,0.25,0.4,frontier_consolidation_fwcompact_medium_002904,435,16567,752643,0p4_0p6,frontier_consolidation_fwcompact_medium_020869,16,2643,21,18,17,True,False
31,edit:frontier_consolidation_fwcompact_medium_015829:0:74-77,row:2800,compact_edit,content,ing,212,4.89971923828125,0,16,6.214638710021973,0,23,5.334606647491455,0,19,0p2_0p4,0.25,0.6666666666666666,frontier_consolidation_fwcompact_medium_052431,1752,4099,752800,0p6_0p8,frontier_consolidation_fwcompact_medium_015829,12,2800,16,77,74,False,False
32,edit:frontier_consolidation_fwcompact_medium_014843:0:115-119,row:1954,compact_edit,content,-sha,12182,10.878735542297363,0,4026,15.633037567138672,0,8097,11.211450576782227,0,5078,0p4_0p6,0.4117647058823529,0.55,frontier_consolidation_fwcompact_medium_043567,2904,11483,751954,0p4_0p6,frontier_consolidation_fwcompact_medium_014843,17,1954,33,119,115,False,False
33,edit:frontier_consolidation_fwcompact_medium_053410:0:14-18,row:585,compact_edit,content,ates,785,5.70970344543457,0,41,4.021091461181641,0,6,3.1473636627197266,1,1,0p2_0p4,0.3333333333333333,0.4,frontier_consolidation_fwcompact_medium_041300,519,14623,750585,0p4_0p6,frontier_consolidation_fwcompact_medium_053410,9,585,14,18,14,False,False
34,edit:frontier_consolidation_fwcompact_medium_007146:0:1-5,row:2926,compact_edit,content,ever,933,9.693778038024902,0,1513,9.142326354980469,0,835,9.036588668823242,0,1081,ge0p6,0.6666666666666666,0.625,frontier_consolidation_fwcompact_medium_023558,1848,11990,752926,0p6_0p8,frontier_consolidation_fwcompact_medium_007146,9,2926,16,5,1,False,False
35,edit:frontier_consolidation_fwcompact_medium_000097:0:0-5,row:652,compact_edit,connective,After,1482,8.102468490600586,0,271,8.288389205932617,0,244,8.786033630371094,0,515,0p2_0p4,0.35294117647058826,0.5294117647058824,frontier_consolidation_fwcompact_medium_003817,44,2306,750652,0p4_0p6,frontier_consolidation_fwcompact_medium_000097,17,652,23,5,0,False,False
36,edit:frontier_consolidation_fwcompact_medium_040187:0:61-64,row:1163,compact_edit,content,one,449,7.817759037017822,0,239,11.104369163513184,0,504,7.0694169998168945,0,186,0p2_0p4,0.34782608695652173,0.6470588235294118,frontier_consolidation_fwcompact_medium_029765,612,13328,751163,0p6_0p8,frontier_consolidation_fwcompact_medium_040187,23,1163,31,64,61,False,False
37,edit:frontier_consolidation_fwcompact_medium_030421:0:5-7,row:85,compact_edit,content,'s,249,2.4590885639190674,0,2,3.9164929389953613,0,8,2.0016138553619385,1,1,0p2_0p4,0.36363636363636365,0.5,frontier_consolidation_fwcompact_medium_037997,146,15876,750085,0p4_0p6,frontier_consolidation_fwcompact_medium_030421,11,85,19,7,5,False,False
38,edit:frontier_consolidation_fwcompact_medium_024541:0:65-67,row:1592,compact_edit,content,'s,249,1.6162464618682861,1,1,3.5763044357299805,0,4,1.993699312210083,0,2,0p4_0p6,0.5,0.45,frontier_consolidation_fwcompact_medium_059734,1777,12039,751592,0p4_0p6,frontier_consolidation_fwcompact_medium_024541,16,1592,32,67,65,False,False
