role,seed,overlap_bin,overlap_class,n_pairs,mean_delta,median_delta,se_pair_delta,frac_positive
C,43022,ALL,ALL,732,1.311811980332373,1.0328708067536354,0.059973824038192625,0.8005464480874317
C,43022,ALL,nonoverlap,727,-0.1037931703603265,-0.06354729334513347,0.045823805511650655,0.46629986244841815
C,43022,ALL,overlap,663,2.9962003956964156,2.3889066576957703,0.1117828157211854,0.9064856711915535
C,43022,high,ALL,17,1.7974703346076268,0.971946369856596,0.43223042937858225,0.9411764705882353
C,43022,high,nonoverlap,16,-0.2556607266499971,-0.24993880589803058,0.22014946201472177,0.4375
C,43022,high,overlap,17,3.5506970652788454,1.810193697611491,0.7088132819810831,1.0
C,43022,low,ALL,498,1.2132601897154351,0.9106761465469997,0.07128893413762144,0.7871485943775101
C,43022,low,nonoverlap,495,-0.02117406450249631,-0.048495968182881675,0.04822130795222905,0.4727272727272727
C,43022,low,overlap,440,2.772185498455435,2.1638017892837524,0.1353713455294357,0.8886363636363637
C,43022,partial,ALL,217,1.4999345596160394,1.2897931337356567,0.1125388187162296,0.8202764976958525
C,43022,partial,nonoverlap,216,-0.281879172670471,-0.11483057339986165,0.10527248734963245,0.4537037037037037
C,43022,partial,overlap,206,3.428919383090251,2.8506102561950684,0.20212566636327786,0.9368932038834952
C,43122,ALL,ALL,732,1.385349870397706,1.091447040024731,0.06165924019893698,0.8128415300546448
C,43122,ALL,nonoverlap,727,-0.07583847305982687,-0.04283992449442545,0.04664568904583586,0.46354883081155435
C,43122,ALL,overlap,663,3.1319029702942642,2.6181346575419107,0.1139402803344775,0.9110105580693816
C,43122,high,ALL,17,1.773965363057476,1.000542489423727,0.4450668405023797,0.7647058823529411
C,43122,high,nonoverlap,16,-0.37225621827140765,-0.40264199674129486,0.20807673766125195,0.1875
C,43122,high,overlap,17,3.628137066357714,2.2263570949435234,0.803280494985986,0.9411764705882353
C,43122,low,ALL,498,1.274068731442312,0.9522386842096845,0.07553529070559005,0.7991967871485943
C,43122,low,nonoverlap,495,-0.011752336578261774,-0.011384288469950357,0.05314761385604312,0.4888888888888889
C,43122,low,overlap,440,2.9024148115510773,2.330585158119599,0.13882446926019776,0.9022727272727272
C,43122,partial,ALL,217,1.6102878603726842,1.484741707642873,0.10759769788904563,0.847926267281106
C,43122,partial,nonoverlap,216,-0.20074566581440753,-0.16986834009488422,0.09710940309739831,0.42592592592592593
C,43122,partial,overlap,206,3.5811204956045746,3.2954951049759984,0.2013329788324146,0.9271844660194175
C,43222,ALL,ALL,732,1.3429549867671595,1.0029888401428861,0.06106418523081248,0.8142076502732241
C,43222,ALL,nonoverlap,727,-0.1043382888503191,-0.04394102096557617,0.04445230355569623,0.4676753782668501
C,43222,ALL,overlap,663,3.0807930490660094,2.3245869080225625,0.11447344556655545,0.9260935143288085
C,43222,high,ALL,17,1.8661412514656404,1.241649438937505,0.397125268452134,0.9411764705882353
C,43222,high,nonoverlap,16,-0.12201864154485519,-0.006313403447469076,0.24444478232412103,0.5
C,43222,high,overlap,17,3.643409089999444,3.288129878540834,0.67819139093766,1.0
C,43222,low,ALL,498,1.264254943611092,0.9390534857908885,0.07444637899981223,0.8072289156626506
C,43222,low,nonoverlap,495,-0.01565175484552327,-0.0017745296160380046,0.0494655331673625,0.49696969696969695
C,43222,low,overlap,440,2.8955068200587637,2.151883271833261,0.13958711309779223,0.9204545454545454
C,43222,partial,ALL,217,1.4825792033194525,1.2904037392387788,0.10962994555950215,0.8202764976958525
C,43222,partial,nonoverlap,216,-0.3062686068561587,-0.21706072986125946,0.09452131225580576,0.39814814814814814
C,43222,partial,overlap,206,3.4301205639559105,3.189230300486088,0.20649203834463153,0.9320388349514563
R,43022,ALL,ALL,732,1.3502958091931652,1.032129575808843,0.060164158508624575,0.8265027322404371
R,43022,ALL,nonoverlap,727,-0.05529972772687889,-0.004362026850382487,0.046216285587268986,0.4951856946354883
R,43022,ALL,overlap,663,3.0299605389106197,2.4829428990681968,0.11140990705486649,0.9110105580693816
R,43022,high,ALL,17,1.8385026463489291,0.9845915862048666,0.3925780404474219,0.9411764705882353
R,43022,high,nonoverlap,16,-0.37207752582617104,-0.17059522680938244,0.2551084441645492,0.4375
