arm,role,seed,checkpoint,n_records,elapsed_sec,device
D_C_43022,C,43022,chck_80M,4222,2.96,cuda:0
D_C_43022,C,43022,chck_90M,4222,1.47,cuda:0
D_C_43022,C,43022,chck_100M,4222,1.22,cuda:0
D_R_43022,R,43022,chck_80M,4222,1.65,cuda:0
D_R_43022,R,43022,chck_90M,4222,1.55,cuda:0
D_R_43022,R,43022,chck_100M,4222,1.15,cuda:0
D_V_43022,V,43022,chck_80M,4222,1.65,cuda:0
D_V_43022,V,43022,chck_90M,4222,1.55,cuda:0
D_V_43022,V,43022,chck_100M,4222,1.16,cuda:0
D_C_43122,C,43122,chck_80M,4222,1.65,cuda:0
D_C_43122,C,43122,chck_90M,4222,1.54,cuda:0
D_C_43122,C,43122,chck_100M,4222,1.17,cuda:0
D_R_43122,R,43122,chck_80M,4222,1.66,cuda:0
D_R_43122,R,43122,chck_90M,4222,1.49,cuda:0
D_R_43122,R,43122,chck_100M,4222,1.22,cuda:0
D_V_43122,V,43122,chck_80M,4222,1.66,cuda:0
D_V_43122,V,43122,chck_90M,4222,1.89,cuda:0
D_V_43122,V,43122,chck_100M,4222,1.05,cuda:0
D_C_43222,C,43222,chck_80M,4222,1.63,cuda:0
D_C_43222,C,43222,chck_90M,4222,1.55,cuda:0
D_C_43222,C,43222,chck_100M,4222,1.15,cuda:0
D_R_43222,R,43222,chck_80M,4222,1.65,cuda:0
D_R_43222,R,43222,chck_90M,4222,1.53,cuda:0
D_R_43222,R,43222,chck_100M,4222,1.17,cuda:0
D_V_43222,V,43222,chck_80M,4222,1.65,cuda:0
D_V_43222,V,43222,chck_90M,4222,1.55,cuda:0
D_V_43222,V,43222,chck_100M,4222,1.16,cuda:0
