arm,role,seed,checkpoint,pair_id,target_occurrence_index,target_token_id,overlap_bin,overlap_class,target_word,transcript_id,intact_nll,replaced_nll,delta
D_C_43022,C,43022,chck_100M,childes_vs_0028f1999bf702ef,5,521,low,nonoverlap,little,childes/CHILDES_NA/HSLLD/HV2/BR/jambr2.cha,2.0373663902282715,2.3011953830718994,0.26382899284362793
D_C_43022,C,43022,chck_100M,childes_vs_0028f1999bf702ef,10,2457,low,nonoverlap,toy,childes/CHILDES_NA/HSLLD/HV2/BR/jambr2.cha,8.754222869873047,8.0635986328125,-0.6906242370605469
D_C_43022,C,43022,chck_100M,childes_vs_0028f1999bf702ef,16,975,low,overlap,room,childes/CHILDES_NA/HSLLD/HV2/BR/jambr2.cha,3.5621516704559326,4.640006065368652,1.0778543949127197
D_C_43022,C,43022,chck_100M,childes_vs_003b01fd5ca1a561,0,1496,low,nonoverlap,maybe,childes/CHILDES_NA/MacWhinney/050913a.cha,6.562130451202393,5.915220260620117,-0.6469101905822754
D_C_43022,C,43022,chck_100M,childes_vs_003b01fd5ca1a561,1,877,low,nonoverlap,give,childes/CHILDES_NA/MacWhinney/050913a.cha,1.6046178340911865,2.003899097442627,0.39928126335144043
D_C_43022,C,43022,chck_100M,childes_vs_003b01fd5ca1a561,3,501,low,overlap,now,childes/CHILDES_NA/MacWhinney/050913a.cha,1.5654058456420898,2.963164806365967,1.397758960723877
D_C_43022,C,43022,chck_100M,childes_vs_010c69ed38da5819,1,706,partial,overlap,need,childes/CHILDES_NA/HSLLD/HV2/BR/rocbr2.cha,0.17586638033390045,4.130352973937988,3.954486593604088
D_C_43022,C,43022,chck_100M,childes_vs_010c69ed38da5819,2,6798,partial,nonoverlap,cereal,childes/CHILDES_NA/HSLLD/HV2/BR/rocbr2.cha,11.6664457321167,5.892009258270264,-5.7744364738464355
D_C_43022,C,43022,chck_100M,childes_vs_010c69ed38da5819,3,5126,partial,nonoverlap,bowl,childes/CHILDES_NA/HSLLD/HV2/BR/rocbr2.cha,13.67868423461914,8.527692794799805,-5.150991439819336
D_C_43022,C,43022,chck_100M,childes_vs_01fe3f6939ad8c72,2,490,low,nonoverlap,look,childes/CHILDES_NA/HSLLD/HV2/BR/gilbr2.cha,0.14747212827205658,0.9101512432098389,0.7626791149377823
D_C_43022,C,43022,chck_100M,childes_vs_01fe3f6939ad8c72,3,867,low,nonoverlap,book,childes/CHILDES_NA/HSLLD/HV2/BR/gilbr2.cha,5.983813285827637,5.208258628845215,-0.7755546569824219
D_C_43022,C,43022,chck_100M,childes_vs_0242cb8b606682aa,1,659,high,overlap,gonna,childes/CHILDES_NA/HSLLD/HV1/MT/melmt1.cha,0.002516200765967369,0.04732845351099968,0.04481225274503231
D_C_43022,C,43022,chck_100M,childes_vs_0242cb8b606682aa,2,610,high,overlap,come,childes/CHILDES_NA/HSLLD/HV1/MT/melmt1.cha,0.06428283452987671,3.3220767974853516,3.257793962955475
D_C_43022,C,43022,chck_100M,childes_vs_0242cb8b606682aa,4,436,high,nonoverlap,get,childes/CHILDES_NA/HSLLD/HV1/MT/melmt1.cha,4.523002624511719,2.762516975402832,-1.7604856491088867
D_C_43022,C,43022,chck_100M,childes_vs_02463003d3ba828d,0,375,high,overlap,my,childes/CHILDES_NA/HSLLD/HV1/BR/bribr1.cha,2.495767831802368,4.304098129272461,1.8083302974700928
D_C_43022,C,43022,chck_100M,childes_vs_02463003d3ba828d,5,14196,high,nonoverlap,yelled,childes/CHILDES_NA/HSLLD/HV1/BR/bribr1.cha,10.766190528869629,9.425119400024414,-1.3410711288452148
D_C_43022,C,43022,chck_100M,childes_vs_02463003d3ba828d,6,13000,high,nonoverlap,ernie,childes/CHILDES_NA/HSLLD/HV1/BR/bribr1.cha,7.575456619262695,5.910762786865234,-1.664693832397461
D_C_43022,C,43022,chck_100M,childes_vs_024dd4227fac832c,0,2352,low,nonoverlap,kept,childes/CHILDES_NA/Brown/Sarah/040711.cha,5.352643013000488,5.713493347167969,0.36085033416748047
D_C_43022,C,43022,chck_100M,childes_vs_024dd4227fac832c,3,409,low,nonoverlap,like,childes/CHILDES_NA/Brown/Sarah/040711.cha,3.09839129447937,3.9206161499023438,0.8222248554229736
D_C_43022,C,43022,chck_100M,childes_vs_024dd4227fac832c,7,369,low,overlap,know,childes/CHILDES_NA/Brown/Sarah/040711.cha,0.0675557479262352,0.5187703967094421,0.45121464878320694
D_C_43022,C,43022,chck_100M,childes_vs_0269d0bc5d471e07,0,469,low,nonoverlap,see,childes/CHILDES_NA/HSLLD/HV1/BR/jesbr1.cha,7.240278244018555,7.058760643005371,-0.1815176010131836
D_C_43022,C,43022,chck_100M,childes_vs_0269d0bc5d471e07,2,519,low,nonoverlap,got,childes/CHILDES_NA/HSLLD/HV1/BR/jesbr1.cha,4.859598636627197,3.958284854888916,-0.9013137817382812
D_C_43022,C,43022,chck_100M,childes_vs_0269d0bc5d471e07,4,497,low,nonoverlap,right,childes/CHILDES_NA/HSLLD/HV1/BR/jesbr1.cha,1.4216216802597046,3.749166488647461,2.3275448083877563
D_C_43022,C,43022,chck_100M,childes_vs_03675e789fa6f1e8,0,516,low,nonoverlap,say,childes/CHILDES_NA/HSLLD/HV1/BR/annbr1.cha,13.368929862976074,10.345288276672363,-3.023641586303711
D_C_43022,C,43022,chck_100M,childes_vs_03675e789fa6f1e8,2,659,low,nonoverlap,gonna,childes/CHILDES_NA/HSLLD/HV1/BR/annbr1.cha,0.07968340069055557,0.07289939373731613,-0.006784006953239441
D_C_43022,C,43022,chck_100M,childes_vs_03675e789fa6f1e8,4,3586,low,overlap,rose,childes/CHILDES_NA/HSLLD/HV1/BR/annbr1.cha,4.37421178817749,12.400829315185547,8.026617527008057
D_C_43022,C,43022,chck_100M,childes_vs_03a754abfec11946,2,1960,low,nonoverlap,minutes,childes/CHILDES_NA/Brown/Sarah/040111.cha,3.7910218238830566,4.228412628173828,0.4373908042907715
D_C_43022,C,43022,chck_100M,childes_vs_03a754abfec11946,3,2973,low,nonoverlap,worth,childes/CHILDES_NA/Brown/Sarah/040111.cha,5.925776958465576,6.183852195739746,0.2580752372741699
D_C_43022,C,43022,chck_100M,childes_vs_03a754abfec11946,5,15667,low,overlap,bangs,childes/CHILDES_NA/Brown/Sarah/040111.cha,0.1620643138885498,0.1365976631641388,-0.02546665072441101
D_C_43022,C,43022,chck_100M,childes_vs_03c5ceabae6b0e71,0,516,low,nonoverlap,say,childes/CHILDES_NA/MacWhinney/060422c.cha,5.271538734436035,3.727677822113037,-1.543860912322998
D_C_43022,C,43022,chck_100M,childes_vs_03c5ceabae6b0e71,1,742,low,nonoverlap,something,childes/CHILDES_NA/MacWhinney/060422c.cha,1.7439603805541992,1.872710108757019,0.12874972820281982
D_C_43022,C,43022,chck_100M,childes_vs_03c5ceabae6b0e71,3,1369,low,overlap,story,childes/CHILDES_NA/MacWhinney/060422c.cha,3.330347776412964,4.603613376617432,1.2732656002044678
D_C_43022,C,43022,chck_100M,childes_vs_043a2cec085a1edb,0,2184,low,overlap,kids,childes/CHILDES_NA/HSLLD/HV5/MT/mrkmt5.cha,1.2119847536087036,4.224710941314697,3.0127261877059937
D_C_43022,C,43022,chck_100M,childes_vs_043a2cec085a1edb,1,2782,low,nonoverlap,lunch,childes/CHILDES_NA/HSLLD/HV5/MT/mrkmt5.cha,5.009622573852539,4.78846549987793,-0.22115707397460938
D_C_43022,C,43022,chck_100M,childes_vs_043a2cec085a1edb,3,2168,low,nonoverlap,buy,childes/CHILDES_NA/HSLLD/HV5/MT/mrkmt5.cha,3.4721691608428955,3.3026723861694336,-0.16949677467346191
D_C_43022,C,43022,chck_100M,childes_vs_04667bb3b1a5305f,1,523,low,nonoverlap,where,childes/CHILDES_NA/HSLLD/HV1/TP/jestp1.cha,3.1013669967651367,5.3666558265686035,2.265288829803467
D_C_43022,C,43022,chck_100M,childes_vs_04667bb3b1a5305f,2,4899,low,nonoverlap,wooden,childes/CHILDES_NA/HSLLD/HV1/TP/jestp1.cha,8.277361869812012,8.26220703125,-0.015154838562011719
D_C_43022,C,43022,chck_100M,childes_vs_04667bb3b1a5305f,3,2843,low,overlap,pieces,childes/CHILDES_NA/HSLLD/HV1/TP/jestp1.cha,1.2975724935531616,8.255239486694336,6.957666993141174
D_C_43022,C,43022,chck_100M,childes_vs_05225a0d01878a71,1,2059,low,nonoverlap,horse,childes/CHILDES_NA/HSLLD/HV2/BR/terbr2.cha,10.02425765991211,5.639242172241211,-4.385015487670898
D_C_43022,C,43022,chck_100M,childes_vs_05225a0d01878a71,2,1690,low,overlap,turned,childes/CHILDES_NA/HSLLD/HV2/BR/terbr2.cha,0.062230441719293594,0.11524569243192673,0.05301525071263313
D_C_43022,C,43022,chck_100M,childes_vs_05225a0d01878a71,11,601,low,nonoverlap,into,childes/CHILDES_NA/HSLLD/HV2/BR/terbr2.cha,0.3637595474720001,0.557109534740448,0.19334998726844788
D_C_43022,C,43022,chck_100M,childes_vs_0550ba7a0d33052f,0,569,low,overlap,okay,childes/CHILDES_NA/MacWhinney/060027c.cha,6.170724391937256,7.057920455932617,0.8871960639953613
D_C_43022,C,43022,chck_100M,childes_vs_0550ba7a0d33052f,1,519,low,nonoverlap,got,childes/CHILDES_NA/MacWhinney/060027c.cha,1.8690518140792847,2.780686855316162,0.9116350412368774
D_C_43022,C,43022,chck_100M,childes_vs_0550ba7a0d33052f,3,564,low,nonoverlap,off,childes/CHILDES_NA/MacWhinney/060027c.cha,4.072993755340576,4.450285911560059,0.3772921562194824
