seed,overlap_bin,overlap_class,contrast,n_pairs,mean_delta_diff,median_delta_diff,se_pair_delta_diff,frac_positive
43022,ALL,ALL,VminusC,732,0.009689703938989066,0.005264249940713256,0.03288403281466836,0.5027322404371585
43022,ALL,ALL,RminusC,732,0.038483828860792185,0.049486117437482324,0.034477519481594845,0.5341530054644809
43022,ALL,ALL,VminusR,732,-0.02879412492180313,-0.022404707599586494,0.030325909935255076,0.4808743169398907
43022,ALL,nonoverlap,VminusC,727,0.05189715237368821,0.03778977257510041,0.034896868634196075,0.515818431911967
43022,ALL,nonoverlap,RminusC,727,0.04849344263344761,0.07233055432637531,0.03815403821617149,0.5337001375515819
43022,ALL,nonoverlap,VminusR,727,0.0034037097402405993,-0.01967799663543701,0.036443391042648446,0.48418156808803303
43022,ALL,overlap,VminusC,663,-0.039327353871412965,-0.017015715440113155,0.05930149748508133,0.49019607843137253
43022,ALL,overlap,RminusC,663,0.03376014321420373,0.002713953455289205,0.059615811372476936,0.5037707390648567
43022,ALL,overlap,VminusR,663,-0.07308749708561668,-0.01575331886609388,0.05025925379689026,0.48717948717948717
43022,high,ALL,VminusC,17,-0.04987609043589561,-0.016463122330605984,0.158828528185055,0.4117647058823529
43022,high,ALL,RminusC,17,0.04103231174130221,0.1322409645654261,0.1781872255960529,0.5882352941176471
43022,high,ALL,VminusR,17,-0.0909084021771978,0.1962413700918355,0.22744008749888828,0.5294117647058824
43022,high,nonoverlap,VminusC,16,0.15127472527092323,0.2666099990407626,0.20474299744172028,0.625
43022,high,nonoverlap,RminusC,16,-0.11641679917617392,-0.19798555846015614,0.23436253858267372,0.4375
43022,high,nonoverlap,VminusR,16,0.2676915244470971,0.36411593218023575,0.32478132716574004,0.6875
43022,high,overlap,VminusC,17,-0.20383342271031565,0.008919935052593475,0.2890105828050784,0.5882352941176471
43022,high,overlap,RminusC,17,0.21924085210053113,0.07624117719630397,0.32683381791137706,0.5294117647058824
43022,high,overlap,VminusR,17,-0.4230742748108467,0.012012476722399395,0.4801021616805799,0.5294117647058824
43022,low,ALL,VminusC,498,-0.0033962966291113204,-0.018954128026962246,0.04135938166759659,0.4879518072289157
43022,low,ALL,RminusC,498,-0.0014690286713266467,0.014324304958184486,0.038231536245408745,0.5120481927710844
43022,low,ALL,VminusR,498,-0.0019272679577846611,-0.029573173572619807,0.035202389457559775,0.4738955823293173
43022,low,nonoverlap,VminusC,495,0.035213383091519584,0.025233983993530273,0.03950577864035832,0.5111111111111111
43022,low,nonoverlap,RminusC,495,0.02873812628022523,0.058829387029012026,0.03806583007079609,0.5333333333333333
43022,low,nonoverlap,VminusR,495,0.00647525681129435,-0.03538082043329882,0.04047749072553974,0.4666666666666667
