contrast,overlap_bin,overlap_class,n_seeds,mean_delta_diff_across_seeds,sd_seed_delta_diff,mean_pairs
RminusC,ALL,ALL,3,0.016713295280901447,0.035363113373452895,732.0
RminusC,ALL,nonoverlap,3,-0.020273597859011016,0.06750499371482056,727.0
RminusC,ALL,overlap,3,0.056614379385752304,0.10432722255777332,663.0
RminusC,high,ALL,3,0.04314870556961281,0.09148681222460879,17.0
RminusC,high,nonoverlap,3,-0.025730832979509927,0.08712372751975812,16.0
RminusC,high,overlap,3,0.1042754278156332,0.3095891489447707,17.0
RminusC,low,ALL,3,-0.013240026847699761,0.036588676798978696,498.0
RminusC,low,nonoverlap,3,-0.03653680970104884,0.059161963417129405,495.0
RminusC,low,overlap,3,0.010436724059458955,0.10700262301251935,440.0
RminusC,partial,ALL,3,0.08338312221700887,0.04242523078899552,217.0
RminusC,partial,nonoverlap,3,0.017400502250881144,0.10002847269261846,216.0
RminusC,partial,overlap,3,0.15131307123167995,0.09497534011015248,206.0
VminusC,ALL,ALL,3,0.010831376769024716,0.011049456128354111,732.0
VminusC,ALL,nonoverlap,3,0.012447434130438695,0.03745625465996522,727.0
VminusC,ALL,overlap,3,-0.000934456584677316,0.050101884297408326,663.0
VminusC,high,ALL,3,-0.05787382350675557,0.12640789198287605,17.0
VminusC,high,nonoverlap,3,0.29534432018893614,0.2026504945412696,16.0
VminusC,high,overlap,3,-0.40722113561437084,0.21751361484525822,17.0
VminusC,low,ALL,3,0.003473672629247192,0.02256304532665905,498.0
VminusC,low,nonoverlap,3,0.006968583308248806,0.02516703165029138,495.0
VminusC,low,overlap,3,-0.014922223544419121,0.06221988463758513,440.0
VminusC,partial,ALL,3,0.03309923421740014,0.010207585097275916,217.0
VminusC,partial,nonoverlap,3,0.004047809038068527,0.07306574732891069,216.0
VminusC,partial,overlap,3,0.06247083955994006,0.051454113473785146,206.0
VminusR,ALL,ALL,3,-0.005881918511876742,0.04547993039513521,732.0
VminusR,ALL,nonoverlap,3,0.032721031989449714,0.053541577007604375,727.0
VminusR,ALL,overlap,3,-0.0575488359704296,0.14055739962875655,663.0
VminusR,high,ALL,3,-0.10102252907636837,0.03583646925415075,17.0
VminusR,high,nonoverlap,3,0.3210751531684461,0.20274633443621964,16.0
VminusR,high,overlap,3,-0.511496563430004,0.18237638279009002,17.0
VminusR,low,ALL,3,0.01671369947694695,0.059150044530112945,498.0
VminusR,low,nonoverlap,3,0.04350539300929764,0.039681684278034236,495.0
VminusR,low,overlap,3,-0.025358947603878065,0.15064026291052618,440.0
VminusR,partial,ALL,3,-0.05028388799960873,0.03222101240698597,217.0
VminusR,partial,nonoverlap,3,-0.013352693212812634,0.09087758841970915,216.0
VminusR,partial,overlap,3,-0.0888422316717399,0.1304037994829667,206.0
