role,seed,checkpoint,overlap_bin,overlap_class,n_targets,n_pairs,mean_delta,se_delta
C,43022,chck_100M,high,nonoverlap,30,16,-0.2129580012212197,0.21626755163037997
C,43022,chck_100M,high,overlap,21,17,3.772945238063888,0.6937783231207972
C,43022,chck_100M,low,nonoverlap,1002,495,-0.02953731984517234,0.04864266584673198
C,43022,chck_100M,low,overlap,441,440,2.7584773632254276,0.13640463404451303
C,43022,chck_100M,partial,nonoverlap,390,216,-0.28939981043625335,0.10581154554603002
C,43022,chck_100M,partial,overlap,227,206,3.477260421096893,0.2006793096846751
C,43022,chck_80M,high,nonoverlap,30,16,-0.26352983464797336,0.2040087812496004
C,43022,chck_80M,high,overlap,21,17,3.783872612757564,0.6960435057766853
C,43022,chck_80M,low,nonoverlap,1002,495,-0.01203621269395192,0.047257543608512066
C,43022,chck_80M,low,overlap,441,440,2.7456179083210928,0.13422465648250045
C,43022,chck_80M,partial,nonoverlap,390,216,-0.2523024910225127,0.10403034764234712
C,43022,chck_80M,partial,overlap,227,206,3.535109489276264,0.2040903312443835
C,43022,chck_90M,high,nonoverlap,30,16,-0.18174870436390242,0.21633579581620035
C,43022,chck_90M,high,overlap,21,17,3.771524920940421,0.6887746230106248
C,43022,chck_90M,low,nonoverlap,1002,495,-0.03164687268844919,0.048857584403509284
C,43022,chck_90M,low,overlap,441,440,2.784807044254165,0.13752254963413432
C,43022,chck_90M,partial,nonoverlap,390,216,-0.28765124486854826,0.10577737019421266
C,43022,chck_90M,partial,overlap,227,206,3.5048316018744363,0.20199279327600753
C,43122,chck_100M,high,nonoverlap,30,16,-0.38384897249440353,0.21854486516709093
C,43122,chck_100M,high,overlap,21,17,3.8100564498786946,0.7471517343009852
C,43122,chck_100M,low,nonoverlap,1002,495,-0.033121540191622376,0.04930277275810152
C,43122,chck_100M,low,overlap,441,440,2.894240330812857,0.13791861505433498
C,43122,chck_100M,partial,nonoverlap,390,216,-0.23953716509903852,0.09562992001281669
C,43122,chck_100M,partial,overlap,227,206,3.682032912721117,0.20749210661224746
C,43122,chck_80M,high,nonoverlap,30,16,-0.37849625075856846,0.21597146750865964
C,43122,chck_80M,high,overlap,21,17,3.8107714415860494,0.7592835107535032
C,43122,chck_80M,low,nonoverlap,1002,495,-0.020736666145305078,0.04848939196444307
C,43122,chck_80M,low,overlap,441,440,2.881182493693185,0.13938028809922023
C,43122,chck_80M,partial,nonoverlap,390,216,-0.20443636670660897,0.09316919752248763
C,43122,chck_80M,partial,overlap,227,206,3.6806184449697237,0.20894231326865062
C,43122,chck_90M,high,nonoverlap,30,16,-0.3795151946755747,0.21210508228390035
C,43122,chck_90M,high,overlap,21,17,3.8069139542945085,0.7483703778138026
C,43122,chck_90M,low,nonoverlap,1002,495,-0.04145634552359789,0.049700964825751565
C,43122,chck_90M,low,overlap,441,440,2.9207560730049527,0.13929953109178086
C,43122,chck_90M,partial,nonoverlap,390,216,-0.22813603814500263,0.09594673814277098
C,43122,chck_90M,partial,overlap,227,206,3.706030347832737,0.20882919612130027
C,43222,chck_100M,high,nonoverlap,30,16,-0.18094566569974024,0.21211579586200113
C,43222,chck_100M,high,overlap,21,17,3.6409999415322782,0.6394359153957492
C,43222,chck_100M,low,nonoverlap,1002,495,-0.029114918162425358,0.04691931492508491
C,43222,chck_100M,low,overlap,441,440,2.8907327007535577,0.13898093106684986
C,43222,chck_100M,partial,nonoverlap,390,216,-0.30235398350617826,0.09561617599970483
C,43222,chck_100M,partial,overlap,227,206,3.4788382150573063,0.20492074664371834
C,43222,chck_80M,high,nonoverlap,30,16,-0.24285118196470043,0.21470998853401574
C,43222,chck_80M,high,overlap,21,17,3.7312202903309037,0.6368585006917112
C,43222,chck_80M,low,nonoverlap,1002,495,-0.017993975077530817,0.04791556685996772
C,43222,chck_80M,low,overlap,441,440,2.8849724271786643,0.14013359852150117
C,43222,chck_80M,partial,nonoverlap,390,216,-0.2776677838025185,0.09547555975627754
C,43222,chck_80M,partial,overlap,227,206,3.521708596778299,0.20720012822680783
C,43222,chck_90M,high,nonoverlap,30,16,-0.15121955970923107,0.20610763167735233
C,43222,chck_90M,high,overlap,21,17,3.6834153561697653,0.6464371962090703
C,43222,chck_90M,low,nonoverlap,1002,495,-0.022450586713984342,0.04688514169894644
C,43222,chck_90M,low,overlap,441,440,2.9057904247985413,0.13988757924967143
C,43222,chck_90M,partial,nonoverlap,390,216,-0.29507126109913373,0.09561336889443628
C,43222,chck_90M,partial,overlap,227,206,3.473136637936549,0.20433255728140232
R,43022,chck_100M,high,nonoverlap,30,16,-0.2434600858638684,0.21808777023188156
R,43022,chck_100M,high,overlap,21,17,3.7563376354297535,0.7057216576736922
R,43022,chck_100M,low,nonoverlap,1002,495,0.015550515581454018,0.04580281974788026
R,43022,chck_100M,low,overlap,441,440,2.756158969445574,0.13089791911912974
R,43022,chck_100M,partial,nonoverlap,390,216,-0.1581958835825133,0.10108368070902989
R,43022,chck_100M,partial,overlap,227,206,3.679671159485152,0.20986707189549886
R,43022,chck_80M,high,nonoverlap,30,16,-0.31221976187080147,0.23256326594961965
R,43022,chck_80M,high,overlap,21,17,3.904417940487509,0.7200102437651799
R,43022,chck_80M,low,nonoverlap,1002,495,-0.003949959045777956,0.046128581804074344
R,43022,chck_80M,low,overlap,441,440,2.7045367892741545,0.13020112472426731
