role,seed,checkpoint,overlap_bin,overlap_class,n_targets,n_pairs,mean_delta,se_delta
R,43022,chck_80M,partial,nonoverlap,390,216,-0.18680562584493787,0.10222655863604119
R,43022,chck_80M,partial,overlap,227,206,3.6781216396294774,0.21073834233012245
R,43022,chck_90M,high,nonoverlap,30,16,-0.2513015049820145,0.22846134031209042
R,43022,chck_90M,high,overlap,21,17,3.779492332661037,0.7023632211213926
R,43022,chck_90M,low,nonoverlap,1002,495,0.015151249914022977,0.04549265480108742
R,43022,chck_90M,low,overlap,441,440,2.7460087012595134,0.1300261515945691
R,43022,chck_90M,partial,nonoverlap,390,216,-0.17110773928415698,0.101755836176854
R,43022,chck_90M,partial,overlap,227,206,3.677014677342497,0.20910923817365362
R,43122,chck_100M,high,nonoverlap,30,16,-0.3863372340798378,0.4002007594511759
R,43122,chck_100M,high,overlap,21,17,3.9860448195887286,0.6722646278724025
R,43122,chck_100M,low,nonoverlap,1002,495,-0.10755708967307638,0.05479858677856266
R,43122,chck_100M,low,overlap,441,440,3.0741589955643427,0.15014329311616587
R,43122,chck_100M,partial,nonoverlap,390,216,-0.2783457458067017,0.11638488058577559
R,43122,chck_100M,partial,overlap,227,206,3.8841374265006947,0.22007905500420102
R,43122,chck_80M,high,nonoverlap,30,16,-0.3535840562234322,0.38637663577894377
R,43122,chck_80M,high,overlap,21,17,4.134705743381,0.6645263329529495
R,43122,chck_80M,low,nonoverlap,1002,495,-0.09490354121579024,0.053162746476533004
R,43122,chck_80M,low,overlap,441,440,2.9888025468559576,0.1471449284360327
R,43122,chck_80M,partial,nonoverlap,390,216,-0.2689051814329548,0.11435508343644457
R,43122,chck_80M,partial,overlap,227,206,3.823379550803051,0.21609447304961635
R,43122,chck_90M,high,nonoverlap,30,16,-0.33349829527239006,0.39818063207564947
R,43122,chck_90M,high,overlap,21,17,4.0110933854621615,0.6653297298921942
R,43122,chck_90M,low,nonoverlap,1002,495,-0.10469180236369773,0.05440658532409124
R,43122,chck_90M,low,overlap,441,440,3.0522211152081358,0.14930519404561446
R,43122,chck_90M,partial,nonoverlap,390,216,-0.27757309686679105,0.11541080406708047
R,43122,chck_90M,partial,overlap,227,206,3.8663217968005883,0.21920585611676627
R,43222,chck_100M,high,nonoverlap,30,16,-0.1235781749089559,0.2944509371723145
R,43222,chck_100M,high,overlap,21,17,3.6207533072281097,0.5957523400803952
R,43222,chck_100M,low,nonoverlap,1002,495,-0.0674370993755966,0.04642069279663606
R,43222,chck_100M,low,overlap,441,440,2.8405797391152645,0.1384232478836821
R,43222,chck_100M,partial,nonoverlap,390,216,-0.2753260243182572,0.1004885805297274
R,43222,chck_100M,partial,overlap,227,206,3.5596851897268893,0.20691601043941865
R,43222,chck_80M,high,nonoverlap,30,16,-0.16032709746311108,0.2930987261227465
R,43222,chck_80M,high,overlap,21,17,3.6302005001122044,0.5918298308228557
R,43222,chck_80M,low,nonoverlap,1002,495,-0.05627876958306024,0.04557694899685308
R,43222,chck_80M,low,overlap,441,440,2.80705081920885,0.1368966131730791
R,43222,chck_80M,partial,nonoverlap,390,216,-0.2205517794053333,0.09843579106235055
R,43222,chck_80M,partial,overlap,227,206,3.5687832391631353,0.2070638040749794
R,43222,chck_90M,high,nonoverlap,30,16,-0.11593303096791109,0.29813031360169
R,43222,chck_90M,high,overlap,21,17,3.6139671147047054,0.5975154716648685
R,43222,chck_90M,low,nonoverlap,1002,495,-0.06470470026622484,0.046204455547765554
R,43222,chck_90M,low,overlap,441,440,2.8408528182110717,0.1380569922138705
R,43222,chck_90M,partial,nonoverlap,390,216,-0.27653028880460906,0.09989934754995283
R,43222,chck_90M,partial,overlap,227,206,3.558384705652416,0.2069282051233088
V,43022,chck_100M,high,nonoverlap,30,16,-0.1412198321893811,0.19055196086800305
V,43022,chck_100M,high,overlap,21,17,3.492079220778708,0.6151341218343167
V,43022,chck_100M,low,nonoverlap,1002,495,0.003096452359288574,0.04702847078535446
V,43022,chck_100M,low,overlap,441,440,2.7288250505312845,0.13171047271199124
V,43022,chck_100M,partial,nonoverlap,390,216,-0.19160962799946085,0.09704874940726735
V,43022,chck_100M,partial,overlap,227,206,3.5154504041724155,0.19598343470538865
V,43022,chck_80M,high,nonoverlap,30,16,-0.1261697546268503,0.22598110669196647
V,43022,chck_80M,high,overlap,21,17,3.566663739471031,0.6232839268949905
V,43022,chck_80M,low,nonoverlap,1002,495,-0.0004349879729013124,0.04742794157699952
V,43022,chck_80M,low,overlap,441,440,2.7207501622570507,0.13071044786455535
V,43022,chck_80M,partial,nonoverlap,390,216,-0.20825055298658135,0.09709485841717265
V,43022,chck_80M,partial,overlap,227,206,3.5312492164187255,0.19299967113542468
V,43022,chck_90M,high,nonoverlap,30,16,-0.1028022322182854,0.1881624889970984
V,43022,chck_90M,high,overlap,21,17,3.4459040691976304,0.6133870493402567
V,43022,chck_90M,low,nonoverlap,1002,495,0.005431412819572195,0.04670514578635712
V,43022,chck_90M,low,overlap,441,440,2.6946093895379666,0.13074350650087144
V,43022,chck_90M,partial,nonoverlap,390,216,-0.18022481677814936,0.09600589555022111
V,43022,chck_90M,partial,overlap,227,206,3.5022944423890854,0.19481670843241608
V,43122,chck_100M,high,nonoverlap,30,16,0.14243597040573755,0.2818284483863896
V,43122,chck_100M,high,overlap,21,17,3.458031836026792,0.636117702240956
V,43122,chck_100M,low,nonoverlap,1002,495,-0.017997422925718945,0.048607397570040164
V,43122,chck_100M,low,overlap,441,440,2.8635536695961457,0.14663717899248374
V,43122,chck_100M,partial,nonoverlap,390,216,-0.22627482440752478,0.09639619706206176
V,43122,chck_100M,partial,overlap,227,206,3.7114728999996993,0.212860773275423
V,43122,chck_80M,high,nonoverlap,30,16,0.11921217578152815,0.2632893246143867
V,43122,chck_80M,high,overlap,21,17,3.5857797460630536,0.6544131193412369
V,43122,chck_80M,low,nonoverlap,1002,495,-0.008909090364467123,0.04872432034740137
V,43122,chck_80M,low,overlap,441,440,2.812175975498995,0.14487318191164555
V,43122,chck_80M,partial,nonoverlap,390,216,-0.20068421602153624,0.09514897183976867
V,43122,chck_80M,partial,overlap,227,206,3.689021687141039,0.21130675511059835
V,43122,chck_90M,high,nonoverlap,30,16,0.13365746842076381,0.2799919512490323
V,43122,chck_90M,high,overlap,21,17,3.4598145749381124,0.6294785599207638
V,43122,chck_90M,low,nonoverlap,1002,495,-0.016623304963033804,0.04867887279585196
V,43122,chck_90M,low,overlap,441,440,2.8782770786293974,0.14770870894969046
V,43122,chck_90M,partial,nonoverlap,390,216,-0.22601247465667818,0.09661778585000771
V,43122,chck_90M,partial,overlap,227,206,3.7197995550906398,0.214085337117126
V,43222,chck_100M,high,nonoverlap,30,16,0.10572635854283968,0.27098379286761715
V,43222,chck_100M,high,overlap,21,17,3.3541953876791966,0.6086119481240644
V,43222,chck_100M,low,nonoverlap,1002,495,-0.03559134888858674,0.04955576203994441
V,43222,chck_100M,low,overlap,441,440,2.9639385687989814,0.14182211781384227
V,43222,chck_100M,partial,nonoverlap,390,216,-0.3436647914397793,0.09771713172322728
V,43222,chck_100M,partial,overlap,227,206,3.606443311999109,0.21462424420182227
V,43222,chck_80M,high,nonoverlap,30,16,0.022156436244646707,0.2787306806179502
V,43222,chck_80M,high,overlap,21,17,3.290848078089766,0.6338925923490826
V,43222,chck_80M,low,nonoverlap,1002,495,-0.028188472422222773,0.048676140984627324
V,43222,chck_80M,low,overlap,441,440,2.9444479385104194,0.1426555871935397
V,43222,chck_80M,partial,nonoverlap,390,216,-0.2827466439216947,0.09602636659970976
V,43222,chck_80M,partial,overlap,227,206,3.6396662103502484,0.21514556221314668
V,43222,chck_90M,high,nonoverlap,30,16,0.10558678855498632,0.266315734556448
V,43222,chck_90M,high,overlap,21,17,3.305825969977637,0.60779338767173
V,43222,chck_90M,low,nonoverlap,1002,495,-0.03402290553200298,0.04896128092425391
V,43222,chck_90M,low,overlap,441,440,2.9345920035660966,0.14043720104946486
V,43222,chck_90M,partial,nonoverlap,390,216,-0.3331687455184949,0.09737112613850478
V,43222,chck_90M,partial,overlap,227,206,3.582911830418538,0.21311143959762668
