endpoint,words_M,BLiMP,Supplement,EWoK,Entity,COMPS,GlobalPIQA,Reading,cheap6_no_GlobalPIQA,cheap5_no_GlobalPIQA_Reading,relation_state_mean,syntax_comp_mean,volatile_mean,cheap7
chck_70M,70,67.5573011767862,60.43175866108986,48.54770480571395,27.36615058696539,52.073317561530104,34.679611650485434,8.040000000000001,44.00270546534758,51.195246558417104,37.95692769633967,60.02079246646872,21.359805825242717,42.67083492036728
chck_72M,72,67.32399642845682,60.957461950788215,48.595960187559925,26.820201915069035,52.20272624550807,36.63592233009709,8.035,43.989224454563676,51.18006934547641,37.70808105131448,60.161394874917704,22.335461165048542,42.93875272249702
chck_74M,74,67.84724700691224,62.04585475393509,50.13554361960865,27.382141804511164,52.18700330254582,36.60679611650485,7.945,44.590465081252155,51.91955809750259,38.7588427120599,60.69336835446438,22.275898058252427,43.449940943431116
chck_76M,76,68.29277869362228,64.06165377818863,49.121765727558206,26.371693692013892,51.94533297208821,37.12135922330097,8.16,44.65887081057854,51.958644972694245,37.74672970978605,61.43325514796637,22.640679611650484,43.58208344096745
chck_78M,78,68.02786436219154,62.77968992656618,49.03509133265234,27.746560605415524,52.34462580209602,37.60679611650485,8.379999999999999,44.718972004820266,51.986766405784316,38.39082596903393,61.050726696951244,22.993398058252424,43.702946877918066
chck_80M,80,68.11698912330561,62.62424251159327,49.243087387291595,28.198399813057772,52.11267633160715,38.10679611650485,8.3,44.7658991944759,52.059079033371084,38.720743600174686,60.95130265550201,23.203398058252425,43.814598754765754
chck_82M,82,68.49128403651986,62.9378112562002,50.05545332553276,28.314041930298774,52.19117509443596,37.57766990291262,8.15,45.023294273831254,52.39795312859751,39.18474762791577,61.20675679571867,22.863834951456308,43.95963364941431
chck_84M,84,68.25117205367772,63.48368911772525,50.07346770583699,28.575109826749195,52.20558333152477,38.12135922330097,8.155,45.12400367258565,52.51780440710279,39.324288766293094,61.31348150097591,23.138179611650486,44.123625894116415
chck_86M,86,68.47352134022564,62.67567812168538,50.14033750767863,28.582540408783004,52.292452514819104,36.13592233009709,8.1,45.04408831553196,52.432905978638345,39.36143895823082,61.14721732557671,22.117961165048545,43.77149317475555
chck_88M,88,68.48912994961233,62.82787946795899,49.39586406399164,29.139266928737033,52.23779041668971,35.63592233009709,8.24,45.054988471164954,52.41798616539794,39.267565496364334,61.18493327808701,21.937961165048545,43.709407593869535
chck_90M,90,68.5884593675694,62.888177694603556,49.086028022473165,28.169172051652577,52.23715873362583,33.650485436893206,8.275,44.87399931165408,52.19379917398491,38.62760003706287,61.23793193193293,20.962742718446602,43.27064018668825
chck_92M,92,68.65280340027297,62.852952898711564,48.9900128097817,27.7989731473523,52.32472654584558,34.63592233009709,8.325,44.824078133660684,52.12389376039282,38.394492978567,61.276827614943365,21.480461165048546,43.36862730458017
chck_94M,94,68.67230613076674,62.64274361367778,49.19707828629057,27.124664857848416,52.33113715903116,36.60679611650485,8.31,44.71298834126912,51.993586009522936,38.160871572069496,61.21539563449189,22.458398058252428,43.5549608805885
chck_96M,96,68.65832541612188,62.816633641065984,49.29450281088316,27.370820154748543,52.260261035770036,36.10679611650485,8.325,44.78759050976493,52.080108611717925,38.33266148281585,61.245073364319296,22.215898058252428,43.54747702501349
chck_98M,98,68.62125752200743,62.889999418977254,49.16646362656662,27.489408584154834,52.31042988519266,36.10679611650485,8.315,44.79875983948313,52.095511807379765,38.32793610536073,61.27389560872578,22.210898058252425,43.557050736200516
chck_100M,100,68.63175326978445,62.89517138691106,49.08009312557581,27.46454875303723,52.30391659251573,36.10679611650485,8.32,44.78258052130405,52.07509662556485,38.27232093930652,61.27694708307041,22.213398058252427,43.54318274918988
