endpoint,words_M,BLiMP,Supplement,EWoK,Entity,COMPS,GlobalPIQA,Reading,cheap7,cheap6_no_globalpiqa,cheap5_no_globalpiqa_reading,relation_state,syntax_surface
chck_70M,70,67.5573011767862,60.43175866108986,48.54770480571395,27.36615058696539,52.073317561530104,34.679611650485434,8.040000000000001,42.67083492036728,44.00270546534758,51.195246558417104,37.95692769633967,59.81530936915815
chck_72M,72,67.32399642845682,60.957461950788215,48.595960187559925,26.820201915069035,52.20272624550807,36.63592233009709,8.035,42.93875272249702,43.989224454563676,51.18006934547641,37.70808105131448,59.76336133698244
chck_74M,74,67.84724700691224,62.04585475393509,50.13554361960865,27.382141804511164,52.18700330254582,36.60679611650485,7.945,43.449940943431116,44.590465081252155,51.91955809750259,38.7588427120599,60.01712515472903
chck_76M,76,68.29277869362228,64.06165377818863,49.121765727558206,26.371693692013892,51.94533297208821,37.12135922330097,8.16,43.58208344096745,44.65887081057854,51.958644972694245,37.74672970978605,60.119055832855246
chck_78M,78,68.02786436219154,62.77968992656618,49.03509133265234,27.746560605415524,52.34462580209602,37.60679611650485,8.379999999999999,43.702946877918066,44.718972004820266,51.986766405784316,38.39082596903393,60.18624508214378
chck_80M,80,68.11698912330561,62.62424251159327,49.243087387291595,28.198399813057772,52.11267633160715,38.10679611650485,8.3,43.814598754765754,44.7658991944759,52.059079033371084,38.720743600174686,60.11483272745638
chck_82M,82,68.49128403651986,62.9378112562002,50.05545332553276,28.314041930298774,52.19117509443596,37.57766990291262,8.15,43.95963364941431,45.023294273831254,52.39795312859751,39.18474762791577,60.34122956547791
chck_84M,84,68.25117205367772,63.48368911772525,50.07346770583699,28.575109826749195,52.20558333152477,38.12135922330097,8.155,44.123625894116415,45.12400367258565,52.51780440710279,39.324288766293094,60.22837769260124
chck_86M,86,68.47352134022564,62.67567812168538,50.14033750767863,28.582540408783004,52.292452514819104,36.13592233009709,8.1,43.77149317475555,45.04408831553196,52.432905978638345,39.36143895823082,60.382986927522374
chck_88M,88,68.48912994961233,62.82787946795899,49.39586406399164,29.139266928737033,52.23779041668971,35.63592233009709,8.24,43.709407593869535,45.054988471164954,52.41798616539794,39.267565496364334,60.36346018315102
chck_90M,90,68.5884593675694,62.888177694603556,49.086028022473165,28.169172051652577,52.23715873362583,33.650485436893206,8.275,43.27064018668825,44.87399931165408,52.19379917398491,38.62760003706287,60.412809050597616
chck_92M,92,68.65280340027297,62.852952898711564,48.9900128097817,27.7989731473523,52.32472654584558,34.63592233009709,8.325,43.36862730458017,44.824078133660684,52.12389376039282,38.394492978567,60.488764973059276
chck_100M,100,68.63175326978445,62.89517138691106,49.08009312557581,27.46454875303723,52.30391659251573,36.10679611650485,8.32,43.54318274918988,44.78258052130405,52.07509662556485,38.27232093930652,60.467834931150094
