column,n_items,gain_82_84,gain_82_84_per_item,loss_82_84,loss_82_84_per_item,gain_84_86,gain_84_86_per_item,loss_84_86,loss_84_86_per_item,transient_gain_84_only_vs82_86,transient_gain_84_only_vs82_86_per_item,persistent_gain_82_to_84_through_86,persistent_gain_82_to_84_through_86_per_item,persistent_gain_82_to_84_through_92,persistent_gain_82_to_84_through_92_per_item,recovered_loss_84_only_vs82_86,recovered_loss_84_only_vs82_86_per_item,net_82_to_84,net_84_to_86,mean_flip_count_late80_92,frac_any_flip_late80_92,frac_82_84_gains_lost_by_86,frac_82_84_gains_persist_through_92
BLiMP,59875,1015,0.01695198329853862,1154,0.01927348643006263,986,0.016467640918580377,859,0.014346555323590814,359,0.005995824634655532,656,0.01095615866388309,455,0.007599164926931107,470,0.007849686847599164,-139,127,0.16155323590814197,0.0862463465553236,0.3536945812807882,0.4482758620689655
Supplement,5218,51,0.009773859716366424,61,0.0116903027980069,64,0.012265235722499043,47,0.009007282483710233,20,0.0038328861632809506,31,0.005940973553085474,18,0.0034495975469528554,24,0.0045994633959371405,-10,17,0.11230356458413185,0.06151782292065926,0.39215686274509803,0.35294117647058826
EWoK,7618,237,0.031110527697558413,240,0.03150433184562877,234,0.030716723549488054,206,0.02704121816749803,84,0.011026516145970071,153,0.020084011551588343,100,0.013126804935678657,112,0.014702021527960095,-3,28,0.29509057495405616,0.15410868994486743,0.35443037974683544,0.4219409282700422
Entity,6780,134,0.01976401179941003,123,0.018141592920353982,119,0.017551622418879056,109,0.01607669616519174,57,0.008407079646017699,77,0.01135693215339233,37,0.005457227138643068,51,0.00752212389380531,11,10,0.181858407079646,0.09557522123893805,0.4253731343283582,0.27611940298507465
COMPS,91028,3001,0.03296787801555565,2919,0.032067056290372195,2820,0.03097947884167509,2822,0.03100145010326493,1055,0.011589840488640858,1946,0.021378037526914796,1322,0.014523003910884564,1069,0.01174363931976974,82,-2,0.3248121457134069,0.17167245243221865,0.3515494835054982,0.4405198267244252
GlobalPIQA,203,5,0.024630541871921183,4,0.019704433497536946,2,0.009852216748768473,6,0.029556650246305417,1,0.0049261083743842365,4,0.019704433497536946,2,0.009852216748768473,0,0.0,1,-4,0.1724137931034483,0.11330049261083744,0.2,0.4
