column,subtask,n_items,gain_82_84,gain_82_84_per_item,loss_82_84,loss_82_84_per_item,gain_84_86,gain_84_86_per_item,loss_84_86,loss_84_86_per_item,transient_gain_84_only_vs82_86,transient_gain_84_only_vs82_86_per_item,persistent_gain_82_to_84_through_86,persistent_gain_82_to_84_through_86_per_item,persistent_gain_82_to_84_through_92,persistent_gain_82_to_84_through_92_per_item,recovered_loss_84_only_vs82_86,recovered_loss_84_only_vs82_86_per_item,net_82_to_84,net_84_to_86,mean_flip_count_late80_92,frac_any_flip_late80_92,frac_82_84_gains_lost_by_86,frac_82_84_gains_persist_through_92
BLiMP,existential_there_quantifiers_2,911,75,0.08232711306256861,6,0.006586169045005488,8,0.008781558726673985,56,0.06147091108671789,40,0.043907793633369926,35,0.038419319429198684,20,0.021953896816684963,2,0.0021953896816684962,69,-48,0.3084522502744237,0.15477497255762898,0.5333333333333333,0.26666666666666666
BLiMP,npi_present_2,914,10,0.010940919037199124,62,0.06783369803063458,28,0.030634573304157548,18,0.019693654266958426,7,0.007658643326039387,3,0.0032822757111597373,1,0.0010940919037199124,20,0.02188183807439825,-52,10,0.3161925601750547,0.1487964989059081,0.7,0.1
BLiMP,only_npi_licensor_present,882,5,0.005668934240362812,50,0.05668934240362812,38,0.04308390022675737,10,0.011337868480725623,1,0.0011337868480725624,4,0.0045351473922902496,1,0.0011337868480725624,28,0.031746031746031744,-45,28,0.2687074829931973,0.1326530612244898,0.2,0.2
BLiMP,npi_present_1,909,9,0.009900990099009901,47,0.0517051705170517,17,0.0187018701870187,14,0.015401540154015401,5,0.005500550055005501,4,0.0044004400440044,3,0.0033003300330033004,12,0.013201320132013201,-38,3,0.2794279427942794,0.1474147414741474,0.5555555555555556,0.3333333333333333
BLiMP,left_branch_island_echo_question,947,41,0.04329461457233368,5,0.005279831045406547,8,0.008447729672650475,26,0.027455121436114043,15,0.01583949313621964,26,0.027455121436114043,16,0.01689545934530095,0,0.0,36,-18,0.17845828933474128,0.09820485744456177,0.36585365853658536,0.3902439024390244
BLiMP,irregular_plural_subject_verb_agreement_2,892,7,0.007847533632286996,32,0.03587443946188341,17,0.01905829596412556,9,0.010089686098654708,1,0.0011210762331838565,6,0.006726457399103139,3,0.0033632286995515697,13,0.014573991031390135,-25,8,0.16031390134529147,0.08183856502242152,0.14285714285714285,0.42857142857142855
BLiMP,only_npi_scope,837,11,0.013142174432497013,34,0.04062126642771804,32,0.038231780167264036,16,0.019115890083632018,5,0.005973715651135006,6,0.007168458781362007,6,0.007168458781362007,14,0.016726403823178016,-23,16,0.25089605734767023,0.12066905615292713,0.45454545454545453,0.5454545454545454
BLiMP,sentential_negation_npi_scope,871,12,0.013777267508610792,35,0.040183696900114814,23,0.02640642939150402,20,0.022962112514351322,3,0.003444316877152698,9,0.010332950631458095,6,0.006888633754305396,12,0.013777267508610792,-23,3,0.23880597014925373,0.13203214695752008,0.25,0.5
BLiMP,regular_plural_subject_verb_agreement_1,890,3,0.0033707865168539327,23,0.025842696629213482,22,0.024719101123595506,8,0.008988764044943821,0,0.0,3,0.0033707865168539327,2,0.0022471910112359553,12,0.01348314606741573,-20,14,0.15280898876404495,0.08314606741573034,0.0,0.6666666666666666
BLiMP,principle_A_c_command,946,19,0.0200845665961945,38,0.040169133192389,30,0.03171247357293869,23,0.024312896405919663,8,0.008456659619450317,11,0.011627906976744186,7,0.007399577167019027,13,0.013742071881606765,-19,7,0.2632135306553911,0.13742071881606766,0.42105263157894735,0.3684210526315789
BLiMP,superlative_quantifiers_2,986,32,0.032454361054766734,14,0.014198782961460446,11,0.011156186612576065,15,0.015212981744421906,10,0.010141987829614604,22,0.02231237322515213,17,0.017241379310344827,2,0.002028397565922921,18,-4,0.1744421906693712,0.08924949290060852,0.3125,0.53125
