column,subgroup,n_items,gain_82_84,gain_82_84_per_item,loss_82_84,loss_82_84_per_item,gain_84_86,gain_84_86_per_item,loss_84_86,loss_84_86_per_item,transient_gain_84_only_vs82_86,transient_gain_84_only_vs82_86_per_item,persistent_gain_82_to_84_through_86,persistent_gain_82_to_84_through_86_per_item,persistent_gain_82_to_84_through_92,persistent_gain_82_to_84_through_92_per_item,recovered_loss_84_only_vs82_86,recovered_loss_84_only_vs82_86_per_item,net_82_to_84,net_84_to_86,mean_flip_count_late80_92,frac_any_flip_late80_92,frac_82_84_gains_lost_by_86,frac_82_84_gains_persist_through_92
BLiMP,npi_licensing,6261,75,0.011978917105893628,249,0.039770004791566844,158,0.025235585369749243,94,0.015013576106053346,26,0.004152691263376458,49,0.00782622584251717,33,0.005270723526593196,94,0.015013576106053346,-174,64,0.22472448490656444,0.1159559175850503,0.3466666666666667,0.44
BLiMP,quantifiers,3806,114,0.02995270625328429,43,0.011297950604308986,37,0.009721492380451918,73,0.019180241723594324,51,0.013399894902785077,63,0.01655281135049921,42,0.011035207566999475,17,0.004466631634261692,71,-36,0.14687335785601682,0.07356805044666316,0.4473684210526316,0.3684210526315789
BLiMP,island_effects,7448,190,0.025510204081632654,128,0.017185821697099892,101,0.013560687432867884,183,0.024570354457572503,74,0.009935553168635876,116,0.015574650912996778,75,0.010069817400644469,41,0.00550483351235231,62,-82,0.20032223415682063,0.10955961331901182,0.3894736842105263,0.39473684210526316
BLiMP,subject_verb_agreement,5190,91,0.017533718689788053,130,0.025048169556840076,123,0.023699421965317918,84,0.016184971098265895,35,0.00674373795761079,56,0.010789980732177264,31,0.005973025048169557,62,0.011946050096339113,-39,39,0.19460500963391136,0.10366088631984585,0.38461538461538464,0.34065934065934067
BLiMP,control_raising,4363,46,0.010543204217281686,84,0.01925280770112308,84,0.01925280770112308,45,0.01031400412560165,12,0.0027504011001604402,34,0.007792803117121247,23,0.005271602108640843,39,0.00893880357552143,-38,39,0.1425624570249828,0.07976163190465275,0.2608695652173913,0.5
BLiMP,determiner_noun_agreement,6793,40,0.005888414544383925,76,0.011187987634329457,49,0.007213307816870308,55,0.008096569998527897,13,0.0019137347269247754,27,0.003974679817459149,18,0.002649786544972766,31,0.004563521271897542,-36,-6,0.078021492713087,0.04210216399234506,0.325,0.45
BLiMP,anaphor_agreement,1902,30,0.015772870662460567,51,0.026813880126182965,37,0.019453207150368034,21,0.011041009463722398,9,0.00473186119873817,21,0.011041009463722398,13,0.006834910620399579,23,0.012092534174553101,-21,16,0.1640378548895899,0.10042060988433228,0.3,0.43333333333333335
BLiMP,filler_gap_dependency,6179,109,0.017640394885903868,88,0.014241786696876518,108,0.017478556400712088,61,0.009872147596698496,20,0.0032367697038355723,89,0.014403625182068296,73,0.011814209418999837,44,0.007120893348438259,21,47,0.14257970545395696,0.07719695743647839,0.1834862385321101,0.6697247706422018
BLiMP,irregular_forms,1903,30,0.015764582238570676,17,0.008933263268523384,27,0.01418812401471361,16,0.008407777193904361,11,0.005780346820809248,19,0.009984235417761429,14,0.007356805044666317,7,0.0036784025223331584,13,11,0.11560693641618497,0.058854440357330534,0.36666666666666664,0.4666666666666667
BLiMP,s-selection,1818,36,0.019801980198019802,24,0.013201320132013201,26,0.014301430143014302,29,0.01595159515951595,14,0.007700770077007701,22,0.0121012101210121,16,0.0088008800880088,9,0.0049504950495049506,12,-3,0.1562156215621562,0.08085808580858085,0.3888888888888889,0.4444444444444444
BLiMP,binding,6510,139,0.021351766513056834,148,0.02273425499231951,130,0.019969278033794162,104,0.01597542242703533,45,0.0069124423963133645,94,0.014439324116743472,71,0.010906298003072197,57,0.008755760368663594,-9,26,0.20030721966205836,0.10629800307219663,0.3237410071942446,0.5107913669064749
BLiMP,argument_structure,6072,90,0.014822134387351778,96,0.015810276679841896,92,0.015151515151515152,70,0.01152832674571805,37,0.006093544137022398,53,0.00872859025032938,37,0.006093544137022398,37,0.006093544137022398,-6,22,0.13899868247694336,0.07444005270092227,0.4111111111111111,0.4111111111111111
BLiMP,ellipsis,1630,25,0.015337423312883436,20,0.012269938650306749,14,0.008588957055214725,24,0.014723926380368098,12,0.007361963190184049,13,0.007975460122699387,9,0.005521472392638037,9,0.005521472392638037,5,-10,0.1276073619631902,0.06073619631901841,0.48,0.36
COMPS,co-occurrence,22757,763,0.033528145186096585,674,0.02961726062310498,614,0.02698070923232412,722,0.03172650173572967,263,0.011556883596256097,500,0.021971261589840488,319,0.014017664894318231,210,0.009227929867733005,89,-108,0.31783627015863253,0.1683877488245375,0.34469200524246396,0.418086500655308
COMPS,overlap,22757,709,0.031155248934393812,792,0.03480247835830733,754,0.03313266247747946,706,0.03102342136485477,250,0.010985630794920244,459,0.02016961813947357,315,0.013841894801599508,316,0.01388583732477919,-83,48,0.32284571780111615,0.17295777123522432,0.3526093088857546,0.44428772919605075
COMPS,random,22757,762,0.033484202662916907,708,0.03111130641121413,724,0.031814386782089026,693,0.030452168563518917,284,0.012479676583029398,478,0.02100452607988751,336,0.014764687788372808,262,0.011512941073076415,54,31,0.3266247747945687,0.17014544975172474,0.37270341207349084,0.4409448818897638
COMPS,taxonomic,22757,767,0.03370391527881531,745,0.032737179768862326,728,0.03199015687480775,701,0.030803708748956365,258,0.011337170980357691,509,0.022366744298457617,352,0.015467768159247703,281,0.012347849013490354,22,27,0.3319418200993101,0.17519883991738805,0.3363754889178618,0.4589308996088657
EWoK,agent-properties,2210,45,0.020361990950226245,68,0.03076923076923077,68,0.03076923076923077,58,0.026244343891402715,17,0.007692307692307693,28,0.012669683257918552,18,0.008144796380090498,32,0.014479638009049774,-23,10,0.2678733031674208,0.12714932126696832,0.37777777777777777,0.4
EWoK,material-dynamics,770,35,0.045454545454545456,22,0.02857142857142857,9,0.011688311688311689,11,0.014285714285714285,9,0.011688311688311689,26,0.033766233766233764,23,0.02987012987012987,1,0.0012987012987012987,13,-2,0.2818181818181818,0.19090909090909092,0.2571428571428571,0.6571428571428571
EWoK,social-relations,1548,68,0.04392764857881137,62,0.040051679586563305,73,0.047157622739018086,53,0.034237726098191215,23,0.014857881136950904,45,0.029069767441860465,23,0.014857881136950904,42,0.027131782945736434,6,20,0.3701550387596899,0.1847545219638243,0.3382352941176471,0.3382352941176471
