column,subtask,n_items,score_70,score_72,score_74,score_76,score_78,score_80,score_82,score_84,score_86,score_88,score_90,score_92,score_100,delta_84_minus_82,delta_86_minus_84,delta_100_minus_84
BLiMP,existential_there_quantifiers_2,911,38.96816684961581,39.62678375411636,33.589462129527995,41.27332601536773,41.27332601536773,43.90779363336993,40.065861690450056,47.63995609220636,42.37102085620197,39.736553238199775,40.83424807903403,41.602634467618,40.944017563117455,7.574094401756305,-5.268935236004388,-6.695938529088906
BLiMP,npi_present_2,914,37.85557986870897,35.120350109409195,41.79431072210066,39.715536105032825,31.181619256017505,29.21225382932166,39.496717724288835,33.8074398249453,34.901531728665205,35.44857768052516,33.91684901531728,32.38512035010941,32.27571115973742,-5.689277899343537,1.0940919037199066,-1.5317286652078792
BLiMP,only_npi_licensor_present,882,69.38775510204081,74.37641723356009,80.95238095238095,78.79818594104309,75.17006802721087,75.85034013605441,80.04535147392289,74.94331065759637,78.11791383219955,78.68480725623583,74.37641723356009,75.05668934240363,74.82993197278913,-5.102040816326522,3.1746031746031775,-0.11337868480724467
BLiMP,npi_present_1,909,31.79317931793179,26.182618261826185,32.67326732673268,34.54345434543454,26.292629262926294,22.882288228822883,33.663366336633665,29.48294829482948,29.812981298129813,30.47304730473047,28.16281628162816,27.722772277227726,27.83278327832783,-4.1804180418041845,0.3300330033003327,-1.6501650165016493
BLiMP,left_branch_island_echo_question,947,39.493136219640974,38.965153115100314,40.549102428722286,39.704329461457235,40.86589229144668,36.74762407602957,37.69799366420274,41.49947201689546,39.5987328405491,39.070749736008445,39.281942977824706,38.54276663146779,38.54276663146779,3.801478352692719,-1.900739176346363,-2.956705385427668
BLiMP,irregular_plural_subject_verb_agreement_2,892,79.37219730941703,79.37219730941703,77.80269058295964,80.94170403587444,79.03587443946188,80.26905829596413,81.27802690582959,78.47533632286996,79.37219730941703,78.9237668161435,79.37219730941703,79.7085201793722,79.5964125560538,-2.8026905829596274,0.8968609865470683,1.1210762331838424
BLiMP,only_npi_scope,837,80.04778972520909,74.91039426523297,78.37514934289128,76.46356033452808,74.43249701314217,74.67144563918757,74.67144563918757,71.92353643966547,73.83512544802868,73.83512544802868,73.59617682198328,74.67144563918757,74.79091995221027,-2.7479091995220983,1.911589008363208,2.867383512544805
BLiMP,sentential_negation_npi_scope,871,60.50516647531573,59.24225028702641,64.75315729047072,70.95292766934558,71.06773823191733,68.19747416762341,70.26406429391504,67.62342135476463,67.9678530424799,69.11595866819748,69.11595866819748,67.50861079219288,67.7382319173364,-2.6406429391504105,0.34443168771527155,0.11481056257177613
BLiMP,regular_plural_subject_verb_agreement_1,890,71.01123595505618,73.82022471910112,70.11235955056179,75.95505617977528,73.14606741573034,73.93258426966293,75.61797752808988,73.37078651685394,74.9438202247191,73.93258426966293,73.93258426966293,73.25842696629213,73.25842696629213,-2.247191011235941,1.5730337078651644,-0.11235955056180558
BLiMP,principle_A_c_command,946,53.80549682875264,58.7737843551797,56.131078224101486,52.64270613107822,50.21141649048626,47.674418604651166,49.471458773784356,47.4630021141649,48.20295983086681,47.674418604651166,48.625792811839325,49.68287526427061,49.15433403805497,-2.008456659619455,0.7399577167019089,1.6913319238900684
BLiMP,wh_vs_that_with_gap_long_distance,910,15.714285714285714,14.945054945054945,15.274725274725276,11.648351648351648,14.175824175824175,13.626373626373626,13.186813186813188,15.164835164835164,14.835164835164836,14.725274725274726,14.615384615384617,15.384615384615385,15.824175824175823,1.9780219780219763,-0.3296703296703285,0.6593406593406588
BLiMP,tough_vs_raising_1,948,33.9662447257384,32.06751054852321,36.392405063291136,34.91561181434599,34.70464135021097,38.18565400843882,35.970464135021096,34.07172995780591,33.33333333333333,34.38818565400844,35.12658227848101,34.810126582278485,34.70464135021097,-1.8987341772151893,-0.7383966244725784,0.6329113924050631
BLiMP,expletive_it_object_raising,759,64.55862977602108,65.74440052700923,67.45718050065877,67.72068511198947,66.79841897233202,68.11594202898551,68.51119894598156,66.66666666666666,66.93017127799736,66.13965744400528,66.79841897233202,66.27140974967062,66.93017127799736,-1.8445322793149046,0.2635046113307027,0.2635046113307027
BLiMP,superlative_quantifiers_2,986,82.45436105476674,75.35496957403652,77.99188640973631,81.03448275862068,80.93306288032454,78.90466531440163,80.22312373225152,82.04868154158214,81.64300202839758,81.33874239350912,83.87423935091279,84.17849898580123,83.97565922920892,1.8255578093306184,-0.4056795131845661,1.9269776876267741
BLiMP,distractor_agreement_relative_clause,871,28.817451205510906,26.521239954075774,29.621125143513204,27.439724454649827,27.66934557979334,26.865671641791046,27.898966704936857,29.621125143513204,29.39150401836969,29.047072330654423,30.309988518943744,29.73593570608496,30.424799081515495,1.722158438576347,-0.22962112514351318,0.8036739380022908
BLiMP,superlative_quantifiers_1,979,97.03779366700715,95.30132788559756,97.75280898876404,96.22063329928498,97.5485188968335,96.8335035750766,97.03779366700715,95.40347293156282,96.62921348314607,97.34422880490297,96.11848825331971,96.42492339121553,96.11848825331971,-1.6343207354443336,1.2257405515832573,0.7150153217568942
BLiMP,determiner_noun_agreement_1,929,86.54467168998924,86.97524219590959,85.57588805166846,87.51345532831,87.29817007534983,87.62109795479009,89.1280947255113,87.51345532831,88.05166846071045,88.3745963401507,88.58988159311087,88.15931108719053,88.3745963401507,-1.6146393972013016,0.5382131324004433,0.8611410118407008
BLiMP,coordinate_structure_constraint_complex_left_branch,906,34.87858719646799,34.87858719646799,33.99558498896248,30.79470198675497,33.00220750551877,32.22958057395143,32.22958057395143,33.77483443708609,33.88520971302428,34.87858719646799,33.443708609271525,34.105960264900666,33.99558498896248,1.5452538631346613,0.11037527593818908,0.22075055187638526
BLiMP,regular_plural_subject_verb_agreement_2,945,72.06349206349206,73.01587301587301,73.12169312169313,73.12169312169313,71.53439153439155,72.80423280423281,73.65079365079366,72.16931216931218,72.80423280423281,72.16931216931218,73.01587301587301,72.38095238095238,72.6984126984127,-1.481481481481481,0.6349206349206327,0.5291005291005177
BLiMP,anaphor_number_agreement,931,81.41783029001074,77.55102040816327,80.88077336197637,82.8141783029001,85.60687432867884,87.11063372717508,85.71428571428571,84.31793770139635,84.64017185821697,85.28464017185821,84.42534908700323,84.31793770139635,83.88829215896885,-1.3963480128893622,0.3222341568206275,-0.42964554242749387
BLiMP,existential_there_object_raising,812,71.30541871921181,72.78325123152709,73.27586206896551,73.89162561576354,73.89162561576354,73.64532019704434,73.76847290640394,72.41379310344827,74.01477832512316,74.01477832512316,73.15270935960592,73.64532019704434,74.38423645320196,-1.3546798029556726,1.6009852216748897,1.970443349753694
BLiMP,intransitive,868,57.71889400921659,57.71889400921659,57.94930875576036,57.373271889400925,58.525345622119815,57.02764976958525,56.68202764976959,57.94930875576036,59.56221198156682,57.6036866359447,57.6036866359447,57.25806451612904,57.373271889400925,1.2672811059907758,1.6129032258064555,-0.5760368663594377
BLiMP,tough_vs_raising_2,920,78.91304347826087,78.26086956521739,74.34782608695653,73.91304347826086,74.34782608695653,73.04347826086956,73.58695652173914,74.78260869565217,76.84782608695652,76.30434782608695,76.19565217391305,76.95652173913044,77.06521739130436,1.1956521739130324,2.065217391304344,2.2826086956521863
