arm,steps,total_words,total_active_tokens,total_masked_tokens,total_pad_slots,masked_per_active_total,active_tokens_per_word_total,pad_fraction_of_nominal_slots,metric,mean,sd,cv,min,p05,p50,p95,max,sum
row256_baseline_log_order,2529,100000000,137061620,20568519,28672780,0.1500676775891019,1.3706162,0.17300439739728143,charged_words,39541.320680110715,216.18011884417973,0.005467195205569306,35791.0,39195.4,39546.0,39873.0,40243.0,100000000.0
row256_baseline_log_order,2529,100000000,137061620,20568519,28672780,0.1500676775891019,1.3706162,0.17300439739728143,active_tokens,54195.97469355477,554.4924297394421,0.010231247484241387,48601.0,53336.4,54195.0,55106.600000000006,56010.0,137061620.0
row256_baseline_log_order,2529,100000000,137061620,20568519,28672780,0.1500676775891019,1.3706162,0.17300439739728143,masked_tokens,8133.064056939502,137.2170781689802,0.016871510811709435,7189.0,7912.0,8132.0,8364.0,8576.0,20568519.0
row256_baseline_log_order,2529,100000000,137061620,20568519,28672780,0.1500676775891019,1.3706162,0.17300439739728143,pad_slots,11337.59588770265,543.3205578180703,0.047922025374654974,9526.0,10429.4,11339.0,12198.599999999999,13443.0,28672780.0
row256_baseline_log_order,2529,100000000,137061620,20568519,28672780,0.1500676775891019,1.3706162,0.17300439739728143,rows_or_chunks,255.99051008303678,0.4771456261912801,0.0018639191977722386,232.0,256.0,256.0,256.0,256.0,647400.0
row256_baseline_log_order,2529,100000000,137061620,20568519,28672780,0.1500676775891019,1.3706162,0.17300439739728143,microbatches,,,,,,,,,
row256_baseline_log_order,2529,100000000,137061620,20568519,28672780,0.1500676775891019,1.3706162,0.17300439739728143,masked_per_active,0.15006785748574145,0.002025986070526134,0.013500466418790788,0.14345080390520087,0.14671592758388044,0.15005621808932226,0.15337026172849888,0.15764163979732843,379.52161158144014
row256_baseline_log_order,2529,100000000,137061620,20568519,28672780,0.1500676775891019,1.3706162,0.17300439739728143,active_per_word,1.3706030361624961,0.010223452514844014,0.007459090812660319,1.3382517269402683,1.3538245675780782,1.370644031396211,1.3872427512189767,1.4037686084552763,3466.2550784549526
U256_mask015,2530,100000000,139426440,20916090,55553400,0.15001523383943532,1.3942644,0.2849186869780999,charged_words,39525.691699604744,800.717908493676,0.02025816308489,36069.0,38204.45,39533.0,40785.75,42557.0,100000000.0
U256_mask015,2530,100000000,139426440,20916090,55553400,0.15001523383943532,1.3942644,0.2849186869780999,active_tokens,55109.264822134384,817.7705793088127,0.014839076187065352,51899.0,53749.0,55135.0,56394.5,57823.0,139426440.0
U256_mask015,2530,100000000,139426440,20916090,55553400,0.15001523383943532,1.3942644,0.2849186869780999,masked_tokens,8267.229249011858,166.07647297471308,0.020088528813273613,7770.0,7992.450000000001,8270.0,8531.55,8841.0,20916090.0
U256_mask015,2530,100000000,139426440,20916090,55553400,0.15001523383943532,1.3942644,0.2849186869780999,pad_slots,21957.86561264822,814.5747221633326,0.03709717221760021,19233.0,20668.0,21933.5,23311.649999999998,25157.0,55553400.0
U256_mask015,2530,100000000,139426440,20916090,55553400,0.15001523383943532,1.3942644,0.2849186869780999,rows_or_chunks,301.04347826086956,0.20393111999232302,0.0006774141767509286,301.0,301.0,301.0,301.0,302.0,761640.0
U256_mask015,2530,100000000,139426440,20916090,55553400,0.15001523383943532,1.3942644,0.2849186869780999,microbatches,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,12650.0
U256_mask015,2530,100000000,139426440,20916090,55553400,0.15001523383943532,1.3942644,0.2849186869780999,masked_per_active,0.15001508152295237,0.0020190482049341663,0.013458968154646846,0.14283918469964982,0.14674277948133474,0.14998911876526994,0.15334964914588428,0.1561496744236664,379.53815625306953
U256_mask015,2530,100000000,139426440,20916090,55553400,0.15001523383943532,1.3942644,0.2849186869780999,active_per_word,1.394460379084659,0.013273084437107249,0.00951843783888637,1.3439501099111153,1.3732073658783996,1.394401469032156,1.4159223281809061,1.4424156929546725,3527.9847590841873
U64_128_256_mask015,2530,100000000,139426440,20915364,39338488,0.15001002679262268,1.3942644,0.22005707965267102,charged_words,39525.691699604744,568.857752777907,0.014392101145281047,37017.0,38592.5,39518.5,40446.0,41947.0,100000000.0
U64_128_256_mask015,2530,100000000,139426440,20915364,39338488,0.15001002679262268,1.3942644,0.22005707965267102,active_tokens,55109.264822134384,553.59500492145,0.010045407187125115,52586.0,54161.45,55118.0,56017.1,57563.0,139426440.0
U64_128_256_mask015,2530,100000000,139426440,20915364,39338488,0.15001002679262268,1.3942644,0.22005707965267102,masked_tokens,8266.94229249012,139.6289288670606,0.01689003308924785,7738.0,8038.0,8271.0,8491.55,8754.0,20915364.0
U64_128_256_mask015,2530,100000000,139426440,20915364,39338488,0.15001002679262268,1.3942644,0.22005707965267102,pad_slots,15548.809486166008,5168.832253277205,0.33242623866965426,7854.0,8448.0,15863.5,22779.049999999996,24470.0,39338488.0
U64_128_256_mask015,2530,100000000,139426440,20915364,39338488,0.15001002679262268,1.3942644,0.22005707965267102,rows_or_chunks,611.2703557312253,273.535452736617,0.44748686104596597,301.0,301.0,555.0,997.0,998.0,1546514.0
U64_128_256_mask015,2530,100000000,139426440,20915364,39338488,0.15001002679262268,1.3942644,0.22005707965267102,microbatches,9.9,4.323193264243457,0.4366861883074199,5.0,5.0,9.0,16.0,16.0,25047.0
U64_128_256_mask015,2530,100000000,139426440,20915364,39338488,0.15001002679262268,1.3942644,0.22005707965267102,masked_per_active,0.1500099334675596,0.002029278994704368,0.013527630789485086,0.1421757109692397,0.14670841034318538,0.15000862090168054,0.15326264052045174,0.15747225218965422,379.52513167292574
U64_128_256_mask015,2530,100000000,139426440,20915364,39338488,0.15001002679262268,1.3942644,0.22005707965267102,active_per_word,1.3944030381644663,0.013408367182102926,0.009615847653167149,1.351419589593802,1.3731663693396823,1.394032485090289,1.4163339604710408,1.444557956777996,3527.8396865561
