arm,step,stage_length,rows_or_chunks,charged_words,active_tokens,visible_words,hidden_words,hidden_tokens_total,boundary_hidden_tokens,pad_slots,masked_tokens,masked_per_active,active_per_word,log_loss,log_lr,cumulative_word_exposure
row256_baseline_log_order,1,256,256,39370,53967,38915,455,812,30,11569,8247,0.15281560953916282,1.370764541529083,10.683919814336338,6.622516556291391e-06,39370
row256_baseline_log_order,2,256,256,39517,54429,38935,582,1058,20,11107,8199,0.1506366091605578,1.3773565807120987,10.679453283217581,1.3245033112582782e-05,78887
row256_baseline_log_order,3,256,256,39717,54249,39178,539,1097,24,11287,8112,0.14953271028037382,1.3658886622856712,10.65456483608637,1.9867549668874173e-05,118604
row256_baseline_log_order,4,256,256,39422,53697,38989,433,769,22,11839,8079,0.15045533270015085,1.3621074526913906,10.617731677023606,2.6490066225165565e-05,158026
row256_baseline_log_order,5,256,256,39617,53979,39192,425,804,16,11557,8097,0.15000277885844496,1.362521139914683,10.553602172928828,3.3112582781456954e-05,197643
row256_baseline_log_order,6,256,256,39179,53474,38746,433,782,18,12062,8078,0.1510640685192804,1.3648638301130709,10.482618320339474,3.9735099337748346e-05,236822
row256_baseline_log_order,7,256,256,39516,55454,38976,540,950,29,10082,8120,0.14642766978035848,1.4033302965887235,10.399544028578132,4.635761589403974e-05,276338
row256_baseline_log_order,8,256,256,39711,54652,39189,522,1011,25,10884,8212,0.15025982580692382,1.3762433582634535,10.30517654377138,5.298013245033113e-05,316049
row256_baseline_log_order,9,256,256,39572,53556,39280,292,548,22,11980,8036,0.15004854731496003,1.3533811786111392,10.259666381041287,5.9602649006622515e-05,355621
row256_baseline_log_order,10,256,256,39417,53667,39021,396,685,23,11869,7912,0.14742765572884642,1.3615191414871757,10.132830859074337,6.622516556291391e-05,395038
row256_baseline_log_order,11,256,256,39774,54197,39394,380,669,27,11339,8184,0.15100466815506394,1.3626238246090412,10.092640297853352,7.284768211920529e-05,434812
row256_baseline_log_order,12,256,256,39690,54947,39112,578,1007,25,10589,8199,0.14921651773527217,1.3844041320231797,9.991529926030662,7.947019867549669e-05,474502
row256_baseline_log_order,13,256,256,39507,54020,39052,455,811,25,11516,8212,0.15201777119585339,1.3673526210544966,9.912789388104759,8.609271523178808e-05,514009
row256_baseline_log_order,14,256,256,39295,54082,38615,680,1263,35,11454,7994,0.14781258089567695,1.3763074182465962,9.836319944278163,9.271523178807948e-05,553304
row256_baseline_log_order,15,256,256,39468,53932,39061,407,731,36,11604,8122,0.15059704813468813,1.3664741056045404,9.769321470300543,9.933774834437086e-05,592772
row256_baseline_log_order,16,256,256,39617,54919,39032,585,1048,33,10617,8327,0.15162329976875033,1.3862483277380921,9.711604622155662,0.00010596026490066226,632389
row256_baseline_log_order,17,256,256,39701,55087,39239,462,848,38,10449,8239,0.14956341786628424,1.3875469131759905,9.632820274546564,0.00011258278145695364,672090
row256_baseline_log_order,18,256,256,39037,53764,38542,495,889,25,11772,8205,0.15261141284130644,1.3772574736788175,9.545781466352148,0.00011920529801324503,711127
row256_baseline_log_order,19,256,256,39240,53972,38680,560,1234,33,11564,8091,0.14991106499666493,1.375433231396534,9.515594851939731,0.00012582781456953643,750367
row256_baseline_log_order,20,256,256,39513,54462,38943,570,1050,22,11074,8242,0.15133487569314386,1.3783311821425859,9.42667759856215,0.00013245033112582781,789880
row256_baseline_log_order,21,256,256,39600,54520,39015,585,1035,30,11016,8143,0.1493580337490829,1.3767676767676769,9.385129782896756,0.0001390728476821192,829480
row256_baseline_log_order,22,256,256,39531,54385,39025,506,982,27,11151,8317,0.1529281971131746,1.3757557360046546,9.328117033603085,0.00014569536423841059,869011
row256_baseline_log_order,23,256,256,39498,54072,39070,428,732,18,11464,8300,0.153499038319278,1.3689807078839435,9.253932794777743,0.000152317880794702,908509
row256_baseline_log_order,24,256,256,39471,53991,39048,423,746,24,11545,7998,0.14813580041117963,1.3678650148210079,9.209738540959435,0.00015894039735099338,947980
row256_baseline_log_order,25,256,256,39426,53838,38850,576,1218,34,11698,8042,0.14937404807013632,1.365545579059504,9.099006676786546,0.0001655629139072848,987406
row256_baseline_log_order,26,256,256,40064,55544,39537,527,939,39,9992,8111,0.14602837390177156,1.3863817891373802,8.986164055275072,0.00017218543046357615,1027470
row256_baseline_log_order,27,256,256,39750,55085,39052,698,1358,34,10451,8298,0.1506399201234456,1.3857861635220126,8.951383948354842,0.00017880794701986754,1067220
row256_baseline_log_order,28,256,256,39447,54194,38922,525,1002,39,11342,8361,0.1542790714839281,1.373843384794788,8.805729280888585,0.00018543046357615895,1106667
row256_baseline_log_order,29,256,256,40024,55732,39424,600,1039,29,9804,8222,0.14752745280987584,1.3924645212872278,8.699718115539104,0.00019205298013245034,1146691
row256_baseline_log_order,30,256,256,39631,54328,39107,524,919,29,11208,8140,0.14983065822412017,1.370846054856047,8.629560903835062,0.00019867549668874172,1186322
row256_baseline_log_order,31,256,256,39183,53838,38644,539,1025,33,11698,8021,0.1489839890040492,1.3740142408697649,8.546081591003212,0.0002052980132450331,1225505
row256_baseline_log_order,32,256,256,39429,54184,39010,419,734,24,11352,8177,0.15091170825335892,1.3742169469172436,8.432041184657562,0.00021192052980132452,1264934
row256_baseline_log_order,33,256,256,39746,54923,39184,562,1135,23,10613,8242,0.15006463594486827,1.3818497458863785,8.293408462128227,0.0002185430463576159,1304680
row256_baseline_log_order,34,256,256,39423,54146,39053,370,671,33,11390,8192,0.15129464780408525,1.3734621921213506,8.223917250172235,0.0002251655629139073,1344103
row256_baseline_log_order,35,256,256,39506,54353,38952,554,971,26,11183,8219,0.15121520431254945,1.3758163316964511,8.118969061438772,0.00023178807947019868,1383609
row256_baseline_log_order,36,256,256,39664,54454,39199,465,783,19,11082,8322,0.15282623866015352,1.3728822105687777,8.005498244996772,0.00023841059602649006,1423273
row256_baseline_log_order,37,256,256,39528,54404,38756,772,1550,25,11132,8131,0.1494559223586501,1.376340821696013,7.922929769423803,0.00024503311258278145,1462801
row256_baseline_log_order,38,256,256,39616,54255,38925,691,1520,44,11281,8084,0.14900009215740484,1.3695224151857834,7.850347453742143,0.00025165562913907286,1502417
row256_baseline_log_order,39,256,256,39743,54024,39119,624,1197,31,11512,8233,0.15239523174885236,1.35933371914551,7.738715651025753,0.0002582781456953642,1542160
row256_baseline_log_order,40,256,256,39733,54922,39196,537,958,36,10614,8431,0.15350861221368486,1.3822766969521556,7.632204375166921,0.00026490066225165563,1581893
row256_baseline_log_order,41,256,256,39317,54363,38796,521,949,34,11173,8129,0.14953185070728253,1.3826843350204745,7.487102708512675,0.00027152317880794704,1621210
row256_baseline_log_order,42,256,256,39333,53772,38875,458,906,28,11764,8173,0.15199360261846315,1.3670963313248417,7.422247459178716,0.0002781456953642384,1660543
row256_baseline_log_order,43,256,256,39596,54694,38986,610,1111,34,10842,8245,0.15074779683329068,1.3813011415294474,7.342444149200087,0.0002847682119205298,1700139
row256_baseline_log_order,44,256,256,39062,53288,38515,547,973,20,12248,8037,0.1508219486563579,1.364190261635349,7.308087940104523,0.00029139072847682117,1739201
row256_baseline_log_order,45,256,256,39389,54217,38675,714,1376,30,11319,8119,0.14975007838869728,1.376450277996395,7.178623996266651,0.00029801324503311264,1778590
row256_baseline_log_order,46,256,256,39462,53900,38962,500,998,30,11636,8170,0.1515769944341373,1.3658709644721505,7.037156571781621,0.000304635761589404,1818052
row256_baseline_log_order,47,256,256,39401,54108,39055,346,620,27,11428,7958,0.14707621793450137,1.3732646379533515,7.020979385814584,0.00031125827814569535,1857453
row256_baseline_log_order,48,256,256,39516,53880,38935,581,1081,21,11656,7937,0.14730883444691908,1.3634983297904646,6.972493250273601,0.00031788079470198677,1896969
row256_baseline_log_order,49,256,256,39773,54219,39367,406,701,17,11317,8258,0.1523082314317859,1.363211223694466,6.981355302412939,0.0003245033112582781,1936742
row256_baseline_log_order,50,256,256,39345,53429,39099,246,500,19,12107,8069,0.1510228527578656,1.3579616215529293,6.978618331906343,0.0003311258278145696,1976087
row256_baseline_log_order,51,256,256,39755,54454,39289,466,851,29,11082,8213,0.15082454916075955,1.3697396553892591,6.928907562489488,0.00033774834437086095,2015842
row256_baseline_log_order,52,256,256,39602,53770,39104,498,918,34,11766,7949,0.1478333643295518,1.3577597091056006,6.781207786264442,0.0003443708609271523,2055444
row256_baseline_log_order,53,256,256,39222,53405,38805,417,749,31,12131,8010,0.1499859563711263,1.3616082810667482,6.855613651644722,0.0003509933774834437,2094666
row256_baseline_log_order,54,256,256,39423,54439,38976,447,869,25,11097,8291,0.15229890335972374,1.380894401745174,6.726251915444109,0.0003576158940397351,2134089
