contrast,metric,n_pairs,mean,median,sd_pairs,se_pairs,ci95_lo,ci95_hi,prob_mean_inside_pm_0p25,prob_mean_negative,q05_pair,q10_pair,q25_pair,q75_pair,q90_pair,q95_pair
RSminusC,mean_gain_delta,1465,-0.0470238903908756,-0.0165410041809082,1.5128312634380432,0.03952498178894906,-0.12422356843029887,0.030818075274185643,1.0,0.8821,-2.5468912919362388,-1.9580422401428224,-0.9788350264231364,0.9019108215967814,1.7679791450500493,2.3073478380839028
RSminusC,mean_true_delta,1465,-0.5285477931830033,-0.4643819332122803,1.5056264620351436,0.03933674556517124,-0.6053547021207271,-0.45174747485058236,0.0,1.0,-2.9271036465962728,-2.360323349634806,-1.5082987944285076,0.458675463994344,1.2812266826629641,1.7845668872197467
RSminusC,mean_unrel_delta,1465,-0.5755716835738788,-0.5372004508972168,1.2287750900302363,0.03210358896588758,-0.6394113412941461,-0.5125889718084807,0.0,1.0,-2.662082481384277,-2.156321398417155,-1.378807544708252,0.2682672341664632,0.9231938044230146,1.3616912841796867
RSminusC,mean_excess_true_cost,1465,0.04702389039087561,0.0165410041809082,1.5128312634380432,0.03952498178894906,-0.031448559810993384,0.12381713799055795,1.0,0.1177,-2.3073478380839028,-1.767979145050049,-0.9019108215967812,0.9788350264231364,1.9580422401428226,2.546891291936238
RSminusR,mean_gain_delta,1465,0.7381482103526427,0.5939520200093588,1.7604984217796849,0.04599565711127661,0.6473304354870243,0.8295025470026528,0.0,0.0,-1.879491567611694,-1.2700456142425536,-0.3824215730031332,1.7316376368204751,3.039940977096559,4.051133569081624
RSminusR,mean_true_delta,1465,-1.0122974034580503,-0.8679176270961758,1.7116036426112358,0.044718207799569684,-1.1031677561835467,-0.9260200444925379,0.0,1.0,-4.094563007354736,-3.224977493286133,-2.060635566711426,0.1117618083953857,0.9685915266474093,1.528484265009562
RSminusR,mean_unrel_delta,1465,-0.2741491931054076,-0.2946988741556803,1.1588003156210194,0.030275393217258813,-0.3344504245130856,-0.21326362878823998,0.2202,1.0,-2.127093044916789,-1.7127468744913736,-1.003553569316864,0.4678599039713542,1.1618574142456055,1.7075342496236163
RSminusR,mean_excess_true_cost,1465,-0.7381482103526427,-0.5939520200093588,1.7604984217796849,0.04599565711127661,-0.8286848012353937,-0.6488416375879575,0.0,1.0,-4.051133569081624,-3.0399409770965575,-1.7316376368204751,0.3824215730031331,1.2700456142425538,1.8794915676116941
RminusC,mean_gain_delta,1465,-0.7851721007435184,-0.6067025661468506,1.790791181885005,0.04678710082376227,-0.8785014093507122,-0.6952765179843277,0.0,1.0,-3.8227925856908165,-2.984793647130331,-1.788977781931559,0.3703657786051432,1.2380032221476243,1.7405424753824865
RminusC,mean_true_delta,1465,0.48374961027504704,0.3448379834493001,1.7257984674937026,0.04508906885230982,0.3976447345941901,0.5731429218071664,0.0,0.0,-2.050419362386068,-1.462059529622396,-0.6041732629140218,1.4536673227945964,2.598278745015463,3.3854597409566236
RminusC,mean_unrel_delta,1465,-0.30142249046847125,-0.2450842857360839,1.181688796448887,0.030873389047832964,-0.3628816832733088,-0.23961537151141582,0.0494,1.0,-2.2618751525878906,-1.833762788772583,-1.0661452611287434,0.4572505950927734,1.1033376375834152,1.6033059120178221
RminusC,mean_excess_true_cost,1465,0.7851721007435184,0.6067025661468506,1.790791181885005,0.04678710082376227,0.6934697196200073,0.8774946976511526,0.0,0.0,-1.740542475382487,-1.2380032221476238,-0.3703657786051432,1.7889777819315595,2.9847936471303314,3.822792585690814
VminusC,mean_gain_delta,1465,0.6710659184934418,0.6678970654805502,1.868783900920508,0.04882477738032897,0.5747666266451331,0.7679807425684676,0.0,0.0,-2.437553532918294,-1.5784769614537557,-0.4741398183008026,1.7902080416679382,3.060037430624168,3.9111205120881403
VminusC,mean_true_delta,1465,-1.1550487909175717,-1.0357083876927695,1.938905053223815,0.05065679747059982,-1.2546919885183265,-1.0572697804404096,0.0,1.0,-4.341249434153239,-3.687085477511088,-2.340407133102417,0.0741581916809082,1.0967394232749945,1.8012215773264562
VminusC,mean_unrel_delta,1465,-0.48398287242413024,-0.4186968008677165,1.3237060872672397,0.03458380340068994,-0.5520115840675117,-0.4182660886175987,0.0,1.0,-2.813304336865743,-2.198861559232076,-1.2464791138966878,0.3936457633972168,1.0835574467976887,1.473598559697469
VminusC,mean_excess_true_cost,1465,-0.6710659184934417,-0.6678970654805504,1.868783900920508,0.04882477738032897,-0.7671953085128831,-0.5770845633860787,0.0,1.0,-3.911120512088138,-3.060037430624167,-1.7902080416679371,0.4741398183008029,1.578476961453756,2.4375535329182902
VminusR,mean_gain_delta,1465,1.4562380192369602,1.198996384938558,2.0947518218961245,0.05472852763807455,1.3500335663117868,1.563805636907133,0.0,0.0,-1.4978177309036254,-0.8310684760411579,0.1167274316151938,2.547717049717903,4.177002239227296,5.402987766265869
VminusR,mean_true_delta,1465,-1.6387984011926189,-1.3318410317103069,2.0641012669355807,0.05392773599930082,-1.746111256364069,-1.5328965285052654,0.0,1.0,-5.402384440104166,-4.412458610534668,-2.7978607018788657,-0.2487148841222127,0.580929636955262,1.2958858847618098
VminusR,mean_unrel_delta,1465,-0.1825603819556589,-0.1615787347157796,1.1932177414903193,0.031174599998334367,-0.24330949723457257,-0.12164576897528624,0.9846,1.0,-2.136335817972819,-1.7077672958374024,-0.9130101203918456,0.5861709912618002,1.2905840078989674,1.7057707627614334
VminusR,mean_excess_true_cost,1465,-1.4562380192369602,-1.198996384938558,2.0947518218961245,0.05472852763807455,-1.5648511580877713,-1.3507016133023924,0.0,1.0,-5.402987766265869,-4.177002239227296,-2.547717049717903,-0.1167274316151936,0.8310684760411617,1.4978177309036254
