arm,checkpoint,group,n,accuracy_pct,stale_pick_pct,mean_relevant_updates,mean_total_ops,mean_prefix_words
R,chck_100M,ALL,6780,24.985250737463126,49.740394600207686,1.9960176991150442,7.359587020648967,120.59041297935103
R,chck_100M,rel_ge1,5239,20.500095438060697,49.740394600207686,2.5831265508684864,8.527772475663294,129.96087039511357
R,chck_100M,rel_ge2,3916,22.29315628192033,49.79035639412998,3.1179775280898876,9.274770173646578,136.0349846782431
R,chck_100M,rel_ge3,2650,23.471698113207548,48.0,3.6520754716981134,9.80188679245283,140.93735849056603
R,chck_100M,rel_updates_0,1541,40.23361453601557,nan,0.0,3.388059701492537,88.73329007138221
R,chck_100M,rel_updates_1,1323,15.192743764172336,44.44444444444444,1.0,6.316704459561603,111.98185941043084
R,chck_100M,rel_updates_2,1266,19.826224328593998,52.227722772277225,2.0,8.171406003159557,125.77330173775671
R,chck_100M,rel_updates_3,1230,21.463414634146343,48.53556485355649,3.0,9.44308943089431,137.81463414634146
R,chck_100M,rel_updates_4,1112,25.179856115107913,50.81967213114754,4.0,10.02158273381295,142.931654676259
R,chck_100M,rel_updates_5,308,25.324675324675326,35.82089552238806,5.0,10.441558441558442,146.2077922077922
R,chck_80M,ALL,6780,25.103244837758112,50.10504201680672,1.9960176991150442,7.359587020648967,120.59041297935103
R,chck_80M,rel_ge1,5239,21.24451231150983,50.10504201680672,2.5831265508684864,8.527772475663294,129.96087039511357
R,chck_80M,rel_ge2,3916,22.854954034729314,50.3711558854719,3.1179775280898876,9.274770173646578,136.0349846782431
R,chck_80M,rel_ge3,2650,24.037735849056602,49.174311926605505,3.6520754716981134,9.80188679245283,140.93735849056603
R,chck_80M,rel_updates_0,1541,38.221933809214796,nan,0.0,3.388059701492537,88.73329007138221
R,chck_80M,rel_updates_1,1323,16.477702191987905,22.22222222222222,1.0,6.316704459561603,111.98185941043084
R,chck_80M,rel_updates_2,1266,20.379146919431278,52.01005025125628,2.0,8.171406003159557,125.77330173775671
R,chck_80M,rel_updates_3,1230,22.4390243902439,47.67932489451477,3.0,9.44308943089431,137.81463414634146
R,chck_80M,rel_updates_4,1112,25.719424460431654,53.333333333333336,4.0,10.02158273381295,142.931654676259
R,chck_80M,rel_updates_5,308,24.350649350649352,39.705882352941174,5.0,10.441558441558442,146.2077922077922
R,chck_90M,ALL,6780,25.088495575221238,51.666666666666664,1.9960176991150442,7.359587020648967,120.59041297935103
