kind,rows,words,chars,token_len_sum,token_after_trunc_sum,truncated_rows,truncated_tokens,hundredM_token_len_sum,hundredM_token_after_trunc_sum,hundredM_truncated_tokens,mean_tokens_per_row,mean_tokens_per_word,mean_after_trunc_tokens_per_row,truncated_row_fraction,truncated_token_fraction
clean_topup_from_selected_holdout,0,0,-80,-40,-38,-1,-2,-400,-380,-20,-40.0,-0.3007518796992481,-38.0,-1.0,-0.007751937984496124
identical_max_fineweb_compact_view,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
protected_qwen_template_position,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
remaining_nonqwen_suffix,0,0,265687,-111342,-92733,-1283,-18609,-1113420,-927330,-186090,-2.4658826656036297,-0.015411766660022641,-2.0537505813567236,-0.02841450180497418,-0.0014010444245805137
