i,item_id,split_key,source,target_kind,target_text,target_id,nll_base,top1_base,rank_base,nll_true,top1_true,rank_true,nll_decoy,top1_decoy,rank_decoy,changed_frac_bin,changed_target_frac_proxy,content_overlap,decoy_pair_id,decoy_row_index,doc_id,example_id,overlap_bin,pair_id,rewrite_words,row_index,source_words,target_char_end,target_char_start
0,edit:frontier_consolidation_fwcompact_medium_027780:0:33-41,row:264,compact_edit,content,triggers,818,6.764735221862793,0,143,13.115289688110352,0,8732,9.72342300415039,0,1994,0p2_0p4,0.3,0.6666666666666666,frontier_consolidation_fwcompact_medium_029445,170,15333,750264,0p6_0p8,frontier_consolidation_fwcompact_medium_027780,20,264,29,41,33
1,edit:frontier_consolidation_fwcompact_medium_044135:0:48-53,row:1763,compact_edit,content,ounce,6024,11.15184211730957,0,1665,4.403228759765625,0,9,9.07933235168457,0,526,0p2_0p4,0.3,0.4375,frontier_consolidation_fwcompact_medium_030316,2191,6703,751763,0p4_0p6,frontier_consolidation_fwcompact_medium_044135,20,1763,31,53,48
2,edit:frontier_consolidation_fwcompact_medium_001056:0:62-73,row:2957,compact_edit,content,restriction,270,8.312318801879883,0,302,10.757615089416504,0,3803,11.432034492492676,0,5089,0p4_0p6,0.5,0.5,frontier_consolidation_fwcompact_medium_003538,2269,6584,752957,0p4_0p6,frontier_consolidation_fwcompact_medium_001056,8,2957,13,73,62
3,edit:frontier_consolidation_fwcompact_medium_056914:0:25-32,row:1082,compact_edit,content,Karelia,588,8.627107620239258,0,542,8.757221221923828,0,880,10.55321979522705,0,3060,0p4_0p6,0.5263157894736842,0.3888888888888889,frontier_consolidation_fwcompact_medium_031000,1353,2586,751082,lt0p4,frontier_consolidation_fwcompact_medium_056914,19,1082,33,32,25
4,edit:frontier_consolidation_fwcompact_medium_021435:0:79-85,row:1374,compact_edit,content,smoked,8535,6.664331436157227,0,121,7.894888401031494,0,301,6.788129806518555,0,107,0p2_0p4,0.3076923076923077,0.3333333333333333,frontier_consolidation_fwcompact_medium_000273,1010,4586,751374,lt0p4,frontier_consolidation_fwcompact_medium_021435,13,1374,21,85,79
5,edit:frontier_consolidation_fwcompact_medium_025061:0:87-94,row:1352,compact_edit,content,pickles,698,8.320865631103516,0,205,5.585946559906006,0,8,8.296015739440918,0,234,0p4_0p6,0.4166666666666667,0.47619047619047616,frontier_consolidation_fwcompact_medium_061373,894,2722,751352,0p4_0p6,frontier_consolidation_fwcompact_medium_025061,24,1352,40,94,87
6,edit:frontier_consolidation_fwcompact_medium_053963:0:7-15,row:1659,compact_edit,content,airborne,2273,10.936373710632324,0,884,0.24023666977882385,1,1,11.499434471130371,0,1853,0p2_0p4,0.3333333333333333,0.65,frontier_consolidation_fwcompact_medium_013953,550,6181,751659,0p6_0p8,frontier_consolidation_fwcompact_medium_053963,21,1659,28,15,7
7,edit:frontier_consolidation_fwcompact_medium_016301:0:89-96,row:2437,compact_edit,content,presses,219,11.260787963867188,0,601,11.368318557739258,0,5524,10.520947456359863,0,3717,0p2_0p4,0.3333333333333333,0.8181818181818182,frontier_consolidation_fwcompact_medium_056501,1284,4479,752437,ge0p8,frontier_consolidation_fwcompact_medium_016301,15,2437,22,96,89
8,edit:frontier_consolidation_fwcompact_medium_005325:0:74-86,row:351,compact_edit,content,infestations,395,9.529668807983398,0,645,0.008813291788101196,1,1,8.248067855834961,0,481,0p4_0p6,0.42857142857142855,0.3888888888888889,frontier_consolidation_fwcompact_medium_031283,897,3689,750351,lt0p4,frontier_consolidation_fwcompact_medium_005325,14,351,28,86,74
9,edit:frontier_consolidation_fwcompact_medium_027899:0:56-66,row:2167,compact_edit,content,navigation,378,10.228371620178223,0,236,7.896686553955078,0,233,9.186488151550293,0,176,0p4_0p6,0.47058823529411764,0.47058823529411764,frontier_consolidation_fwcompact_medium_007271,835,12367,752167,0p4_0p6,frontier_consolidation_fwcompact_medium_027899,17,2167,29,66,56
10,edit:frontier_consolidation_fwcompact_medium_054906:0:61-67,row:2184,compact_edit,content,strips,666,9.489809036254883,0,748,9.238621711730957,0,1485,9.426851272583008,0,1668,0p4_0p6,0.4444444444444444,0.5555555555555556,frontier_consolidation_fwcompact_medium_025981,1719,16342,752184,0p4_0p6,frontier_consolidation_fwcompact_medium_054906,9,2184,13,67,61
11,edit:frontier_consolidation_fwcompact_medium_057447:0:55-63,row:670,compact_edit,content,dwarfing,74,7.699631690979004,0,68,4.305757999420166,0,5,10.072454452514648,0,2928,0p2_0p4,0.25,0.5,frontier_consolidation_fwcompact_medium_045403,574,5270,750670,0p4_0p6,frontier_consolidation_fwcompact_medium_057447,12,670,23,63,55
12,edit:frontier_consolidation_fwcompact_medium_000372:0:45-52,row:802,compact_edit,content,Tongass,428,5.762800693511963,0,11,7.796753883361816,0,427,6.973137855529785,0,159,0p2_0p4,0.29411764705882354,0.6,frontier_consolidation_fwcompact_medium_040082,989,15012,750802,0p6_0p8,frontier_consolidation_fwcompact_medium_000372,17,802,34,52,45
13,edit:frontier_consolidation_fwcompact_medium_009970:0:56-67,row:2656,compact_edit,content,archaeology,2467,12.27389907836914,0,635,10.01064682006836,0,147,10.48973274230957,0,2555,0p4_0p6,0.4,0.5,frontier_consolidation_fwcompact_medium_021751,2047,2877,752656,0p4_0p6,frontier_consolidation_fwcompact_medium_009970,10,2656,20,67,56
14,edit:frontier_consolidation_fwcompact_medium_035306:0:34-43,row:2754,compact_edit,content,Bethlehem,242,9.547533988952637,0,655,2.2812066078186035,0,2,8.778495788574219,0,911,0p4_0p6,0.4090909090909091,0.45,frontier_consolidation_fwcompact_medium_046168,2444,13025,752754,0p4_0p6,frontier_consolidation_fwcompact_medium_035306,22,2754,37,43,34
