endpoint,input_form,n_sentences_filtered,row_context_loss,isolation_loss,context_gain,se_context_gain,removed_bad_sentences
chck82_slow_scale1p75,no_special,624,2.9913185621487717,3.8894294020337137,0.8981108398849423,0.07071710908219944,27
chck82_slow_scale1p75,with_special,623,3.0054943754468995,4.029583525056392,1.024089149609493,0.07481188586336388,28
clean_pres64_u0080,no_special,624,3.0063207310331257,3.938786861732973,0.9324661306998471,0.07262426458092361,27
clean_pres64_u0080,with_special,623,3.0365775151429957,4.082854678570981,1.0462771634279855,0.07689610530453209,28
clean_pres65_u0080,no_special,624,3.006579850109873,3.938694976626989,0.9321151265171159,0.07258478970228538,27
clean_pres65_u0080,with_special,623,3.0366160954710244,4.082842724612571,1.0462266291415465,0.07685194924199232,28
coherent86_alpha075,no_special,624,2.97720323078917,3.8852378945627595,0.9080346637735897,0.07070766499604986,27
coherent86_alpha075,with_special,623,2.992112110467559,4.0299579342952985,1.037845823827739,0.0750435020779995,28
dense64_u0080,no_special,624,3.027134518851368,3.9759718096777217,0.948837290826354,0.0735015185899698,27
dense64_u0080,with_special,623,3.0643051413905433,4.117482218336658,1.0531770769461142,0.0778067055020534,28
dense65_u0080,no_special,624,3.029933817645459,3.9781909613864466,0.9482571437409874,0.07357405744259102,27
dense65_u0080,with_special,623,3.0673618874477024,4.120026288058624,1.0526644006109216,0.07790649170962036,28
