endpoint,input_form,endpoint_path,n_sentence_records,n_sentence_score_rows,n_masked_token_rows,elapsed_sec,loaded_class,total_params_loaded,adapter_params_loaded
chck82_slow_scale1p75,with_special,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,651,1302,4411,95.3,AdapterDebertaV2ForMaskedLM,35463008,995584
chck82_slow_scale1p75,no_special,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,651,1302,4414,96.7,AdapterDebertaV2ForMaskedLM,35463008,995584
coherent86_alpha075,with_special,models/frontier,651,1302,4411,88.3,FrozenSlowPrivateDebertaV2ForMaskedLM,36458592,1991168
coherent86_alpha075,no_special,models/frontier,651,1302,4414,107.0,FrozenSlowPrivateDebertaV2ForMaskedLM,36458592,1991168
dense64_u0080,with_special,experiments/archive/functional_learning/data/automodel_repair/repaired_dense_seed62064_u0080,651,1302,4411,91.5,FrozenSlowPrivateDebertaV2ForMaskedLM,36458592,1991168
dense64_u0080,no_special,experiments/archive/functional_learning/data/automodel_repair/repaired_dense_seed62064_u0080,651,1302,4414,94.8,FrozenSlowPrivateDebertaV2ForMaskedLM,36458592,1991168
dense65_u0080,with_special,experiments/archive/functional_learning/data/automodel_repair/repaired_dense_seed62065_u0080,651,1302,4411,94.8,FrozenSlowPrivateDebertaV2ForMaskedLM,36458592,1991168
dense65_u0080,no_special,experiments/archive/functional_learning/data/automodel_repair/repaired_dense_seed62065_u0080,651,1302,4414,97.6,FrozenSlowPrivateDebertaV2ForMaskedLM,36458592,1991168
clean_pres64_u0080,with_special,experiments/archive/functional_learning/data/automodel_repair_clean_preservation/repaired_clean_pres_lambda1_eval_seed62064_u0080,651,1302,4411,98.1,FrozenSlowPrivateDebertaV2ForMaskedLM,36458592,1991168
clean_pres64_u0080,no_special,experiments/archive/functional_learning/data/automodel_repair_clean_preservation/repaired_clean_pres_lambda1_eval_seed62064_u0080,651,1302,4414,95.5,FrozenSlowPrivateDebertaV2ForMaskedLM,36458592,1991168
clean_pres65_u0080,with_special,experiments/archive/functional_learning/data/automodel_repair_candidates/repaired_clean_pres_lambda1_eval_seed62065_u0080,651,1302,4411,97.1,FrozenSlowPrivateDebertaV2ForMaskedLM,36458592,1991168
clean_pres65_u0080,no_special,experiments/archive/functional_learning/data/automodel_repair_candidates/repaired_clean_pres_lambda1_eval_seed62065_u0080,651,1302,4414,98.1,FrozenSlowPrivateDebertaV2ForMaskedLM,36458592,1991168
