target,frame_id,subtype,alt_a,alt_b,form,delta1,delta2,correct_margin_c1,correct_margin_c2,interaction,min_signed_margin,crossed_success,same_a_bias,same_b_bias,prior_ratio
scale1p75_80M,D_0001,open_closed,open,closed,explicit_final_state,4.545187033712864,-4.346838101744652,4.545187033712864,4.346838101744652,8.892025135457516,4.346838101744652,True,False,False,4.846875
scale1p75_80M,D_0001,open_closed,open,closed,full_v3,-5.179206907749176,2.899662047624588,-5.179206907749176,-2.899662047624588,-8.078868955373764,-5.179206907749176,False,False,False,4.846875
scale1p75_80M,D_0001,open_closed,open,closed,initial_plus_last,-4.787697024643421,3.5377655550837517,-4.787697024643421,-3.5377655550837517,-8.325462579727173,-4.787697024643421,False,False,False,4.846875
scale1p75_80M,D_0001,open_closed,open,closed,last_event_only,-0.15096962451934814,-2.4715614318847656,-0.15096962451934814,2.4715614318847656,2.3205918073654175,-0.15096962451934814,False,False,True,4.846875
scale1p75_80M,D_0001,open_closed,open,closed,no_context,0.018377304077148438,0.018377304077148438,0.018377304077148438,-0.018377304077148438,0.0,-0.018377304077148438,False,True,False,4.846875
scale1p75_80M,D_0002,open_closed,open,closed,explicit_final_state,6.1074277721345425,-3.616647720336914,6.1074277721345425,3.616647720336914,9.724075492471457,3.616647720336914,True,False,False,4.846875
scale1p75_80M,D_0002,open_closed,open,closed,full_v3,-4.488408215343952,4.504924021661282,-4.488408215343952,-4.504924021661282,-8.993332237005234,-4.504924021661282,False,False,False,4.846875
scale1p75_80M,D_0002,open_closed,open,closed,initial_plus_last,-4.1327850222587585,4.55796604603529,-4.1327850222587585,-4.55796604603529,-8.690751068294048,-4.55796604603529,False,False,False,4.846875
scale1p75_80M,D_0002,open_closed,open,closed,last_event_only,0.5820760726928711,-2.5750255584716797,0.5820760726928711,2.5750255584716797,3.157101631164551,0.5820760726928711,True,False,False,4.846875
scale1p75_80M,D_0002,open_closed,open,closed,no_context,0.6434612274169922,0.6434612274169922,0.6434612274169922,-0.6434612274169922,0.0,-0.6434612274169922,False,True,False,4.846875
scale1p75_80M,D_0003,empty_full,empty,full,explicit_final_state,6.11545392870903,-6.86219148337841,6.11545392870903,6.86219148337841,12.97764541208744,6.11545392870903,True,False,False,4.861915367483296
scale1p75_80M,D_0003,empty_full,empty,full,full_v3,-6.9221096485853195,5.640471696853638,-6.9221096485853195,-5.640471696853638,-12.562581345438957,-6.9221096485853195,False,False,False,4.861915367483296
scale1p75_80M,D_0003,empty_full,empty,full,initial_plus_last,-7.155633874237537,5.456547528505325,-7.155633874237537,-5.456547528505325,-12.612181402742863,-7.155633874237537,False,False,False,4.861915367483296
scale1p75_80M,D_0003,empty_full,empty,full,last_event_only,1.1424646377563477,-0.2053532600402832,1.1424646377563477,0.2053532600402832,1.3478178977966309,0.2053532600402832,True,False,False,4.861915367483296
scale1p75_80M,D_0003,empty_full,empty,full,no_context,-0.28734493255615234,-0.28734493255615234,-0.28734493255615234,0.28734493255615234,0.0,-0.28734493255615234,False,False,True,4.861915367483296
scale1p75_80M,D_0004,open_closed,open,closed,explicit_final_state,5.113465175032616,-3.237006261944771,5.113465175032616,3.237006261944771,8.350471436977386,3.237006261944771,True,False,False,4.846875
