subset,n,item_point_pp,item_p025,item_p50,item_p975,n_clusters,cluster_point_pp,cluster_p025,cluster_p50,cluster_p975
stable_five_item_pool,170519,-0.44335235369665554,-0.7058890655636787,-0.4456981420516968,-0.203745623677969,105,-0.4433523536966555,-2.074645068437934,-0.32680193241570676,0.9627107767057413
EWoK_plus_Entity_item_pool,14398,-0.4931240450062509,-1.2786498367786407,-0.4583970308303833,0.26791915819048834,29,-0.49312404500625084,-1.1553993992652787,-0.4897559377450752,0.42305703611658974
BLiMP,59875,0.10521920668058456,-0.2297703497111797,0.13361168652772903,0.39916494488716125,67,0.10521920668058456,-1.2036924818816161,0.06866425546069031,1.3642932289918521
Supplement,5218,-5.385205059409735,-6.353487849235535,-5.375622987747192,-4.1476617693901074,5,-5.385205059409736,-6.511102747459541,-5.242199876078411,4.395604395604396
EWoK,7618,-0.9057495405618272,-2.1728144764900206,-0.8991861641407013,0.3357180267572394,11,-0.9057495405618272,-1.841108266421702,-0.8296886659728693,0.16915482502904602
Entity,6780,-0.029498525073746312,-0.8926991090178489,0.007374631240963936,0.9151917144656174,18,-0.029498525073746312,-1.2800681240124607,-0.12396375920892164,1.2026816850397168
COMPS,91028,-0.5130289581227754,-0.9196071967482566,-0.5322538316249847,-0.07904161643236882,4,-0.5130289581227754,-4.182858376511226,-0.5130289581227754,2.1552964881980428
GlobalPIQA_item_pool,203,2.955665024630542,-2.4630541801452637,2.955665111541748,8.633004665374745,2,2.955665024630542,-0.970873786407767,2.955665024630542,7.0
