arm,checkpoint,copy_pairs,elapsed_sec,entity_items,rewrite_pairs,scored_records
D_VS_43122,chck_80M,2000,18.21,1221,5892,25552
D_VS_43122,chck_90M,2000,16.82,1221,5892,25552
D_VS_43122,chck_100M,2000,16.5,1221,5892,25552
D_C_43122,chck_80M,2000,16.59,1221,5892,25552
D_C_43122,chck_90M,2000,16.56,1221,5892,25552
D_C_43122,chck_100M,2000,13.43,1221,5892,25552
