family,arch,seed,group,contrast,n,n_checkpoints,late_mean_delta_mean_margin_full_a_minus_b,late_mean_delta_mean_effect_no_initial_qbox_a_minus_b,late_mean_delta_mean_effect_no_last_relevant_update_a_minus_b,late_mean_delta_mean_effect_no_all_relevant_updates_a_minus_b
entity_ablation,D,43122,ALL,VminusC,1221,3,-0.6183282282552268,0.447252908008137,0.15175208172738278,1.1003345326951968
entity_ablation,D,43122,rel_ge2,VminusC,1205,3,-0.612990108548688,0.44058360865501944,0.14485977557519988,1.106037512199018
entity_ablation,D,43122,rel_ge3,VminusC,716,3,-0.7779788772473233,0.5493052112115495,0.10972823004899078,1.315976246941689
entity_ablation,D,43122,rel_updates_1,VminusC,16,3,-1.0203553686539333,0.9495345155398051,0.6708288888136545,0.6708288888136545
entity_ablation,D,43122,rel_updates_2,VminusC,489,3,-0.37141146153800736,0.28139205971744163,0.1962998299653138,0.7986425549888904
entity_ablation,D,43122,rel_updates_3,VminusC,296,3,-0.9268225702280934,0.5568686435083011,0.048854703704516056,1.2256428788642626
entity_ablation,D,43122,rel_updates_4,VminusC,326,3,-0.3846817551245475,0.47335710318602914,0.16857416886676307,1.42732477486743
entity_ablation,D,43122,rel_updates_5,VminusC,94,3,-1.6732674803294187,0.7888829479826258,0.09733235497846669,1.214264085740908
entity_ablation,D,43122,type_ambiref,VminusC,399,3,-0.13200019302473728,-0.029112787087857975,-0.036183384277468034,0.3202274879043861
entity_ablation,D,43122,type_move_contents,VminusC,381,3,-0.9579676290613877,0.6756836450475407,0.30363691641850526,1.4419276920698865
entity_ablation,D,43122,type_regular,VminusC,441,3,-0.764909349229871,0.6808987164691103,0.19056870059046163,1.5110277688624907
