budget,word_diff_anchor_control_minus_treatment,source_l1,length_bin_l1,anchor_class_l1,row_abs_length_diff_mean,row_abs_length_diff_median,match_modes
50k,-1543,0.007253,0.062079,0.854047,1.357,0.0,"{""same_source_anchor"": 26, ""same_source_lenbin"": 414, ""same_source_lenbin_anchor"": 716}"
100k,-7949,0.02369,0.310273,0.924018,3.238,1.0,"{""same_source_anchor"": 283, ""same_source_lenbin"": 957, ""same_source_lenbin_anchor"": 1226}"
200k,-19330,0.033722,0.31917,1.011548,3.62,1.0,"{""same_source_anchor"": 684, ""same_source_lenbin"": 2298, ""same_source_lenbin_anchor"": 2371}"
