arch,seed,contrast,condition,n_min,true_src_content_mass_delta,unrel_src_content_mass_delta,target_prob_delta
D,43022,RminusC,T,2539,0.07266513722524398,-0.0006111729444164154,-0.006849673701674899
D,43022,VminusC,T,2539,0.07092707708279772,0.0004379898250710199,0.05742187166584015
D,43022,VminusR,T,2539,-0.0017380601424462627,0.0010491627694874353,0.06427154536751506
D,43022,RminusC,U,2539,0.005380370592912652,0.0007082163786518367,1.544484073190064e-05
D,43022,VminusC,U,2539,0.006445193139142047,0.003023221191407282,0.010589185787075357
D,43022,VminusR,U,2539,0.001064822546229395,0.0023150048127554453,0.010573740946343457
D,43122,RminusC,T,2539,0.0972294012311831,-0.0007663083603689099,-0.006808489185991674
D,43122,VminusC,T,2539,0.06702521131029562,0.0005070258655301627,0.06284380494771513
D,43122,VminusR,T,2539,-0.03020418992088747,0.0012733342258990725,0.0696522941337068
D,43122,RminusC,U,2539,0.008328755462082279,0.0027898752303237555,-0.00010624961754938586
D,43122,VminusC,U,2539,0.0076816048714699395,0.0019324268419592516,0.012382500414404016
D,43122,VminusR,U,2539,-0.0006471505906123394,-0.000857448388364504,0.012488750031953402
D,43222,RminusC,T,2539,0.05503791723590287,-0.0003824195637743156,-0.010585533876661873
D,43222,VminusC,T,2539,0.06018953362908605,0.00039744175900383386,0.05373501240589858
D,43222,VminusR,T,2539,0.005151616393183178,0.0007798613227781494,0.06432054628256045
D,43222,RminusC,U,2539,0.005020129117244861,-0.0038674636287978955,-0.0006672652243119928
D,43222,VminusC,U,2539,0.007857271191295239,-0.0003627999549746623,0.010290674973201887
D,43222,VminusR,U,2539,0.0028371420740503778,0.003504663673823233,0.01095794019751388
