arch,seed,role,condition,checkpoint,n,mean_true_src_content_mass,mean_unrel_src_content_mass,mean_target_prob
D,43022,C,T,chck_100M,2539,0.20490087073811575,0.004403896643812998,0.037869848178217
D,43022,C,T,chck_80M,2539,0.19653817279307056,0.004389181814131555,0.03704753769519799
D,43022,C,T,chck_90M,2539,0.20406677489231845,0.004414776950292663,0.03771857018162786
D,43022,C,U,chck_100M,2539,0.023559479183631365,0.015104549378620288,0.02318293861780888
D,43022,C,U,chck_80M,2539,0.024799768380164462,0.014257682368679702,0.021876379487704017
D,43022,C,U,chck_90M,2539,0.023606848273819828,0.015037448223381475,0.023548570675209875
D,43022,R,T,chck_100M,2539,0.2682895164495415,0.0037591869272893584,0.03185913770854843
D,43022,R,T,chck_80M,2539,0.2822099311687806,0.0038571330251134265,0.028386009584954734
D,43022,R,T,chck_90M,2539,0.27300178248091456,0.0037580166225851847,0.031841787656514985
D,43022,R,U,chck_100M,2539,0.029383551491981796,0.015486794072770527,0.023064234006024906
D,43022,R,U,chck_80M,2539,0.03013752949792024,0.015486982847003953,0.022536744080941352
D,43022,R,U,chck_90M,2539,0.02858612662645157,0.015550552186862496,0.02305324521595221
D,43022,V,T,chck_100M,2539,0.2750014310520024,0.00481504646306181,0.09707673633815819
D,43022,V,T,chck_80M,2539,0.27163648965689974,0.004924649954848771,0.0912324698335931
D,43022,V,T,chck_90M,2539,0.2716491289629957,0.004782128465539695,0.096592364880812
D,43022,V,U,chck_100M,2539,0.030327897498059416,0.017476891879546288,0.03418379040449992
D,43022,V,U,chck_80M,2539,0.03127581198799363,0.01874237877618703,0.03238727270774491
D,43022,V,U,chck_90M,2539,0.029697965768988747,0.017250072889169993,0.03380438302970401
D,43122,C,T,chck_100M,2539,0.1919130531948683,0.004692470275777771,0.03646572465415705
D,43122,C,T,chck_80M,2539,0.18802848359533242,0.004641418508010615,0.035018774626500625
D,43122,C,T,chck_90M,2539,0.1923662070243211,0.004682479936388003,0.036241517468840204
D,43122,C,U,chck_100M,2539,0.022451066455091963,0.014968517091586484,0.02310972154184059
D,43122,C,U,chck_80M,2539,0.02232920372837103,0.014694057338417749,0.02209245604340492
D,43122,C,U,chck_90M,2539,0.02314123944018546,0.015579198442459969,0.023150741930625805
D,43122,R,T,chck_100M,2539,0.29296263496233466,0.003922038380295795,0.02896661460233108
D,43122,R,T,chck_80M,2539,0.28215005063697507,0.0038406185440709863,0.02914643812999431
D,43122,R,T,chck_90M,2539,0.2888832619087613,0.003954786714702878,0.029187496459197472
D,43122,R,U,chck_100M,2539,0.03171867317499852,0.019007284862882015,0.02284910821133892
D,43122,R,U,chck_80M,2539,0.029734893701446472,0.016392673656910873,0.022271178560937216
D,43122,R,U,chck_90M,2539,0.031454209133450296,0.018211440043642585,0.022913883890947024
D,43122,V,T,chck_100M,2539,0.25890120835938896,0.005122135416764222,0.10076235242161434
D,43122,V,T,chck_80M,2539,0.25604446102520256,0.005240922026333395,0.09535209175346082
D,43122,V,T,chck_90M,2539,0.2584377083608171,0.0051743888736692605,0.10014298741756814
D,43122,V,U,chck_100M,2539,0.030739397547767118,0.016905187910122667,0.0359305828308389
D,43122,V,U,chck_80M,2539,0.02900715122081131,0.016884079586503377,0.03359781850989011
D,43122,V,U,chck_90M,2539,0.031219775469479842,0.017249785901715914,0.035972019418354345
D,43222,C,T,chck_100M,2539,0.20610820224363807,0.00450430894432904,0.039140653094108066
D,43222,C,T,chck_80M,2539,0.19654175244405414,0.00429175739621504,0.03715769258647738
D,43222,C,T,chck_90M,2539,0.20574558413834443,0.004483277658912972,0.03925162935966501
D,43222,C,U,chck_100M,2539,0.025694391056546376,0.018751944418172434,0.024708806224485038
D,43222,C,U,chck_80M,2539,0.02558736827390697,0.020751840685241336,0.023768980269291536
D,43222,C,U,chck_90M,2539,0.025489507552017742,0.01855140677113462,0.024531682203267853
D,43222,R,T,chck_100M,2539,0.2604669359372377,0.004132141254394248,0.02857931807095947
D,43222,R,T,chck_80M,2539,0.25447803497585736,0.003923611576572037,0.026775370230111933
D,43222,R,T,chck_90M,2539,0.25856431962065013,0.004076332477167821,0.02843868510919343
D,43222,R,U,chck_100M,2539,0.030454517599237972,0.01527717663570918,0.024358879558914116
D,43222,R,U,chck_80M,2539,0.030942576416403286,0.015860249728118753,0.02229947107338689
D,43222,R,U,chck_90M,2539,0.030434560218564416,0.015315374624326777,0.024349322391807444
D,43222,V,T,chck_100M,2539,0.2664278498067749,0.00492198335475046,0.09401005983851483
D,43222,V,T,chck_80M,2539,0.25933025956266975,0.004643450691561577,0.08956855381275915
D,43222,V,T,chck_90M,2539,0.26320603034385015,0.004906235230156517,0.09317639860667219
D,43222,V,U,chck_100M,2539,0.032967366345143384,0.0190040761527346,0.03597615051568009
D,43222,V,U,chck_80M,2539,0.03491161946542249,0.01938094639144771,0.0326188094198111
D,43222,V,U,chck_90M,2539,0.03246409464579093,0.018581769465442093,0.035286533681158895
