role,overlap_bin,token_class,n_pairs,mean_gain_T_vs_U,mean_gain_T_vs_N,mean_gain_U_vs_N,se_pair_gain_T_vs_U,se_pair_gain_T_vs_N,se_pair_gain_U_vs_N
BASE0,ALL,ALL,1200,2.503096363459295,2.4876127690057506,-0.015483594453544358,0.04924847108971206,0.05038910239709699,0.016794572636783345
BASE0,ALL,nonoverlap,1200,0.2720363043315916,0.2752493861423702,0.003213081810778628,0.03854022233687061,0.03919113016182564,0.01726285571103777
BASE0,ALL,overlap,1200,4.734156422586999,4.699976151869131,-0.03418027071786734,0.09006861406567739,0.09129226244636592,0.028518096879731038
BASE0,high,ALL,400,2.677724791788205,2.692998687402481,0.015273895614276016,0.08501199374155458,0.08611401066210803,0.02571426691530565
BASE0,high,nonoverlap,400,0.2985255203365038,0.2799044626508839,-0.018621057685619846,0.0740502875587731,0.07441542977734954,0.028379299899671983
BASE0,high,overlap,400,5.056924063239906,5.106092912154079,0.04916884891417188,0.15088383506459407,0.15055496863158463,0.04209133645672055
BASE0,low,ALL,400,2.358962355137337,2.3440183496618796,-0.014944005475457139,0.08634164357868684,0.08805393846421614,0.031497792044366014
BASE0,low,nonoverlap,400,0.3988921161096854,0.4440648388753956,0.0451727227657102,0.060270243258928415,0.061718107801948176,0.03239942340358447
BASE0,low,overlap,400,4.319032594164989,4.243971860448364,-0.07506073371662449,0.1603613885140231,0.1603520634266436,0.05314808329351349
BASE0,medium,ALL,400,2.472601943452343,2.4258212699528907,-0.04678067349945195,0.08376329519137175,0.08669419557760824,0.029671030484921833
BASE0,medium,nonoverlap,400,0.11869127654858554,0.10177885690083106,-0.016912419647754483,0.06443150935078952,0.06580418111575176,0.028641620828905524
BASE0,medium,overlap,400,4.826512610356101,4.749863683004951,-0.07664892735114942,0.15432724816756532,0.16028260374099337,0.05193344391913333
DOSE21,ALL,ALL,1200,2.4789573933889955,2.4498976481222376,-0.0290597452667579,0.05056494637559033,0.05111383365996215,0.01653969942014747
DOSE21,ALL,nonoverlap,1200,0.22878349759460737,0.213505711401263,-0.015277786193344378,0.04002950589906135,0.03997224492784365,0.01739316039301694
DOSE21,ALL,overlap,1200,4.729131289183384,4.6862895848432125,-0.04284170434017142,0.09082674326734351,0.09123034125805188,0.028510799690653957
DOSE21,high,ALL,400,2.6396253632062265,2.6209754739082807,-0.01864988929794587,0.08578026971203624,0.08503063627822459,0.02565476136267199
DOSE21,high,nonoverlap,400,0.22518840169223647,0.2142843569107936,-0.010904044781442886,0.07345691840069192,0.07470389602081959,0.027623324321853333
DOSE21,high,overlap,400,5.054062324720217,5.027666590905768,-0.026395733814448853,0.1500009515944486,0.14909739514122536,0.04371846962969066
DOSE21,low,ALL,400,2.355305825342075,2.328735685770904,-0.026570139571170635,0.08984279726960545,0.09016665415411121,0.03046805203087366
DOSE21,low,nonoverlap,400,0.3651030694895113,0.3347778008816143,-0.03032526860789706,0.06788281743927235,0.0647934212387841,0.03440073122306083
DOSE21,low,overlap,400,4.345508581194639,4.322693570660195,-0.022815010534444204,0.1626607061355435,0.162331243963685,0.050077737998122526
DOSE21,medium,ALL,400,2.441940991618685,2.3999817846875278,-0.041959206931157185,0.08645898462615464,0.08965089348684901,0.029578430294306735
DOSE21,medium,nonoverlap,400,0.0960590216020743,0.09145497641138112,-0.004604045190693189,0.0657778608346173,0.06728412884855862,0.0278449490594522
DOSE21,medium,overlap,400,4.787822961635296,4.708508592963675,-0.0793143686716212,0.1569911037362515,0.16031913633297076,0.05377455138908799
DOSE25,ALL,ALL,1200,2.594245005159881,2.540504451818492,-0.05374055334138878,0.05039265011392607,0.05179922132847932,0.017381061438713367
DOSE25,ALL,nonoverlap,1200,0.36983183755228916,0.31197828730419536,-0.057853550248093806,0.03862948170520062,0.038824712025373596,0.01836958822702868
DOSE25,ALL,overlap,1200,4.818658172767472,4.769030616332788,-0.04962755643468376,0.09117832681491145,0.09313614916249735,0.02987903415808629
DOSE25,high,ALL,400,2.807914003190805,2.7793882089449107,-0.02852579424589445,0.08430208813897692,0.08568045879949253,0.02726033154208664
DOSE25,high,nonoverlap,400,0.43419014763242253,0.38688991208133905,-0.04730023555108346,0.06984422427394121,0.07123939858443376,0.02787923809027782
DOSE25,high,overlap,400,5.181637858749188,5.171886505808483,-0.009751352940705444,0.15115289427041145,0.15194178996494467,0.047599104676924145
DOSE25,low,ALL,400,2.431442251645106,2.385489157427316,-0.04595309421779044,0.09011983889168394,0.09164664487768384,0.03320638314139922
DOSE25,low,nonoverlap,400,0.4391216250493502,0.39308041911164765,-0.04604120593770253,0.06458885141990568,0.06396514940767849,0.03647717508752894
DOSE25,low,overlap,400,4.423762878240862,4.377897895742984,-0.045864982497878376,0.16406201178200022,0.1662826930798378,0.054948404004579385
DOSE25,medium,ALL,400,2.5433787606437304,2.4566359890832485,-0.08674277156048144,0.08625241366378965,0.09048680931392308,0.029473007583227885
DOSE25,medium,nonoverlap,400,0.2361837399750948,0.15596453071959937,-0.08021920925549543,0.06567483625679024,0.06563770354281902,0.030450975505467548
DOSE25,medium,overlap,400,4.850573781312366,4.757307447446898,-0.09326633386546745,0.15600018105843108,0.16292421921866249,0.052354911351534986
