role,checkpoint,n,gain,gain_se,repeated_nll,unrepeated_nll
BASE0,chck_100M,2000,3.5661317963389436,0.07872427019361741,0.5489365786213625,4.115068374960307
BASE0,chck_80M,2000,3.5549430185059765,0.07833457625331496,0.5763023234671796,4.131245341973155
BASE0,chck_90M,2000,3.544558947099752,0.07815177282215291,0.5529684311948235,4.097527378294575
DOSE21,chck_100M,2000,3.5820281058935395,0.07982894163801879,0.5350366073303087,4.117064713223848
DOSE21,chck_80M,2000,3.540840599110388,0.0785873292359686,0.5695926735695837,4.110433272679972
DOSE21,chck_90M,2000,3.5623869446014793,0.07920627392701263,0.5327911468837218,4.0951780914852005
DOSE25,chck_100M,2000,3.595340318026274,0.08166946049321946,0.5405155537546357,4.135855871780909
DOSE25,chck_80M,2000,3.585861353335005,0.08128737321409693,0.5548561506451302,4.140717503980136
DOSE25,chck_90M,2000,3.6000924074787455,0.08171915331757208,0.5366265367913452,4.136718944270091
