role,checkpoint,token_class,n,T,U,N,A_T,A_U,G
BASE0,chck_100M,nonoverlap,2732,6.333227284075378,7.984890490721251,8.310703405826782,1.9774761217514034,0.32581291510553084,1.6516632066458725
BASE0,chck_100M,overlap,3160,1.4535906895092185,7.876681955355143,8.114981627095597,6.661390937586378,0.23829967174045388,6.423091265845924
BASE0,chck_80M,nonoverlap,2732,6.3829278864551435,7.972567247304558,8.298703704239312,1.9157758177841684,0.3261364569347543,1.5896393608494142
BASE0,chck_80M,overlap,3160,1.5158726693958462,7.874498421259967,8.103780350467202,6.587907681071355,0.2292819292072348,6.358625751864121
BASE0,chck_90M,nonoverlap,2732,6.331181420788161,7.969498650147682,8.28073945706424,1.949558036276078,0.3112408069165568,1.6383172293595212
BASE0,chck_90M,overlap,3160,1.4818582204283257,7.854098372243616,8.07666762563506,6.594809405206735,0.2225692533914448,6.372240151815291
DOSE21,chck_100M,nonoverlap,2732,6.243627888903207,7.926098022559497,8.242601593713635,1.9989737048104275,0.3165035711541379,1.6824701336562895
DOSE21,chck_100M,overlap,3160,1.4993014229586807,7.851080539414388,8.092617787489568,6.593316364530887,0.24153724807517934,6.351779116455707
DOSE21,chck_80M,nonoverlap,2732,6.2704107512152,7.942529432701921,8.240176315770496,1.9697655645552967,0.2976468830685763,1.6721186814867206
DOSE21,chck_80M,overlap,3160,1.615859538697471,7.837426886834864,8.069235337399023,6.453375798701551,0.23180845056415852,6.221567348137393
DOSE21,chck_90M,nonoverlap,2732,6.252658663868787,7.925622217912134,8.232380073355296,1.9797214094865085,0.3067578554431612,1.6729635540433474
DOSE21,chck_90M,overlap,3160,1.5229953507157086,7.8373209606148775,8.072368958690852,6.549373607975143,0.2350479980759747,6.314325609899169
DOSE25,chck_100M,nonoverlap,2732,6.218464645070309,8.003736419494142,8.307873129344234,2.0894084842739242,0.30413670985009056,1.7852717744238336
DOSE25,chck_100M,overlap,3160,1.3614483513383422,8.03230735099509,8.161371358168235,6.799923006829893,0.12906400717314498,6.670858999656748
DOSE25,chck_80M,nonoverlap,2732,6.286460201351428,8.016485002941804,8.302734013070049,2.0162738117186207,0.28624901012824316,1.7300248015903776
DOSE25,chck_80M,overlap,3160,1.4582349444152287,8.022972413181044,8.148360487760657,6.690125543345429,0.12538807457961332,6.5647374687658155
DOSE25,chck_90M,nonoverlap,2732,6.22839303858071,8.020292198417728,8.313904867227984,2.0855118286472747,0.2936126688102568,1.7918991598370178
DOSE25,chck_90M,overlap,3160,1.3640376386200623,8.040653930529599,8.15650497681647,6.792467338196407,0.11585104628687111,6.676616291909536
