role,n_checkpoints,n,gain,repeated_nll,unrepeated_nll
BASE0,3,2000.0,3.5552112539815575,0.5594024444277885,4.114613698409346
DOSE21,3,2000.0,3.5617518832018025,0.5458068092612046,4.107558692463007
DOSE25,3,2000.0,3.593764692946675,0.5439994137303703,4.137764106677046
