seed,arm,base_common_g,base_common_b,base_common_p,aux_common_g,aux_common_b,aux_common_p,base_compact_with_source_delta_nll,base_current_with_source_delta_nll,aux_compact_with_source_delta_nll,aux_current_with_source_delta_nll,elapsed_sec
60001,compact_aux_support,0.15006782131690888,0.10615139487088614,0.024212896625200927,0.1529307235143192,-0.07368115030805626,-0.10754378920509707,-0.5423896620819348,-0.1948559157159145,-0.6376235118488583,-0.2648619345633224,12.0
60002,compact_aux_support,0.17030472574123579,0.10361983125707848,0.02306245542707897,0.14112837044965656,-0.06447316032080426,-0.08732445041338607,-0.541810362934071,-0.21383414522065056,-0.5957801132491141,-0.20150773416805481,11.9
60003,compact_aux_support,0.14966934837944187,0.0938556429199387,0.021519508134751134,0.1344402707625358,-0.06900734234867358,-0.07938967432294573,-0.5571300714076957,-0.20297438888248473,-0.6260261994038681,-0.22763121028020536,12.3
60001,compact_base80_unspent,0.14658409431499123,0.09208479508502589,0.034569603176343985,0.08711010924473943,-0.041090709051959946,-0.05349053229604449,-0.5506053303907169,-0.1877897387502005,-0.11589166928280259,-0.08146889718981194,11.9
60002,compact_base80_unspent,0.13084273044452335,0.0883310238616763,0.029154923302786687,0.04783117449066295,-0.036532283566581746,-0.041621487765085154,-0.5662459256815549,-0.2309800464982069,-0.11099530948523545,-0.07232782120090199,11.9
60003,compact_base80_unspent,0.11710667776509323,0.07687982815617163,0.021928868605976967,0.04285489850389285,-0.030626106591496147,-0.03471848794392177,-0.5667873215245048,-0.20287047868766295,-0.12558483419318994,-0.06756028276036627,11.9
60001,compact_interleaved_recurrence,0.17006668365394162,0.09096738026532833,0.025870424225216765,0.10558305912473724,-0.04891205254188253,-0.07110975611777537,-0.5830096975894484,-0.2119729973077055,-0.132594468804415,-0.08766116869464029,11.8
60002,compact_interleaved_recurrence,0.14561296442590124,0.08944080152526675,0.03438119570414223,0.051682886795052126,-0.03807296057874782,-0.03419774061157594,-0.5953508945398986,-0.2363807427619559,-0.11339720726210738,-0.07276920921729124,11.8
60003,compact_interleaved_recurrence,0.17264906900047908,0.09350393829290712,0.024736564783822895,0.06253361026202109,-0.05203060365082436,-0.05951793704714094,-0.6156801950524777,-0.22559435672897676,-0.1146244317067392,-0.07160041442312788,12.4
60001,current_aux_substitution,-0.004485136101998039,0.060259620289185224,0.0415026831343061,0.060341987875290215,-0.17773088501832848,-0.16961199470928737,-0.1618950163508998,-0.5177471050403398,-0.612182811207392,-0.34516370089148124,11.6
60002,current_aux_substitution,0.04562348363144946,0.06544235691494711,0.03785974590551282,0.11515615969186742,-0.1841844265304861,-0.16125148676690607,-0.1521658939740766,-0.5021313014638543,-0.5662376950805386,-0.2843787020454848,11.8
60003,current_aux_substitution,0.0034540565631219367,0.05781816097819025,0.02395021012851167,0.05889620789925441,-0.15897824052566042,-0.1558449183191572,-0.16356328625882685,-0.4893686318022197,-0.6207733346008215,-0.3149747488343911,12.3
60001,current_base80,-0.004248581758389844,0.049406538685517656,0.04535827812694367,-0.014037755390052618,-0.1784538328592178,-0.1606973863783337,-0.19261646342237787,-0.582551811946306,-0.16494627486293514,-0.20303257673540862,12.0
60002,current_base80,0.03305027813140656,0.03868928133487882,0.030552928135508573,0.041629919227922266,-0.18705729937313928,-0.15957250197728476,-0.17978961512625696,-0.5810220852077941,-0.16369491346519102,-0.20284623616247527,12.0
60003,current_base80,0.0038717076512763504,0.04759300429573556,0.034792794301396326,-0.011759427764142532,-0.17925891162650215,-0.16698474259603596,-0.18070398070703958,-0.588328579707926,-0.16246690890667112,-0.20224520516681618,11.8
