loss_chck_100M,loss_chck_60M,loss_chck_80M,loss_reduction_60_to_100,loss_reduction_60_to_80,loss_reduction_80_to_100,model_arm,replicate,set_base
4.763349,4.98422,,0.220871,,,breadth,1,reference_breadth_changed
4.699426,4.925662,,0.226236,,,breadth,2,reference_breadth_changed
4.648482,4.889458,,0.240976,,,breadth,3,reference_breadth_changed
2.071941,2.219619,,0.147678,,,repeat,1,reference_repeat_changed
2.096892,2.258703,,0.161811,,,repeat,2,reference_repeat_changed
1.940108,2.092708,,0.1526,,,repeat,3,reference_repeat_changed
2.59928,2.891833,,0.292553,,,view,1,reference_view_changed
2.653814,2.980321,,0.326507,,,view,2,reference_view_changed
2.630596,2.923337,,0.292741,,,view,3,reference_view_changed
3.531661,3.747543,3.57253,0.215882,0.175013,0.040869,clean,1,register_adultprose_removed
3.431189,3.650346,3.482174,0.219157,0.168172,0.050985,clean,2,register_adultprose_removed
3.496089,3.699342,3.550314,0.203253,0.149028,0.054225,clean,3,register_adultprose_removed
2.601765,2.75165,2.636689,0.149885,0.114961,0.034924,clean,1,register_childspeech_removed
2.49144,2.644986,2.528233,0.153546,0.116753,0.036793,clean,2,register_childspeech_removed
2.542955,2.689959,2.576741,0.147004,0.113218,0.033786,clean,3,register_childspeech_removed
