text_set,replicate,loss_80M,loss_100M,rate_80_to_100,mass_distinct_or_changed_words,mass_rate_product
view_changed,1,3.256158,3.202598,0.05356,1118720,59918.643
view_changed,2,3.347013,3.287737,0.059276,1118720,66313.247
view_changed,3,3.288131,3.229758,0.058373,1118720,65303.043
breadth_changed,1,5.255827,5.219368,0.036459,1118587,40782.563
breadth_changed,2,5.223292,5.192287,0.031005,1118587,34681.79
breadth_changed,3,5.209462,5.175383,0.034079,1118587,38120.326
repeat_changed,1,2.991233,2.959032,0.032201,1118720,36023.903
repeat_changed,2,2.995205,2.954847,0.040358,1118720,45149.302
repeat_changed,3,2.839004,2.798131,0.040873,1118720,45725.443
clean_displaced,1,2.982777,2.941347,0.04143,1118720,46348.57
clean_displaced,2,2.972584,2.928867,0.043717,1118720,48907.082
clean_displaced,3,3.116062,3.074043,0.042019,1118720,47007.496
