checkpoint,text_set,replicate,mask_seed,row_seed,mean_loss,row_loss_mean_unweighted,row_loss_sd_unweighted,n_rows,n_tokens_masked,n_subword_tokens,eval_time_sec
chck_80M,view_changed,1,295101,30720,3.256158,3.247837,0.963476,300,9112,61685,12.1
chck_80M,breadth_changed,1,295101,30619,5.255827,5.248811,0.776168,300,8900,60281,11.6
chck_80M,repeat_changed,1,295101,30518,2.991233,2.970817,0.845781,300,8746,59273,12.4
chck_80M,clean_displaced,1,295101,31518,2.982777,3.046771,1.080195,300,9341,63225,12.4
chck_80M,view_changed,2,295102,30738,3.347013,3.345985,0.968461,300,8995,60885,11.7
chck_80M,breadth_changed,2,295102,30637,5.223292,5.202103,0.737118,300,8805,59613,10.8
chck_80M,repeat_changed,2,295102,30536,2.995205,2.991724,0.906807,300,8713,59029,12.1
chck_80M,clean_displaced,2,295102,31536,2.972584,3.014501,1.106317,300,9333,63151,12.8
chck_80M,view_changed,3,295103,30756,3.288131,3.287768,0.937924,300,9036,61251,12.4
chck_80M,breadth_changed,3,295103,30655,5.209462,5.197896,0.7697,300,8960,60642,12.0
chck_80M,repeat_changed,3,295103,30554,2.839004,2.844478,0.838447,300,8673,58801,12.1
chck_80M,clean_displaced,3,295103,31554,3.116062,3.167978,1.115169,300,9316,63091,12.7
chck_100M,view_changed,1,295101,30720,3.202598,3.196238,0.959767,300,9112,61685,12.7
chck_100M,breadth_changed,1,295101,30619,5.219368,5.21294,0.778534,300,8900,60281,12.7
chck_100M,repeat_changed,1,295101,30518,2.959032,2.939326,0.838159,300,8746,59273,12.5
chck_100M,clean_displaced,1,295101,31518,2.941347,3.005654,1.080925,300,9341,63225,11.9
chck_100M,view_changed,2,295102,30738,3.287737,3.288166,0.969968,300,8995,60885,11.5
chck_100M,breadth_changed,2,295102,30637,5.192287,5.171594,0.736607,300,8805,59613,10.2
chck_100M,repeat_changed,2,295102,30536,2.954847,2.951752,0.908471,300,8713,59029,10.6
chck_100M,clean_displaced,2,295102,31536,2.928867,2.971191,1.100367,300,9333,63151,11.7
chck_100M,view_changed,3,295103,30756,3.229758,3.229662,0.942885,300,9036,61251,11.6
chck_100M,breadth_changed,3,295103,30655,5.175383,5.163769,0.775206,300,8960,60642,11.5
chck_100M,repeat_changed,3,295103,30554,2.798131,2.803311,0.841098,300,8673,58801,11.3
chck_100M,clean_displaced,3,295103,31554,3.074043,3.125681,1.105303,300,9316,63091,12.0
