arm,sentences,words,mean_words,median_words,source_words,length_bin_words,bucket_words,required_capability_words,all_capability_words,match_modes,mean_core_score,mean_relation_markers
treatment,711,30000,42.19409282700422,41,"{""fw_breadth_whole_sentence_companions"": 1250, ""fw_compact_rewrites"": 363, ""fw_frozen_sources_38167"": 3264, ""compact_experience_aligned_10m_rows"": 25123}","{""08_15"": 57, ""16_25"": 1517, ""26_35"": 5204, ""36_50"": 11523, ""51_70"": 11699}","{""physical_material_transition"": 22659, ""spatial_transition"": 6000, ""temporal_quantity_transition"": 1341}","{""physical_anchor"": 22659, ""quantity_anchor"": 1341, ""spatial_anchor"": 6000}",,,15.596272855133614,2.7848101265822787
anchor_control,713,29958,42.01683029453015,41,"{""fw_breadth_whole_sentence_companions"": 1249, ""fw_compact_rewrites"": 363, ""fw_frozen_sources_38167"": 3263, ""compact_experience_aligned_10m_rows"": 25083}","{""08_15"": 77, ""16_25"": 1517, ""26_35"": 5204, ""36_50"": 11521, ""51_70"": 11639}",,"{""physical_anchor"": 22598, ""quantity_anchor"": 1341, ""spatial_anchor"": 5999, ""topup"": 20}","{""physical_anchor"": 27332, ""quantity_anchor"": 21200, ""spatial_anchor"": 25983}","{""budget_topup_anchor_control"": 20, ""same_source_lenbin_cap"": 29938}",,
