seed,checkpoint,probe_set,slot_mode,packet_type,grouping,n_packets,mean_content_binding_pair_sum_Tretention_Uretention,se_content_binding_pair_sum_Tretention_Uretention,fraction_positive_content_binding_pair_sum_Tretention_Uretention,mean_content_binding_pair_sum_Tupdate_Uretention,se_content_binding_pair_sum_Tupdate_Uretention,fraction_positive_content_binding_pair_sum_Tupdate_Uretention,mean_content_delta_N_retention_prior,se_content_delta_N_retention_prior,fraction_positive_content_delta_N_retention_prior,mean_content_delta_N_update_prior,se_content_delta_N_update_prior,fraction_positive_content_delta_N_update_prior,mean_content_delta_T_retention,se_content_delta_T_retention,fraction_positive_content_delta_T_retention,mean_content_delta_T_update_use,se_content_delta_T_update_use,fraction_positive_content_delta_T_update_use,mean_content_delta_U_retention,se_content_delta_U_retention,fraction_positive_content_delta_U_retention,mean_content_net_T_minus_N_retention,se_content_net_T_minus_N_retention,fraction_positive_content_net_T_minus_N_retention,mean_content_net_T_minus_N_update_use,se_content_net_T_minus_N_update_use,fraction_positive_content_net_T_minus_N_update_use,mean_content_net_T_minus_U_retention,se_content_net_T_minus_U_retention,fraction_positive_content_net_T_minus_U_retention,mean_content_net_T_minus_U_update_use,se_content_net_T_minus_U_update_use,fraction_positive_content_net_T_minus_U_update_use,mean_full_binding_pair_sum_Tretention_Uretention,se_full_binding_pair_sum_Tretention_Uretention,fraction_positive_full_binding_pair_sum_Tretention_Uretention,mean_full_binding_pair_sum_Tupdate_Uretention,se_full_binding_pair_sum_Tupdate_Uretention,fraction_positive_full_binding_pair_sum_Tupdate_Uretention,mean_full_delta_N_retention_prior,se_full_delta_N_retention_prior,fraction_positive_full_delta_N_retention_prior,mean_full_delta_N_update_prior,se_full_delta_N_update_prior,fraction_positive_full_delta_N_update_prior,mean_full_delta_T_retention,se_full_delta_T_retention,fraction_positive_full_delta_T_retention,mean_full_delta_T_update_use,se_full_delta_T_update_use,fraction_positive_full_delta_T_update_use,mean_full_delta_U_retention,se_full_delta_U_retention,fraction_positive_full_delta_U_retention,mean_full_net_T_minus_N_retention,se_full_net_T_minus_N_retention,fraction_positive_full_net_T_minus_N_retention,mean_full_net_T_minus_N_update_use,se_full_net_T_minus_N_update_use,fraction_positive_full_net_T_minus_N_update_use,mean_full_net_T_minus_U_retention,se_full_net_T_minus_U_retention,fraction_positive_full_net_T_minus_U_retention,mean_full_net_T_minus_U_update_use,se_full_net_T_minus_U_update_use,fraction_positive_full_net_T_minus_U_update_use,updated_conflict_heuristic,gold_state_type
43122,chck_86M,extended_nontrain,template,UNCHANGED_DISTRACTOR_USE,seed+checkpoint+probe_set+slot_mode+packet_type,200,0.08267590382770741,0.0657671220218586,0.535,nan,nan,nan,-0.251928663588588,0.07814630908331659,0.42,nan,nan,nan,0.12060075409585919,0.07549200297459553,0.55,nan,nan,nan,0.04475105355955562,0.08322586454752667,0.5,0.37252941768444725,0.07611908813967805,0.645,nan,nan,nan,0.313728062248842,0.06739073042103355,0.62,nan,nan,nan,0.07121244411969957,0.05366696705766874,0.54,nan,nan,nan,-0.1445454444992929,0.06336528252108335,0.455,nan,nan,nan,0.1170458773511359,0.06264225187772025,0.57,nan,nan,nan,0.025379010888263234,0.07077180710316446,0.525,0.2615913218504288,0.0641591908045331,0.625,nan,nan,nan,0.24205603328196956,0.05711817603495375,0.61,nan,nan,nan,,
43122,chck_86M,extended_nontrain,template,UPDATED_USE,seed+checkpoint+probe_set+slot_mode+packet_type,1125,nan,nan,nan,-0.05517626788394145,0.018754301751643422,0.46755555555555556,nan,nan,nan,0.26449845137940525,0.03701485838545747,0.6026666666666667,nan,nan,nan,-0.1378672869625695,0.037363913777642276,0.4622222222222222,0.02751475119468661,0.03693268058347176,0.48444444444444446,nan,nan,nan,-0.40236573834197475,0.035512984940276014,0.36,nan,nan,nan,-0.3403076548160684,0.03467530806007497,0.37155555555555553,nan,nan,nan,-0.04700023911642844,0.01717106462120995,0.45955555555555555,nan,nan,nan,0.25004658322741014,0.032969046394578,0.6266666666666667,nan,nan,nan,-0.11468500704291404,0.03358702214484515,0.4657777777777778,0.020684528810057154,0.0323482766285689,0.4826666666666667,nan,nan,nan,-0.3647315902703242,0.031913277872990864,0.352,nan,nan,nan,-0.3166324705929666,0.031057761655845024,0.3546666666666667,,
43122,chck_86M,balanced_heldout,template,UNCHANGED_DISTRACTOR_USE,seed+checkpoint+probe_set+slot_mode+packet_type,200,0.08267590382770741,0.0657671220218586,0.535,nan,nan,nan,-0.251928663588588,0.07814630908331659,0.42,nan,nan,nan,0.12060075409585919,0.07549200297459553,0.55,nan,nan,nan,0.04475105355955562,0.08322586454752667,0.5,0.37252941768444725,0.07611908813967805,0.645,nan,nan,nan,0.313728062248842,0.06739073042103355,0.62,nan,nan,nan,0.07121244411969957,0.05366696705766874,0.54,nan,nan,nan,-0.1445454444992929,0.06336528252108335,0.455,nan,nan,nan,0.1170458773511359,0.06264225187772025,0.57,nan,nan,nan,0.025379010888263234,0.07077180710316446,0.525,0.2615913218504288,0.0641591908045331,0.625,nan,nan,nan,0.24205603328196956,0.05711817603495375,0.61,nan,nan,nan,,
43122,chck_86M,balanced_heldout,template,UPDATED_USE,seed+checkpoint+probe_set+slot_mode+packet_type,200,nan,nan,nan,-0.04648146002675326,0.047657749008103906,0.515,nan,nan,nan,0.19089711277043672,0.087251099895373,0.575,nan,nan,nan,-0.22237933903686039,0.09531180614649644,0.455,0.12941641898335385,0.08976579195763121,0.555,nan,nan,nan,-0.4132764518072971,0.08572054343394277,0.345,nan,nan,nan,-0.3560633877576802,0.08502035974985335,0.355,nan,nan,nan,-0.031185604008638974,0.04152658206644606,0.515,nan,nan,nan,0.17897753301768693,0.0777898319769981,0.6,nan,nan,nan,-0.16205677427921264,0.0809992275289417,0.49,0.09968556626193469,0.08198218799507788,0.525,nan,nan,nan,-0.34103430729689954,0.07309358595044564,0.35,nan,nan,nan,-0.29413729435767755,0.07104525882349719,0.385,,
43122,final,extended_nontrain,template,UNCHANGED_DISTRACTOR_USE,seed+checkpoint+probe_set+slot_mode+packet_type,200,0.0971186111837325,0.06635755513172627,0.525,nan,nan,nan,-0.23748666119576195,0.07776019226899201,0.445,nan,nan,nan,0.1375691698001774,0.07434814773972011,0.545,nan,nan,nan,0.05666805256728762,0.08410270508902248,0.49,0.3750558309959393,0.07648187879439677,0.65,nan,nan,nan,0.31575355623285956,0.06884492949811126,0.62,nan,nan,nan,0.08032869199320485,0.05353970216415071,0.555,nan,nan,nan,-0.1296084222503627,0.06325694515155947,0.46,nan,nan,nan,0.13065680626958323,0.061173056149165045,0.57,nan,nan,nan,0.030000577716826467,0.07016545458630358,0.52,0.26026522851994593,0.06428646857648063,0.62,nan,nan,nan,0.24028799557432634,0.05809844066589956,0.605,nan,nan,nan,,
43122,final,extended_nontrain,template,UPDATED_USE,seed+checkpoint+probe_set+slot_mode+packet_type,1125,nan,nan,nan,-0.0513356877700023,0.01846846464740375,0.4622222222222222,nan,nan,nan,0.2198068780561328,0.03676161682508174,0.5884444444444444,nan,nan,nan,-0.10815902975100823,0.03711826442293595,0.4746666666666667,0.005487654211003623,0.03642817733250122,0.4711111111111111,nan,nan,nan,-0.327965907807141,0.035588943506231485,0.376,nan,nan,nan,-0.26701360347851594,0.03437898542398032,0.38666666666666666,nan,nan,nan,-0.042113326230169654,0.017001320281584947,0.4711111111111111,nan,nan,nan,0.20902633612447447,0.03266108906148953,0.6071111111111112,nan,nan,nan,-0.08633143274598892,0.03332587842128478,0.4746666666666667,0.0021047802856496035,0.031968162648157765,0.47644444444444445,nan,nan,nan,-0.2953577688704634,0.03207037356669278,0.3831111111111111,nan,nan,nan,-0.24800104114186128,0.030850982871331534,0.3768888888888889,,
43122,final,balanced_heldout,template,UNCHANGED_DISTRACTOR_USE,seed+checkpoint+probe_set+slot_mode+packet_type,200,0.0971186111837325,0.06635755513172627,0.525,nan,nan,nan,-0.23748666119576195,0.07776019226899201,0.445,nan,nan,nan,0.1375691698001774,0.07434814773972011,0.545,nan,nan,nan,0.05666805256728762,0.08410270508902248,0.49,0.3750558309959393,0.07648187879439677,0.65,nan,nan,nan,0.31575355623285956,0.06884492949811126,0.62,nan,nan,nan,0.08032869199320485,0.05353970216415071,0.555,nan,nan,nan,-0.1296084222503627,0.06325694515155947,0.46,nan,nan,nan,0.13065680626958323,0.061173056149165045,0.57,nan,nan,nan,0.030000577716826467,0.07016545458630358,0.52,0.26026522851994593,0.06428646857648063,0.62,nan,nan,nan,0.24028799557432634,0.05809844066589956,0.605,nan,nan,nan,,
43122,final,balanced_heldout,template,UPDATED_USE,seed+checkpoint+probe_set+slot_mode+packet_type,200,nan,nan,nan,-0.02982866942127454,0.04588398579195897,0.495,nan,nan,nan,0.1448186307129839,0.0849122689533761,0.545,nan,nan,nan,-0.17975814465360737,0.09450875657679225,0.47,0.1201008058110583,0.08608767539280603,0.565,nan,nan,nan,-0.3245767753665913,0.08520784728662623,0.36,nan,nan,nan,-0.2796120541981238,0.08391824347191001,0.355,nan,nan,nan,-0.01796788809792384,0.0394820829482824,0.505,nan,nan,nan,0.13742493383564333,0.07545184593931137,0.56,nan,nan,nan,-0.12696575614856054,0.08051037632635985,0.465,0.09102997995271286,0.07800110289704137,0.525,nan,nan,nan,-0.2643906899842039,0.07281272629216722,0.385,nan,nan,nan,-0.22407590897656662,0.06994670749228969,0.385,,
43122,chck_86M,extended_nontrain,template,UNCHANGED_DISTRACTOR_USE,seed+checkpoint+probe_set+slot_mode+packet_type+updated_conflict_heuristic,200,0.08267590382770741,0.0657671220218586,0.535,nan,nan,nan,-0.251928663588588,0.07814630908331659,0.42,nan,nan,nan,0.12060075409585919,0.07549200297459553,0.55,nan,nan,nan,0.04475105355955562,0.08322586454752667,0.5,0.37252941768444725,0.07611908813967805,0.645,nan,nan,nan,0.313728062248842,0.06739073042103355,0.62,nan,nan,nan,0.07121244411969957,0.05366696705766874,0.54,nan,nan,nan,-0.1445454444992929,0.06336528252108335,0.455,nan,nan,nan,0.1170458773511359,0.06264225187772025,0.57,nan,nan,nan,0.025379010888263234,0.07077180710316446,0.525,0.2615913218504288,0.0641591908045331,0.625,nan,nan,nan,0.24205603328196956,0.05711817603495375,0.61,nan,nan,nan,,
43122,chck_86M,extended_nontrain,template,UPDATED_USE,seed+checkpoint+probe_set+slot_mode+packet_type+updated_conflict_heuristic,715,nan,nan,nan,-0.04777476779610242,0.023149445999624253,0.4755244755244755,nan,nan,nan,0.30666062598394545,0.04688531718156878,0.606993006993007,nan,nan,nan,-0.15790044379687918,0.04780854440315384,0.45454545454545453,0.062350908204674316,0.045928109482971394,0.5020979020979021,nan,nan,nan,-0.4645610697808246,0.0444818925584886,0.33146853146853145,nan,nan,nan,-0.37673751857125587,0.04382278652471323,0.34545454545454546,nan,nan,nan,-0.04023684058634465,0.020827896589490774,0.46573426573426574,nan,nan,nan,0.29114368624751746,0.04196001263112102,0.6377622377622377,nan,nan,nan,-0.12979023688227703,0.04270025447923287,0.45454545454545453,0.04931655570958773,0.0396850974690128,0.4937062937062937,nan,nan,nan,-0.4209339231297945,0.0395301536299296,0.32727272727272727,nan,nan,nan,-0.3554452164135996,0.03886909188730394,0.32727272727272727,True,
