pair_id,source,original_words,rewrite_words,pair_words,len_ratio,content_jaccard_common_def,content_overlap_min_common_def,stored_content_overlap,stored_content_jaccard,longest_common_contiguous_words_common_def
dose56_rw2s1_007609,simple_wiki,18,17,35,0.9444444444444444,0.38461538461538464,0.5555555555555556,0.5555555555555556,0.38461538461538464,4
dose56_rw2s1_011922,gutenberg,31,30,61,0.967741935483871,0.23076923076923078,0.42857142857142855,0.42857142857142855,0.23076923076923078,5
dose56_rw2s0_022935,open_subtitles,18,23,41,1.2777777777777777,0.4444444444444444,0.6666666666666666,0.7777777777777778,0.5833333333333334,5
dose56_rw_007941,gutenberg,13,13,26,1.0,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.7142857142857143,5
dose56_rw2s0_002655,bnc_spoken,22,21,43,0.9545454545454546,0.2,0.42857142857142855,0.5454545454545454,0.3157894736842105,2
dose56_rw2s0_011720,gutenberg,22,26,48,1.1818181818181819,0.15789473684210525,0.3,0.3,0.15789473684210525,4
dose56_rw2s0_024921,gutenberg,19,19,38,1.0,0.38461538461538464,0.5555555555555556,0.6,0.42857142857142855,4
dose56_rw2s0_013082,gutenberg,42,33,75,0.7857142857142857,0.1935483870967742,0.3333333333333333,0.3333333333333333,0.1935483870967742,2
dose56_rw2s0_020125,simple_wiki,42,35,77,0.8333333333333334,0.14634146341463414,0.2857142857142857,0.2727272727272727,0.14285714285714285,3
dose56_rw2s1_020143,open_subtitles,21,23,44,1.0952380952380953,0.2727272727272727,0.5,0.5,0.25,3
dose56_rw2s0_031981,open_subtitles,20,19,39,0.95,0.1875,0.375,0.42857142857142855,0.2,2
dose56_rw2s1_001805,simple_wiki,18,16,34,0.8888888888888888,0.1875,0.3333333333333333,0.3333333333333333,0.1875,2
dose56_rw_038543,childes,17,14,31,0.8235294117647058,0.5454545454545454,0.8571428571428571,0.8571428571428571,0.5454545454545454,3
dose56_rw2s0_025482,gutenberg,19,22,41,1.1578947368421053,0.10526315789473684,0.25,0.3,0.13636363636363635,1
dose56_rw_040222,childes,14,12,26,0.8571428571428571,0.2727272727272727,0.42857142857142855,0.42857142857142855,0.2727272727272727,2
dose56_rw2s1_012512,open_subtitles,18,14,32,0.7777777777777778,0.0625,0.14285714285714285,0.14285714285714285,0.058823529411764705,2
dose56_rw2s1_011494,open_subtitles,22,25,47,1.1363636363636365,0.4,0.6,0.6,0.4,3
dose56_rw_008169,bnc_spoken,17,20,37,1.1764705882352942,0.25,0.4444444444444444,0.4444444444444444,0.25,4
dose56_rw2s0_000798,gutenberg,25,29,54,1.16,0.07407407407407407,0.15384615384615385,0.16666666666666666,0.07692307692307693,2
dose56_rw_001656,simple_wiki,14,16,30,1.1428571428571428,0.5454545454545454,0.75,0.75,0.5,4
dose56_rw_021440,childes,14,14,28,1.0,0.45454545454545453,0.625,0.625,0.45454545454545453,5
dose56_rw2s0_013057,gutenberg,26,24,50,0.9230769230769231,0.17857142857142858,0.3125,0.3125,0.17857142857142858,3
dose56_rw_038122,open_subtitles,12,12,24,1.0,0.375,0.6,0.6,0.3333333333333333,5
dose56_rw2s0_004574,open_subtitles,26,24,50,0.9230769230769231,0.3333333333333333,0.5,0.5,0.3157894736842105,5
dose56_rw2s0_020625,gutenberg,19,21,40,1.105263157894737,0.16666666666666666,0.4,0.4,0.16666666666666666,3
dose56_rw_043899,childes,14,15,29,1.0714285714285714,0.26666666666666666,0.4444444444444444,0.4,0.25,1
dose56_rw2s0_029935,open_subtitles,19,20,39,1.0526315789473684,0.3333333333333333,0.5555555555555556,0.45454545454545453,0.2777777777777778,4
dose56_rw2s1_023101,open_subtitles,25,30,55,1.2,0.23076923076923078,0.42857142857142855,0.42857142857142855,0.2222222222222222,3
dose56_rw2s1_008475,gutenberg,24,25,49,1.0416666666666667,0.24,0.4,0.46153846153846156,0.2608695652173913,4
dose56_rw2s0_024936,gutenberg,21,25,46,1.1904761904761905,0.22727272727272727,0.38461538461538464,0.38461538461538464,0.22727272727272727,5
dose56_rw2s0_029921,simple_wiki,22,23,45,1.0454545454545454,0.47368421052631576,0.6428571428571429,0.6666666666666666,0.47619047619047616,4
dose56_rw2s0_028964,simple_wiki,19,19,38,1.0,0.7857142857142857,0.9166666666666666,0.9166666666666666,0.7857142857142857,4
dose56_rw_040362,childes,15,15,30,1.0,0.2727272727272727,0.5,0.5,0.2727272727272727,3
dose56_rw2s1_009237,gutenberg,47,49,96,1.0425531914893618,0.13636363636363635,0.2727272727272727,0.30434782608695654,0.15555555555555556,2
dose56_rw_027911,gutenberg,20,21,41,1.05,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.07142857142857142,5
dose56_rw2s1_027577,bnc_spoken,32,33,65,1.03125,0.48,0.6666666666666666,0.6842105263157895,0.5,5
dose56_rw2s1_000369,gutenberg,49,46,95,0.9387755102040817,0.13157894736842105,0.2631578947368421,0.25,0.125,5
dose56_rw2s0_013050,simple_wiki,25,26,51,1.04,0.631578947368421,0.8,0.8,0.5714285714285714,5
dose56_rw2s1_029301,gutenberg,28,26,54,0.9285714285714286,0.07142857142857142,0.13333333333333333,0.14285714285714285,0.07407407407407407,2
dose56_rw2s1_030545,gutenberg,28,31,59,1.1071428571428572,0.2916666666666667,0.5384615384615384,0.5833333333333334,0.3181818181818182,3
dose56_rw2s0_032607,childes,27,28,55,1.037037037037037,0.09523809523809523,0.2222222222222222,0.2,0.09090909090909091,2
dose56_rw2s1_015229,gutenberg,37,42,79,1.135135135135135,0.3125,0.5,0.5238095238095238,0.3235294117647059,4
dose56_rw2s1_028218,gutenberg,23,32,55,1.391304347826087,0.07692307692307693,0.18181818181818182,0.25,0.10344827586206896,2
dose56_rw2s0_007411,switchboard,49,44,93,0.8979591836734694,0.26666666666666666,0.5,0.5294117647058824,0.2903225806451613,4
dose56_rw2s1_024734,simple_wiki,23,22,45,0.9565217391304348,0.23529411764705882,0.4,0.36363636363636365,0.2222222222222222,4
dose56_rw2s1_020584,gutenberg,18,20,38,1.1111111111111112,0.15384615384615385,0.2857142857142857,0.2857142857142857,0.15384615384615385,5
dose56_rw2s0_020086,gutenberg,34,31,65,0.9117647058823529,0.3,0.5454545454545454,0.5384615384615384,0.3181818181818182,5
dose56_rw2s1_031909,gutenberg,54,50,104,0.9259259259259259,0.20833333333333334,0.37037037037037035,0.37037037037037035,0.20408163265306123,5
dose56_rw2s1_028452,gutenberg,19,23,42,1.2105263157894737,0.2,0.3333333333333333,0.38461538461538464,0.23809523809523808,2
dose56_rw2s1_014468,simple_wiki,29,32,61,1.103448275862069,0.3076923076923077,0.5714285714285714,0.5333333333333333,0.2857142857142857,4
dose56_rw2s1_017701,gutenberg,22,19,41,0.8636363636363636,0.1,0.2,0.16666666666666666,0.09090909090909091,3
dose56_rw_018717,childes,19,20,39,1.0526315789473684,0.25,0.42857142857142855,0.375,0.21428571428571427,2
