pair_id,source,original_words,rewrite_words,pair_words,len_ratio,content_jaccard_common_def,content_overlap_min_common_def,stored_content_overlap,stored_content_jaccard,longest_common_contiguous_words_common_def
dose56_rw2s1_013806,childes,30,29,59,0.9666666666666667,0.34782608695652173,0.5714285714285714,0.5714285714285714,0.38095238095238093,5
dose56_rw_003672,childes,22,18,40,0.8181818181818182,0.375,0.5454545454545454,0.5833333333333334,0.3888888888888889,5
dose56_rw2s1_022227,simple_wiki,18,17,35,0.9444444444444444,0.6153846153846154,0.8,0.8,0.6153846153846154,5
dose56_rw_017498,childes,13,15,28,1.1538461538461537,0.6666666666666666,0.8571428571428571,0.875,0.6363636363636364,4
dose56_rw2s0_008026,simple_wiki,18,21,39,1.1666666666666667,0.125,0.2857142857142857,0.2857142857142857,0.13333333333333333,4
dose56_rw2s0_000976,gutenberg,28,26,54,0.9285714285714286,0.47058823529411764,0.6666666666666666,0.6666666666666666,0.47058823529411764,5
dose56_rw2s1_007677,simple_wiki,20,22,42,1.1,0.25,0.4444444444444444,0.4444444444444444,0.25,3
dose56_rw_012727,open_subtitles,12,12,24,1.0,0.25,0.4,0.4,0.2222222222222222,4
dose56_rw2s0_031144,gutenberg,37,38,75,1.027027027027027,0.12903225806451613,0.26666666666666666,0.29411764705882354,0.15151515151515152,5
dose56_rw2s0_022878,gutenberg,25,19,44,0.76,0.2857142857142857,0.46153846153846156,0.46153846153846156,0.2857142857142857,2
dose56_rw_030029,childes,13,13,26,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,3
dose56_rw2s0_015192,bnc_spoken,19,19,38,1.0,0.23529411764705882,0.4,0.36363636363636365,0.2222222222222222,3
dose56_rw_035453,childes,13,14,27,1.0769230769230769,0.5,0.8,0.8,0.5,4
dose56_rw2s1_004852,gutenberg,51,54,105,1.0588235294117647,0.3055555555555556,0.55,0.5454545454545454,0.3,4
dose56_rw2s0_030965,gutenberg,36,38,74,1.0555555555555556,0.18518518518518517,0.3333333333333333,0.35294117647058826,0.20689655172413793,5
dose56_rw2s0_001816,childes,26,23,49,0.8846153846153846,0.3,0.5454545454545454,0.5384615384615384,0.30434782608695654,3
dose56_rw2s0_003818,gutenberg,20,15,35,0.75,0.4166666666666667,0.625,0.5555555555555556,0.38461538461538464,5
dose56_rw2s1_024501,gutenberg,27,26,53,0.9629629629629629,0.2857142857142857,0.5,0.5,0.2857142857142857,4
dose56_rw_011178,bnc_spoken,13,14,27,1.0769230769230769,0.36363636363636365,0.5714285714285714,0.42857142857142855,0.2727272727272727,5
dose56_rw2s0_020127,gutenberg,34,38,72,1.1176470588235294,0.2571428571428571,0.45,0.45,0.2571428571428571,4
dose56_rw_003447,simple_wiki,18,19,37,1.0555555555555556,0.6153846153846154,0.8,0.8181818181818182,0.6,3
dose56_rw2s1_032701,gutenberg,18,23,41,1.2777777777777777,0.22727272727272727,0.4166666666666667,0.4166666666666667,0.22727272727272727,4
dose56_rw2s0_018924,gutenberg,20,23,43,1.15,0.3333333333333333,0.5555555555555556,0.5454545454545454,0.35294117647058826,4
dose56_rw_041515,childes,12,6,18,0.5,0.2222222222222222,0.4,0.4,0.25,1
dose56_rw2s1_001747,simple_wiki,20,19,39,0.95,0.058823529411764705,0.1111111111111111,0.2,0.1111111111111111,3
dose56_rw_024876,childes,15,12,27,0.8,0.08333333333333333,0.16666666666666666,0.14285714285714285,0.07692307692307693,1
dose56_rw2s0_027447,gutenberg,20,22,42,1.1,0.1111111111111111,0.25,0.2222222222222222,0.10526315789473684,3
dose56_rw2s1_014733,open_subtitles,42,36,78,0.8571428571428571,0.04,0.08333333333333333,0.15384615384615385,0.07142857142857142,4
dose56_rw_020167,simple_wiki,14,14,28,1.0,0.4166666666666667,0.7142857142857143,0.7142857142857143,0.4166666666666667,3
dose56_rw_011945,open_subtitles,13,13,26,1.0,0.125,0.25,0.25,0.125,3
dose56_rw2s1_009092,gutenberg,18,19,37,1.0555555555555556,0.3,0.5,0.5714285714285714,0.36363636363636365,3
dose56_rw2s1_001896,gutenberg,39,32,71,0.8205128205128205,0.34615384615384615,0.5294117647058824,0.5625,0.36,3
dose56_rw2s1_010251,gutenberg,44,38,82,0.8636363636363636,0.16666666666666666,0.3333333333333333,0.3157894736842105,0.15789473684210525,3
dose56_rw2s0_009507,gutenberg,37,32,69,0.8648648648648649,0.11428571428571428,0.21052631578947367,0.2,0.1111111111111111,3
dose56_rw2s1_031311,simple_wiki,18,20,38,1.1111111111111112,0.7142857142857143,0.9090909090909091,0.8461538461538461,0.6875,4
dose56_rw2s1_023047,open_subtitles,18,17,35,0.9444444444444444,0.3076923076923077,0.5,0.4444444444444444,0.26666666666666666,2
dose56_rw2s0_003982,gutenberg,26,27,53,1.0384615384615385,0.16666666666666666,0.3333333333333333,0.38461538461538464,0.2,2
dose56_rw2s1_017614,gutenberg,28,29,57,1.0357142857142858,0.5,0.6923076923076923,0.6923076923076923,0.47368421052631576,4
