column,subgroup,n_items,score_82,score_84,score_alpha075,delta_84_minus_82,gains_82_to_84,losses_82_to_84,net_items_82_to_84,delta_alpha075_minus_82,gains_82_to_alpha075,losses_82_to_alpha075,net_items_82_to_alpha075,delta_alpha075_minus_84,gains_84_to_alpha075,losses_84_to_alpha075,net_items_84_to_alpha075
BLiMP,anaphor_agreement,1902,84.01682439537329,82.91272344900105,84.22712933753944,-1.1041009463722418,30,51,-21,0.2103049421661467,24,20,4,1.3144058885383885,48,23,25
BLiMP,argument_structure,6072,63.537549407114625,63.43873517786561,63.70223978919631,-0.09881422924901528,90,96,-6,0.1646903820816874,60,50,10,0.2635046113307027,98,82,16
BLiMP,binding,6510,65.48387096774194,65.34562211981567,65.89861751152074,-0.13824884792626335,139,148,-9,0.41474654377880427,88,61,27,0.5529953917050676,162,126,36
BLiMP,control_raising,4363,65.68874627549852,64.81778592711437,65.6199862479945,-0.8709603483841448,46,84,-38,-0.06876002750401256,24,27,-3,0.8022003208801323,88,53,35
BLiMP,determiner_noun_agreement,6793,89.18003827469454,88.65008096569998,89.1211541292507,-0.529957308994554,40,76,-36,-0.05888414544384091,31,35,-4,0.47107316355071305,73,41,32
BLiMP,ellipsis,1630,85.6441717791411,85.95092024539878,85.03067484662577,0.30674846625767316,25,20,5,-0.6134969325153321,10,20,-10,-0.9202453987730053,13,28,-15
BLiMP,filler_gap_dependency,6179,66.07865350380321,66.41851432270595,66.06246965528403,0.3398608189027357,109,88,21,-0.016183848519176536,49,50,-1,-0.3560446674219122,76,98,-22
BLiMP,irregular_forms,1903,85.75932737782449,86.44245927482922,85.75932737782449,0.6831318970047278,30,17,13,0.0,12,12,0,-0.6831318970047278,13,26,-13
BLiMP,island_effects,7448,50.483351235230934,51.31578947368421,51.00698174006445,0.8324382384532782,190,128,62,0.5236305048335126,112,73,39,-0.30880773361976566,141,164,-23
BLiMP,npi_licensing,6261,62.322312729595915,59.54320396102859,61.4758025874461,-2.779108768567326,75,249,-174,-0.8465101421498176,53,106,-53,1.9325986264175086,194,73,121
BLiMP,quantifiers,3806,79.47976878612717,81.3452443510247,80.1629006831319,1.8654755648975367,114,43,71,0.6831318970047278,42,16,26,-1.182343667892809,47,92,-45
BLiMP,s-selection,1818,65.40154015401541,66.06160616061607,64.9064906490649,0.6600660066006583,36,24,12,-0.4950495049505008,12,21,-9,-1.155115511551159,17,38,-21
