arm,supervised_rows,supervised_words,formal_satisfying_assignment_count,true_assignment_satisfies,inverted_assignment_satisfies,label_n_labeled,state_n_true_state,state_slot0_true_all,state_slot0_true_changed,state_slot0_true_unchanged,state_surface_first_true_changed,state_surface_first_true_unchanged,state_true_candidate_name_minmax,label_true_frac,label_false_frac
exposure_only,0,0,16,True,True,0,0,,,,,,,,
heldheld_only,48,2832,2,True,True,48,0,,,,,,,0.5,0.5
aligned_state_bridge,80,4208,1,True,False,80,16,0.5,0.5,0.5,0.5,0.5,"(1, 2)",0.5,0.5
inverted_state_bridge,80,4208,1,False,True,80,16,0.5,0.5,0.5,0.5,0.5,"(1, 4)",0.5,0.5
neutral_decoupled,80,4976,2,True,True,80,16,0.5,0.5,0.5,0.0,0.0,"(2, 4)",0.5,0.5
mixed_event_bridge,56,3224,1,True,False,56,0,,,,,,,0.5,0.5
