candidate_order,source_order,child_alignment_all_child_words_pearson_r,child_alignment_all_child_words_p,child_alignment_official_model_fit_words_pearson_r,child_alignment_official_model_fit_words_p,model_alignment_pearson_r,n_child_words,n_model_words
alphabetical_sources,"['bnc_spoken', 'childes', 'cleanqwen_fineweb_compact_view_reinvest', 'gutenberg', 'neutral_cleanqwen_topup_compact_reinvest::open_subtitles', 'open_subtitles', 'qwen_pair_packed', 'simple_wiki', 'switchboard']",0.0035754146313347404,0.9427445854707508,0.04007896623435349,0.5497889674256391,-0.13730090630301398,406,225
largest_sources_first,"['childes', 'gutenberg', 'open_subtitles', 'qwen_pair_packed', 'simple_wiki', 'bnc_spoken', 'cleanqwen_fineweb_compact_view_reinvest', 'switchboard', 'neutral_cleanqwen_topup_compact_reinvest::open_subtitles']",-0.0052794506331983945,0.9155420957728048,-0.002336835455076944,0.9721934951297306,-0.19034744927680505,406,225
source_child_aoa_enrichment_first,"['childes', 'neutral_cleanqwen_topup_compact_reinvest::open_subtitles', 'simple_wiki', 'cleanqwen_fineweb_compact_view_reinvest', 'qwen_pair_packed', 'gutenberg', 'open_subtitles', 'bnc_spoken', 'switchboard']",-0.001445058228598104,0.9768427711937497,-0.014807489196965447,0.8251801661796081,-0.2520601252826435,406,225
childes_bnc_simple_first,"['childes', 'bnc_spoken', 'switchboard', 'simple_wiki', 'open_subtitles', 'qwen_pair_packed', 'cleanqwen_fineweb_compact_view_reinvest', 'neutral_cleanqwen_topup_compact_reinvest::open_subtitles', 'gutenberg']",-0.0022866177426207543,0.9633643883402474,-0.022096631231112475,0.7416692637638232,-0.12870244970213773,406,225
childes_spoken_first,"['childes', 'bnc_spoken', 'switchboard', 'open_subtitles', 'simple_wiki', 'qwen_pair_packed', 'cleanqwen_fineweb_compact_view_reinvest', 'neutral_cleanqwen_topup_compact_reinvest::open_subtitles', 'gutenberg']",-0.005669967601341093,0.9093207493986137,-0.02877416358514043,0.6677068342328943,-0.11777395721991193,406,225
qwen_clean_first_control,"['qwen_pair_packed', 'cleanqwen_fineweb_compact_view_reinvest', 'childes', 'open_subtitles', 'gutenberg', 'simple_wiki', 'bnc_spoken', 'switchboard', 'neutral_cleanqwen_topup_compact_reinvest::open_subtitles']",-0.03131272608590656,0.5292554729606238,-0.04053963902320815,0.5452079821678735,-0.20915552006849297,406,225
smallest_sources_first,"['neutral_cleanqwen_topup_compact_reinvest::open_subtitles', 'switchboard', 'cleanqwen_fineweb_compact_view_reinvest', 'bnc_spoken', 'simple_wiki', 'qwen_pair_packed', 'open_subtitles', 'gutenberg', 'childes']",,,,,,406,225
written_first_control,"['gutenberg', 'simple_wiki', 'cleanqwen_fineweb_compact_view_reinvest', 'qwen_pair_packed', 'open_subtitles', 'bnc_spoken', 'switchboard', 'childes', 'neutral_cleanqwen_topup_compact_reinvest::open_subtitles']",-0.062199943662891825,0.21106539642592123,,,,406,225
