domain,n,lost_correct,gained_correct,net_correct_gain_b_minus_a,added_stable_failure,removed_stable_failure,net_stable_failure_b_minus_a,lost_frac,gain_frac
material-dynamics,770,19,52,33,19,39,-20,0.024675324675324677,0.06753246753246753
physical-relations,818,6,24,18,12,27,-15,0.007334963325183374,0.029339853300733496
physical-interactions,556,17,19,2,22,16,6,0.030575539568345324,0.0341726618705036
social-properties,328,14,14,0,11,15,-4,0.042682926829268296,0.042682926829268296
quantitative-properties,314,6,7,1,10,7,3,0.01910828025477707,0.022292993630573247
physical-dynamics,120,7,4,-3,4,2,2,0.058333333333333334,0.03333333333333333
social-interactions,294,14,11,-3,9,11,-2,0.047619047619047616,0.03741496598639456
social-relations,1548,81,58,-23,62,63,-1,0.05232558139534884,0.037467700258397935
agent-properties,2210,59,64,5,64,64,0,0.02669683257918552,0.02895927601809955
material-properties,170,6,7,1,5,5,0,0.03529411764705882,0.041176470588235294
spatial-relations,490,16,15,-1,12,12,0,0.0326530612244898,0.030612244897959183
