ContextDiff,n,lost_correct,gained_correct,net_correct_gain_b_minus_a,added_stable_failure,removed_stable_failure,net_stable_failure_b_minus_a,lost_frac,gain_frac
material,840,21,56,35,21,40,-19,0.025,0.06666666666666667
antonym,3374,117,133,16,114,132,-18,0.03467694131594547,0.03941908713692946
other,490,20,18,-2,17,12,5,0.04081632653061224,0.036734693877551024
number,80,3,1,-2,3,0,3,0.0375,0.0125
active-passive,30,4,0,-4,0,1,-1,0.13333333333333333,0.0
game,20,0,1,1,0,1,-1,0.0,0.05
variable swap,2564,66,53,-13,64,64,0,0.02574102964118565,0.020670826833073322
variable_swap,30,4,2,-2,2,2,0,0.13333333333333333,0.06666666666666667
negation,190,10,11,1,9,9,0,0.05263157894736842,0.05789473684210526
