feature,r_feature_child_aoa,p_feature_child_aoa,r_feature_measured_model_aoa,p_feature_measured_model_aoa,n_child,n_model
whole_logfreq,-0.06991795438576916,0.15966905552159824,-0.6352597596936578,7.900316237018767e-27,406,225
childes_logfreq,-0.1814416196151691,0.00023763950742102674,-0.5123557008673856,1.8508924897676835e-16,406,225
bnc_logfreq,0.07561922628250765,0.12821816613674394,-0.563726370672175,2.8459770642664837e-20,406,225
opensub_logfreq,0.047472306637836754,0.3400181940557313,-0.6388065749538682,3.365153526799741e-27,406,225
spoken_mix_logfreq,-0.1689275170994676,0.0006310733386835254,-0.5184238109853945,7.079149057796751e-17,406,225
childes_minus_whole,-0.22341675823684234,5.482450924704113e-06,0.25147608171191593,0.0001375224244610396,406,225
