token_class,contrast,role_a,role_b,n,delta_T,T_a,T_b,delta_U,U_a,U_b,delta_N,N_a,N_b,delta_A_T,A_T_a,A_T_b,delta_A_U,A_U_a,A_U_b,delta_G,G_a,G_b
nonoverlap,DOSE21minusBASE0,DOSE21,BASE0,2732,-0.049225389880557024,6.216226566877848,6.265451956758405,-0.046804601354992315,7.857340716011232,7.904145317366225,-0.02971236474822092,8.154237954014855,8.183950318763076,0.019513025132336104,1.9380113871370066,1.9184983620046705,0.017092236606772282,0.2968972380036236,0.2798050013968513,0.0024207885255638217,1.641114149133383,1.6386933606078191
nonoverlap,DOSE25minusBASE0,DOSE25,BASE0,2732,-0.07559319776632822,6.189858758992076,6.265451956758405,0.020609930037893243,7.924755247404118,7.904145317366225,0.028583534336213745,8.21253385309929,8.183950318763076,0.10417673210254352,2.022675094107214,1.9184983620046705,0.00797360429832078,0.2877786056951721,0.2798050013968513,0.09620312780422302,1.7348964884120421,1.6386933606078191
nonoverlap,DOSE25minusDOSE21,DOSE25,DOSE21,2732,-0.0263678078857712,6.189858758992076,6.216226566877848,0.06741453139288556,7.924755247404118,7.857340716011232,0.058295899084434666,8.21253385309929,8.154237954014855,0.08466370697020742,2.022675094107214,1.9380113871370066,-0.009118632308451502,0.2877786056951721,0.2968972380036236,0.0937823392786592,1.7348964884120421,1.641114149133383
overlap,DOSE21minusBASE0,DOSE21,BASE0,3160,0.04616582732319663,1.2443777468009867,1.19821191947779,-0.02814402032077723,7.876374800509393,7.90451882083017,-0.022213385148953435,8.049312500145511,8.071525885294465,-0.0683792124721494,6.804934753344525,6.873313965816674,0.005930635171823517,0.1729376996361173,0.16700706446429378,-0.07430984764397319,6.631997053708408,6.706306901352381
overlap,DOSE25minusBASE0,DOSE25,BASE0,3160,-0.02995397437524483,1.1682579451025452,1.19821191947779,0.10689780480264854,8.011416625632819,7.90451882083017,0.033589795242427556,8.105115680536892,8.071525885294465,0.0635437696176746,6.936857735434349,6.873313965816674,-0.073308009560218,0.09369905490407578,0.16700706446429378,0.13685177917789204,6.843158680530273,6.706306901352381
overlap,DOSE25minusDOSE21,DOSE25,DOSE21,3160,-0.07611980169844146,1.1682579451025452,1.2443777468009867,0.13504182512342577,8.011416625632819,7.876374800509393,0.05580318039138099,8.105115680536892,8.049312500145511,0.131922982089824,6.936857735434349,6.804934753344525,-0.07923864473204152,0.09369905490407578,0.1729376996361173,0.21116162682186523,6.843158680530273,6.631997053708408
