role,checkpoint,n,gain,gain_se,repeated_nll,unrepeated_nll
BASE0,chck_100M,2000,4.012204948405742,0.09001254043695757,0.39424926460702525,4.406454213012768
BASE0,chck_80M,2000,4.021831295585635,0.09010121812881132,0.4126062292174556,4.43443752480309
BASE0,chck_90M,2000,3.9746285035670956,0.08917528119765576,0.398136415475763,4.372764919042858
DOSE21,chck_100M,2000,4.031604398428365,0.09083188524294303,0.3847732364800975,4.4163776349084625
DOSE21,chck_80M,2000,4.020555977999849,0.09013815523608187,0.4136819550752946,4.434237933075144
DOSE21,chck_90M,2000,4.000582668203267,0.09012734578675347,0.3814920709377192,4.382074739140985
DOSE25,chck_100M,2000,4.019500269318041,0.09220603106176371,0.39022505452178097,4.4097253238398215
DOSE25,chck_80M,2000,4.008738973346396,0.09199408966628624,0.4049203717918392,4.413659345138235
DOSE25,chck_90M,2000,4.015841726548982,0.0922239141224317,0.3882884893731854,4.404130215922167
