overlap_bin,token_class,contrast,estimand,n_pairs,mean_difference,se_pair_difference,fraction_positive
ALL,ALL,DOSE21minusBASE0,gain_T_vs_U,1200,-0.012389180236762823,0.028849339421821565,0.5
ALL,ALL,DOSE21minusBASE0,gain_T_vs_N,1200,-0.040105566258466264,0.028261251206815406,0.4816666666666667
ALL,ALL,DOSE21minusBASE0,gain_U_vs_N,1200,-0.027716386021703433,0.01611894842971299,0.4791666666666667
ALL,ALL,DOSE25minusBASE0,gain_T_vs_U,1200,0.06395391074539172,0.028192031781390254,0.5341666666666667
ALL,ALL,DOSE25minusBASE0,gain_T_vs_N,1200,0.03660740020328781,0.027977144589713676,0.505
ALL,ALL,DOSE25minusBASE0,gain_U_vs_N,1200,-0.027346510542103922,0.016369847530339616,0.4725
ALL,ALL,DOSE25minusDOSE21,gain_T_vs_U,1200,0.07634309098215454,0.028975855852956332,0.5316666666666666
ALL,ALL,DOSE25minusDOSE21,gain_T_vs_N,1200,0.07671296646175406,0.028160729986551454,0.5491666666666667
ALL,ALL,DOSE25minusDOSE21,gain_U_vs_N,1200,0.00036987547959951367,0.016318495610519512,0.4875
ALL,nonoverlap,DOSE21minusBASE0,gain_T_vs_U,1200,-0.03880123512153255,0.03276239889717899,0.48583333333333334
ALL,nonoverlap,DOSE21minusBASE0,gain_T_vs_N,1200,-0.0780458709648681,0.03301304466486133,0.4708333333333333
ALL,nonoverlap,DOSE21minusBASE0,gain_U_vs_N,1200,-0.03924463584333555,0.017418098869152444,0.4825
ALL,nonoverlap,DOSE25minusBASE0,gain_T_vs_U,1200,0.08021216794641482,0.03196646378043422,0.5275
ALL,nonoverlap,DOSE25minusBASE0,gain_T_vs_N,1200,0.026258014714047827,0.03181013185590978,0.5058333333333334
ALL,nonoverlap,DOSE25minusBASE0,gain_U_vs_N,1200,-0.05395415323236699,0.017401411734031143,0.4741666666666667
ALL,nonoverlap,DOSE25minusDOSE21,gain_T_vs_U,1200,0.11901340306794736,0.03386995407319372,0.5341666666666667
ALL,nonoverlap,DOSE25minusDOSE21,gain_T_vs_N,1200,0.10430388567891592,0.03286577114280267,0.5325
ALL,nonoverlap,DOSE25minusDOSE21,gain_U_vs_N,1200,-0.014709517389031437,0.017423659918289956,0.4766666666666667
ALL,overlap,DOSE21minusBASE0,gain_T_vs_U,1200,0.014022874648006915,0.04754793622691664,0.5125
ALL,overlap,DOSE21minusBASE0,gain_T_vs_N,1200,-0.002165261552064409,0.04533075045499658,0.5033333333333333
ALL,overlap,DOSE21minusBASE0,gain_U_vs_N,1200,-0.01618813620007132,0.027379703512597088,0.49416666666666664
ALL,overlap,DOSE25minusBASE0,gain_T_vs_U,1200,0.047695653544368624,0.04667678597214481,0.5208333333333334
ALL,overlap,DOSE25minusBASE0,gain_T_vs_N,1200,0.0469567856925278,0.046089950428418965,0.5266666666666666
ALL,overlap,DOSE25minusBASE0,gain_U_vs_N,1200,-0.0007388678518408505,0.027651418671096377,0.5016666666666667
ALL,overlap,DOSE25minusDOSE21,gain_T_vs_U,1200,0.03367277889636171,0.047655420790540186,0.5141666666666667
ALL,overlap,DOSE25minusDOSE21,gain_T_vs_N,1200,0.049122047244592196,0.04501997397859162,0.5183333333333333
ALL,overlap,DOSE25minusDOSE21,gain_U_vs_N,1200,0.015449268348230462,0.02765787082579591,0.5083333333333333
high,ALL,DOSE21minusBASE0,gain_T_vs_U,400,-0.035091624173061664,0.04749909440228194,0.515
high,ALL,DOSE21minusBASE0,gain_T_vs_N,400,-0.10652747971174298,0.046671599231076326,0.4525
high,ALL,DOSE21minusBASE0,gain_U_vs_N,400,-0.0714358555386813,0.02548579461062166,0.435
high,ALL,DOSE25minusBASE0,gain_T_vs_U,400,0.11467650299374023,0.046950033570340416,0.5675
high,ALL,DOSE25minusBASE0,gain_T_vs_N,400,0.0800383697788372,0.046568035814461714,0.52
high,ALL,DOSE25minusBASE0,gain_U_vs_N,400,-0.03463813321490306,0.02654339425961295,0.475
high,ALL,DOSE25minusDOSE21,gain_T_vs_U,400,0.1497681271668019,0.04769965716390076,0.57
high,ALL,DOSE25minusDOSE21,gain_T_vs_N,400,0.1865658494905802,0.04478288479515498,0.6125
high,ALL,DOSE25minusDOSE21,gain_U_vs_N,400,0.036797722323778245,0.024899208859140303,0.5075
high,nonoverlap,DOSE21minusBASE0,gain_T_vs_U,400,-0.07649947046884334,0.057772297383912395,0.4675
high,nonoverlap,DOSE21minusBASE0,gain_T_vs_N,400,-0.09102014481225827,0.05755676475381781,0.46
high,nonoverlap,DOSE21minusBASE0,gain_U_vs_N,400,-0.014520674343414912,0.02811273903184684,0.4925
high,nonoverlap,DOSE25minusBASE0,gain_T_vs_U,400,0.14924925182557977,0.05857945194001045,0.535
high,nonoverlap,DOSE25minusBASE0,gain_T_vs_N,400,0.12411950891507634,0.057521416084763057,0.5475
high,nonoverlap,DOSE25minusBASE0,gain_U_vs_N,400,-0.025129742910503402,0.026663735634997892,0.485
high,nonoverlap,DOSE25minusDOSE21,gain_T_vs_U,400,0.22574872229442314,0.06080621669969549,0.5775
high,nonoverlap,DOSE25minusDOSE21,gain_T_vs_N,400,0.2151396537273346,0.05920686229148383,0.5525
