role,overlap_bin,token_class,n_pairs,mean_gain_T_vs_U,mean_gain_T_vs_N,mean_gain_U_vs_N,se_pair_gain_T_vs_U,se_pair_gain_T_vs_N,se_pair_gain_U_vs_N
BASE0,ALL,ALL,1200,2.4559493111040864,2.393608110617873,-0.06234120048621359,0.05330919402095844,0.05384316643268034,0.01693937611300975
BASE0,ALL,nonoverlap,1200,0.06147258002091096,0.022438975862977613,-0.039033604157933346,0.042899647907260544,0.0431085290281183,0.0171012931705008
BASE0,ALL,overlap,1200,4.850426042187262,4.764777245372768,-0.08564879681449383,0.09753804129172662,0.0982339596629493,0.02928882621618446
BASE0,high,ALL,400,2.6037565671598104,2.5815087401665004,-0.022247826993310203,0.09138342341394574,0.09048477721102038,0.025745484770901744
BASE0,high,nonoverlap,400,0.031935244126555816,-0.02073106414832485,-0.052666308274880676,0.08175969894131153,0.08163987902020335,0.027352783070635968
BASE0,high,overlap,400,5.175577890193066,5.183748544481326,0.00817065428826026,0.16176124130776612,0.1605660298138934,0.042009175289039094
BASE0,low,ALL,400,2.3200168334315823,2.2548305652257112,-0.06518626820587087,0.09590557320119368,0.09733362004141391,0.03355251733231373
BASE0,low,nonoverlap,400,0.2469283874880057,0.24042872753149522,-0.006499659956510483,0.06584417606652523,0.0672109368394316,0.03396721843467349
BASE0,low,overlap,400,4.393105279375159,4.269232402919927,-0.12387287645523125,0.17795642547120466,0.17659107944491517,0.0575250780845043
BASE0,medium,ALL,400,2.4440745327208666,2.344485026461407,-0.09958950625945968,0.08903290613081954,0.0910384716395453,0.028042347248932842
BASE0,medium,nonoverlap,400,-0.09444589155182863,-0.1523807357942375,-0.05793484424240887,0.07344638875375273,0.07309490274990509,0.026946938053770287
BASE0,medium,overlap,400,4.982594956993562,4.841350788717052,-0.1412441682765105,0.16418587140590724,0.16975254148346225,0.051119738022696794
DOSE21,ALL,ALL,1200,2.443560130867324,2.3535025443594066,-0.09005758650791701,0.05536751117295482,0.05546747627149075,0.01758099939271632
DOSE21,ALL,nonoverlap,1200,0.022671344899378408,-0.05560689510189049,-0.0782782400012689,0.04518243804843992,0.0443468746823739,0.018981655414157698
DOSE21,ALL,overlap,1200,4.864448916835269,4.762611983820704,-0.10183693301456515,0.09921799637698248,0.09946784020092439,0.030290131474186167
DOSE21,high,ALL,400,2.568664942986749,2.4749812604547574,-0.09368368253199151,0.09146321795718802,0.0895413727006693,0.026689199258311785
DOSE21,high,nonoverlap,400,-0.04456422634228753,-0.11175120896058313,-0.06718698261829559,0.08072107643916089,0.080772780868308,0.029913961384091126
DOSE21,high,overlap,400,5.181894112315786,5.061713729870098,-0.12018038244568743,0.1606239044654931,0.15768134377034923,0.04550024942494525
DOSE21,low,ALL,400,2.344660613136463,2.269831515726983,-0.0748290974094804,0.1006264756038902,0.10001278042832021,0.03265629136648929
DOSE21,low,nonoverlap,400,0.20379671924378875,0.11559902249796625,-0.08819769674582252,0.07703833302567542,0.07365926751794558,0.03708866093294349
DOSE21,low,overlap,400,4.485524507029138,4.424064008955999,-0.0614604980731383,0.1822184701211139,0.1814650151934562,0.05343043602306278
DOSE21,medium,ALL,400,2.417354836478759,2.3156948568964797,-0.10165997958227914,0.09504496932846597,0.09803869791777255,0.03165640466814242
DOSE21,medium,nonoverlap,400,-0.09121845820336602,-0.17066849884305457,-0.07945004063968857,0.07613496344539958,0.07507077173726938,0.031173039040903777
DOSE21,medium,overlap,400,4.925928131160884,4.802058212636014,-0.12386991852486971,0.17021736271855561,0.17532148105377446,0.057673337977346584
DOSE25,ALL,ALL,1200,2.519903221849478,2.430215510821161,-0.0896877110283175,0.054896594596956866,0.05523019352059607,0.017531842521646433
DOSE25,ALL,nonoverlap,1200,0.14168474796732577,0.048696990577025444,-0.09298775739030034,0.04336940818328746,0.04244259820869916,0.01830654632257818
DOSE25,ALL,overlap,1200,4.898121695731631,4.811734031065296,-0.08638766466633468,0.09895721272859279,0.09970675591853996,0.030278941042595087
DOSE25,high,ALL,400,2.718433070153551,2.661547109945338,-0.056885960208213265,0.0905152187981484,0.09125984444604637,0.027051195421226536
DOSE25,high,nonoverlap,400,0.1811844959521356,0.10338844476675149,-0.07779605118538409,0.07589806317768186,0.07705237535193919,0.0275668038717232
DOSE25,high,overlap,400,5.255681644354967,5.219705775123924,-0.03597586923104245,0.16399146692761313,0.1638622218425682,0.04745306600644171
DOSE25,low,ALL,400,2.3674549081588823,2.29272916690786,-0.07472574125102255,0.09938723143102343,0.09825383578537623,0.03381295167779982
DOSE25,low,nonoverlap,400,0.25261360860507315,0.16651120211890277,-0.08610240648617036,0.07313513665474371,0.0694653434867547,0.0352197080744966
DOSE25,low,overlap,400,4.482296207712691,4.418947131696816,-0.06334907601587475,0.18000127346196043,0.1781293329483656,0.05799704255158759
DOSE25,medium,ALL,400,2.4738216872360015,2.336370255610285,-0.1374514316257167,0.09428654748884131,0.09627114673380704,0.029702755325848297
DOSE25,medium,nonoverlap,400,-0.008743860655231412,-0.12380867515457794,-0.11506481449934654,0.07568124184117596,0.07302938395232708,0.03184173755746973
DOSE25,medium,overlap,400,4.9563872351272344,4.796549186375148,-0.15983804875208688,0.1675670696170428,0.17346372790570944,0.05113423810212949
