method,continuation_seed_62064,continuation_seed_62065
Stage I parent,42.023967991315104,42.023967991315104
Ordinary continuation,42.09260586321611,42.1159198215161
"Dense input masking, sparse target supervision",42.20253795433653,42.17887384024569
With ordinary-input preservation,42.246412332209445,42.23173113265801
