event_index,pair_id,category,word,n_pieces,checkpoint,ordered_loss_mean,scrambled_loss_mean,delta_ordered_minus_scrambled
19,compact:frontier_consolidation_fwcompact_medium_024836,retained_content,others,1,chck_40M,0.0871521458029747,0.056469425559043884,0.030682720243930817
20,compact:frontier_consolidation_fwcompact_medium_020165,function_other,with,1,chck_20M,3.052704334259033,3.0502161979675293,0.0024881362915039062
20,compact:frontier_consolidation_fwcompact_medium_020165,function_other,with,1,chck_40M,0.17087019979953766,1.1140472888946533,-0.9431770890951157
21,compact:frontier_consolidation_fwcompact_medium_040350,retained_content,calories,2,chck_20M,8.768260955810547,8.818607330322266,-0.05034637451171875
21,compact:frontier_consolidation_fwcompact_medium_040350,retained_content,calories,2,chck_40M,2.775209903717041,3.901341438293457,-1.126131534576416
22,compact:frontier_consolidation_fwcompact_medium_031304,function_other,Some,1,chck_20M,3.6150035858154297,2.9993953704833984,0.6156082153320312
22,compact:frontier_consolidation_fwcompact_medium_031304,function_other,Some,1,chck_40M,0.5306404232978821,0.5551590323448181,-0.024518609046936035
23,compact:frontier_consolidation_fwcompact_medium_056973,function_other,to,1,chck_20M,0.006117192097008228,0.006303429137915373,-0.00018623704090714455
23,compact:frontier_consolidation_fwcompact_medium_056973,function_other,to,1,chck_40M,0.00344279152341187,0.0025907545350492,0.0008520369883626699
24,compact:frontier_consolidation_fwcompact_medium_018490,source_absent_content,differs,2,chck_20M,9.786478042602539,8.939897537231445,0.8465805053710938
24,compact:frontier_consolidation_fwcompact_medium_018490,source_absent_content,differs,2,chck_40M,7.480517387390137,6.814807891845703,0.6657094955444336
25,compact:frontier_consolidation_fwcompact_medium_060915,function_other,a,1,chck_20M,4.965333938598633,3.6729652881622314,1.2923686504364014
25,compact:frontier_consolidation_fwcompact_medium_060915,function_other,a,1,chck_40M,3.6492812633514404,0.48217225074768066,3.1671090126037598
26,compact:frontier_consolidation_fwcompact_medium_012244,function_other,and,1,chck_20M,1.2211047410964966,1.6985020637512207,-0.4773973226547241
26,compact:frontier_consolidation_fwcompact_medium_012244,function_other,and,1,chck_40M,0.03388272970914841,0.4550126791000366,-0.4211299493908882
27,compact:frontier_consolidation_fwcompact_medium_058877,retained_content,two,1,chck_20M,6.01887321472168,5.831722736358643,0.1871504783630371
27,compact:frontier_consolidation_fwcompact_medium_058877,retained_content,two,1,chck_40M,5.695818901062012,4.8947601318359375,0.8010587692260742
28,compact:frontier_consolidation_fwcompact_medium_044330,retained_content,high,1,chck_20M,7.952188014984131,7.415051460266113,0.5371365547180176
28,compact:frontier_consolidation_fwcompact_medium_044330,retained_content,high,1,chck_40M,11.08107852935791,12.352946281433105,-1.2718677520751953
29,compact:frontier_consolidation_fwcompact_medium_046410,source_absent_content,stronger,1,chck_20M,7.094335556030273,7.334811210632324,-0.24047565460205078
29,compact:frontier_consolidation_fwcompact_medium_046410,source_absent_content,stronger,1,chck_40M,5.914181232452393,6.5726213455200195,-0.658440113067627
30,compact:frontier_consolidation_fwcompact_medium_040569,retained_content,ministry,2,chck_20M,7.017507553100586,7.304925441741943,-0.2874178886413574
30,compact:frontier_consolidation_fwcompact_medium_040569,retained_content,ministry,2,chck_40M,0.4672396183013916,0.5260569453239441,-0.05881732702255249
31,compact:frontier_consolidation_fwcompact_medium_047552,source_absent_content,shown,1,chck_20M,5.156231880187988,5.477729320526123,-0.32149744033813477
31,compact:frontier_consolidation_fwcompact_medium_047552,source_absent_content,shown,1,chck_40M,3.695972442626953,5.225704193115234,-1.5297317504882812
32,compact:frontier_consolidation_fwcompact_medium_041296,source_absent_content,nodes,2,chck_20M,6.339040279388428,6.322880744934082,0.016159534454345703
32,compact:frontier_consolidation_fwcompact_medium_041296,source_absent_content,nodes,2,chck_40M,7.733882904052734,9.20698356628418,-1.4731006622314453
33,compact:frontier_consolidation_fwcompact_medium_013436,function_other,were,1,chck_20M,0.15387789905071259,0.19156210124492645,-0.03768420219421387
33,compact:frontier_consolidation_fwcompact_medium_013436,function_other,were,1,chck_40M,0.048847224563360214,1.2155404090881348,-1.1666931845247746
