pair_id,delta_active_tokens,delta_wwm_mass,delta_whole_word_copy_frac,delta_complete_bpe_copy_frac,delta_contentlike_frac,delta_counterpart_any_visible_frac,delta_active_absent,delta_targets_absent,delta_active_prefix_only,delta_targets_prefix_only,delta_active_tail_only,delta_targets_tail_only,delta_active_both_prefix_tail,delta_targets_both_prefix_tail
compact:frontier_consolidation_fwcompact_medium_000002,2.0,2.0,0.0,-0.09999999999999998,0.10000000000000009,0.0,0.0,0.0,-1.0,-2.0,3.0,2.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000006,1.0,1.0,-0.0714285714285714,-0.0714285714285714,0.1428571428571429,-0.0714285714285714,1.0,1.0,-4.0,-4.0,4.0,3.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000011,2.0,2.0,-0.09090909090909094,-0.36363636363636365,0.18181818181818182,-0.09090909090909094,1.0,1.0,-4.0,-5.0,5.0,4.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000014,2.0,2.0,-0.2222222222222222,-0.2777777777777778,0.16666666666666663,-0.2222222222222222,6.0,4.0,-9.0,-9.0,7.0,7.0,-2.0,-2.0
compact:frontier_consolidation_fwcompact_medium_000020,0.0,0.0,-0.16666666666666663,-0.16666666666666663,0.08333333333333337,-0.16666666666666663,2.0,2.0,-6.0,-5.0,4.0,3.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000026,3.0,3.0,-0.2857142857142857,-0.4285714285714286,0.2857142857142857,-0.2857142857142857,2.0,2.0,-5.0,-3.0,7.0,2.0,-1.0,-1.0
compact:frontier_consolidation_fwcompact_medium_000027,2.0,2.0,-0.07692307692307687,-0.07692307692307687,0.23076923076923073,-0.07692307692307687,1.0,1.0,-5.0,-5.0,6.0,4.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000044,0.0,0.0,-0.4,-0.5333333333333333,0.06666666666666665,-0.4,10.0,6.0,-11.0,-7.0,2.0,2.0,-1.0,-1.0
compact:frontier_consolidation_fwcompact_medium_000050,4.0,4.0,0.0,-0.1428571428571429,0.14285714285714285,0.0,0.0,0.0,-5.0,-4.0,10.0,5.0,-1.0,-1.0
compact:frontier_consolidation_fwcompact_medium_000056,0.0,0.0,-0.09523809523809523,-0.2857142857142857,0.04761904761904756,-0.09523809523809523,2.0,2.0,-11.0,-9.0,8.0,6.0,1.0,1.0
compact:frontier_consolidation_fwcompact_medium_000073,3.0,3.0,-0.23076923076923073,-0.23076923076923073,0.15384615384615385,-0.23076923076923073,8.0,3.0,-6.0,-3.0,2.0,1.0,-1.0,-1.0
compact:frontier_consolidation_fwcompact_medium_000080,-1.0,-1.0,0.16666666666666663,0.16666666666666663,0.33333333333333337,0.16666666666666663,-1.0,-1.0,-6.0,-4.0,6.0,5.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000084,2.0,2.0,-0.21052631578947367,-0.26315789473684215,0.10526315789473684,-0.21052631578947367,5.0,4.0,-4.0,-5.0,3.0,3.0,-2.0,-2.0
compact:frontier_consolidation_fwcompact_medium_000094,-1.0,-1.0,0.25,0.25,0.25,0.25,-1.0,-1.0,-4.0,-2.0,4.0,3.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000097,4.0,4.0,-0.23529411764705888,-0.2941176470588235,0.0,-0.23529411764705888,4.0,4.0,-8.0,-8.0,8.0,4.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000098,1.0,1.0,-0.16666666666666663,-0.16666666666666663,0.0,-0.16666666666666663,2.0,2.0,-6.0,-6.0,5.0,4.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000104,3.0,3.0,-0.3076923076923077,-0.3846153846153846,0.23076923076923073,-0.3076923076923077,5.0,4.0,-4.0,-5.0,3.0,2.0,-1.0,-1.0
compact:frontier_consolidation_fwcompact_medium_000107,4.0,4.0,-0.16666666666666663,-0.33333333333333337,0.5,-0.16666666666666663,2.0,1.0,-3.0,-4.0,5.0,3.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000108,1.0,1.0,-0.36363636363636365,-0.4545454545454546,0.0,-0.36363636363636365,4.0,4.0,-6.0,-6.0,4.0,3.0,-1.0,-1.0
compact:frontier_consolidation_fwcompact_medium_000112,3.0,3.0,-0.33333333333333337,-0.33333333333333337,0.22222222222222227,-0.33333333333333337,4.0,3.0,-5.0,-5.0,6.0,4.0,-2.0,-2.0
compact:frontier_consolidation_fwcompact_medium_000113,6.0,6.0,-0.2222222222222222,-0.33333333333333337,0.33333333333333337,-0.2222222222222222,3.0,2.0,-4.0,-6.0,7.0,4.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000116,1.0,1.0,-0.25,-0.33333333333333337,0.3333333333333333,-0.25,6.0,3.0,-8.0,-5.0,3.0,2.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000117,3.0,3.0,-0.0625,-0.0625,0.125,-0.0625,1.0,1.0,-6.0,-6.0,8.0,5.0,0.0,0.0
