pair_id,delta_active_tokens,delta_wwm_mass,delta_whole_word_copy_frac,delta_complete_bpe_copy_frac,delta_contentlike_frac,delta_counterpart_any_visible_frac,delta_active_absent,delta_targets_absent,delta_active_prefix_only,delta_targets_prefix_only,delta_active_tail_only,delta_targets_tail_only,delta_active_both_prefix_tail,delta_targets_both_prefix_tail
compact:frontier_consolidation_fwcompact_medium_000002,1.0,1.0,-0.09999999999999998,-0.19999999999999996,-0.09999999999999998,-0.09999999999999998,1.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000006,3.0,4.0,-0.0714285714285714,-0.0714285714285714,0.0714285714285714,-0.0714285714285714,1.0,1.0,3.0,0.0,0.0,0.0,-1.0,-1.0
compact:frontier_consolidation_fwcompact_medium_000011,1.0,1.0,-0.09090909090909094,-0.36363636363636365,0.0,-0.09090909090909094,1.0,1.0,2.0,1.0,-2.0,-2.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000014,2.0,2.0,-0.2222222222222222,-0.2777777777777778,0.05555555555555547,-0.2222222222222222,6.0,4.0,2.0,0.0,-2.0,-1.0,-4.0,-3.0
compact:frontier_consolidation_fwcompact_medium_000020,-1.0,-1.0,-0.16666666666666663,-0.16666666666666663,0.0,-0.16666666666666663,2.0,2.0,-3.0,-2.0,0.0,0.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000026,-1.0,-1.0,-0.2857142857142857,-0.4285714285714286,0.0,-0.2857142857142857,2.0,2.0,0.0,1.0,-2.0,-2.0,-1.0,-1.0
compact:frontier_consolidation_fwcompact_medium_000027,1.0,1.0,-0.07692307692307687,-0.07692307692307687,0.15384615384615385,-0.07692307692307687,1.0,1.0,5.0,4.0,-4.0,-4.0,-1.0,-1.0
compact:frontier_consolidation_fwcompact_medium_000044,0.0,0.0,-0.4,-0.5333333333333333,0.26666666666666666,-0.4,10.0,6.0,0.0,0.0,-7.0,-3.0,-3.0,-3.0
compact:frontier_consolidation_fwcompact_medium_000050,0.0,0.0,0.0,-0.1428571428571429,-0.07142857142857151,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000056,9.0,9.0,-0.09523809523809523,-0.2857142857142857,0.0,-0.09523809523809523,2.0,2.0,8.0,-1.0,0.0,0.0,-1.0,-1.0
compact:frontier_consolidation_fwcompact_medium_000073,4.0,4.0,-0.23076923076923073,-0.23076923076923073,0.15384615384615385,-0.23076923076923073,8.0,3.0,-1.0,-1.0,-2.0,-1.0,-1.0,-1.0
compact:frontier_consolidation_fwcompact_medium_000080,0.0,0.0,0.16666666666666663,0.16666666666666663,0.16666666666666674,0.16666666666666663,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0
