pair_id,delta_active_tokens,delta_wwm_mass,delta_whole_word_copy_frac,delta_complete_bpe_copy_frac,delta_contentlike_frac,delta_counterpart_any_visible_frac,delta_active_absent,delta_targets_absent,delta_active_prefix_only,delta_targets_prefix_only,delta_active_tail_only,delta_targets_tail_only,delta_active_both_prefix_tail,delta_targets_both_prefix_tail
compact:frontier_consolidation_fwcompact_medium_000002,1.0,1.0,0.09999999999999998,0.09999999999999998,0.20000000000000007,0.09999999999999998,-1.0,-1.0,-2.0,-2.0,4.0,3.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000006,-2.0,-3.0,0.0,0.0,0.07142857142857151,0.0,0.0,0.0,-7.0,-4.0,4.0,3.0,1.0,1.0
compact:frontier_consolidation_fwcompact_medium_000011,1.0,1.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,-6.0,-6.0,7.0,6.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000014,0.0,0.0,0.0,0.0,0.11111111111111116,0.0,0.0,0.0,-11.0,-9.0,9.0,8.0,2.0,1.0
compact:frontier_consolidation_fwcompact_medium_000020,1.0,1.0,0.0,0.0,0.08333333333333337,0.0,0.0,0.0,-3.0,-3.0,4.0,3.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000026,4.0,4.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,-5.0,-4.0,9.0,4.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000027,1.0,1.0,0.0,0.0,0.07692307692307687,0.0,0.0,0.0,-10.0,-9.0,10.0,8.0,1.0,1.0
compact:frontier_consolidation_fwcompact_medium_000044,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,-11.0,-7.0,9.0,5.0,2.0,2.0
compact:frontier_consolidation_fwcompact_medium_000050,4.0,4.0,0.0,0.0,0.21428571428571436,0.0,0.0,0.0,-4.0,-4.0,9.0,5.0,-1.0,-1.0
compact:frontier_consolidation_fwcompact_medium_000056,-9.0,-9.0,0.0,0.0,0.04761904761904756,0.0,0.0,0.0,-19.0,-8.0,8.0,6.0,2.0,2.0
compact:frontier_consolidation_fwcompact_medium_000073,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-2.0,4.0,2.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000080,-1.0,-1.0,0.0,0.0,0.16666666666666663,0.0,0.0,0.0,-6.0,-4.0,5.0,4.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000084,1.0,1.0,0.0,0.0,-0.05263157894736842,0.0,0.0,0.0,-3.0,-3.0,4.0,3.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000094,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-2.0,3.0,2.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000097,4.0,4.0,-0.05882352941176472,-0.05882352941176472,0.05882352941176472,-0.05882352941176472,1.0,1.0,-6.0,-6.0,9.0,5.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000098,1.0,1.0,0.0,0.0,0.08333333333333326,0.0,0.0,0.0,-4.0,-4.0,5.0,4.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000104,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,7.0,5.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000107,2.0,2.0,0.0,0.0,0.16666666666666669,0.0,0.0,0.0,-4.0,-4.0,6.0,4.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000108,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,4.0,3.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000112,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,8.0,5.0,1.0,1.0
compact:frontier_consolidation_fwcompact_medium_000113,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,7.0,4.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000116,-3.0,-3.0,0.0,0.0,0.08333333333333331,0.0,0.0,0.0,-9.0,-5.0,5.0,4.0,1.0,1.0
compact:frontier_consolidation_fwcompact_medium_000117,3.0,3.0,0.0,0.0,0.0625,0.0,0.0,0.0,-6.0,-6.0,9.0,6.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000120,2.0,2.0,0.0,0.0,0.07692307692307698,0.0,0.0,0.0,-4.0,-4.0,6.0,4.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000124,1.0,1.0,0.0,0.0,0.11111111111111116,0.0,0.0,0.0,-6.0,-6.0,6.0,5.0,1.0,1.0
compact:frontier_consolidation_fwcompact_medium_000134,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-3.0,3.0,2.0,1.0,1.0
compact:frontier_consolidation_fwcompact_medium_000140,1.0,1.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,-12.0,-10.0,13.0,10.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000145,1.0,1.0,0.0,0.0,0.1428571428571429,0.0,0.0,0.0,-3.0,-3.0,4.0,3.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000154,5.0,5.0,0.0,0.0,0.07407407407407407,0.0,0.0,0.0,-18.0,-15.0,23.0,15.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000157,0.0,0.0,0.0,0.0,0.06666666666666671,0.0,0.0,0.0,-10.0,-7.0,10.0,7.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000168,0.0,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,0.0,-8.0,-7.0,8.0,7.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000182,1.0,1.0,0.0,0.0,0.06666666666666671,0.0,0.0,0.0,-7.0,-6.0,8.0,6.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000184,2.0,2.0,0.0,0.0,0.10526315789473689,0.0,0.0,0.0,-4.0,-4.0,6.0,4.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000192,5.0,5.0,0.0,0.0,-0.09090909090909094,0.0,0.0,0.0,-11.0,-9.0,16.0,9.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000193,1.0,1.0,0.0,0.0,0.07692307692307698,0.0,0.0,0.0,-4.0,-4.0,5.0,4.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000197,-6.0,-6.0,0.0,0.0,-0.06666666666666676,0.0,0.0,0.0,-9.0,-2.0,2.0,1.0,1.0,1.0
compact:frontier_consolidation_fwcompact_medium_000202,5.0,5.0,0.0,0.0,0.07692307692307698,0.0,0.0,0.0,-6.0,-6.0,10.0,5.0,1.0,1.0
compact:frontier_consolidation_fwcompact_medium_000206,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,-9.0,11.0,10.0,-1.0,-1.0
compact:frontier_consolidation_fwcompact_medium_000209,6.0,6.0,0.0,0.0,0.06666666666666665,0.0,0.0,0.0,-5.0,-5.0,7.0,3.0,4.0,2.0
compact:frontier_consolidation_fwcompact_medium_000210,1.0,1.0,0.0,0.0,0.1538461538461538,0.0,0.0,0.0,-3.0,-3.0,5.0,4.0,-1.0,-1.0
compact:frontier_consolidation_fwcompact_medium_000212,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-7.0,9.0,7.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000215,7.0,7.0,0.0,0.0,0.07692307692307687,0.0,0.0,0.0,-14.0,-13.0,22.0,14.0,-1.0,-1.0
compact:frontier_consolidation_fwcompact_medium_000216,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,5.0,2.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000217,0.0,0.0,0.0,0.0,0.11111111111111116,0.0,0.0,0.0,-6.0,-5.0,5.0,4.0,1.0,1.0
compact:frontier_consolidation_fwcompact_medium_000218,1.0,1.0,0.0,0.0,0.09090909090909094,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,1.0,0.0
compact:frontier_consolidation_fwcompact_medium_000220,4.0,4.0,0.0,0.0,0.06666666666666676,0.0,0.0,0.0,-4.0,-3.0,5.0,2.0,3.0,1.0
compact:frontier_consolidation_fwcompact_medium_000224,1.0,1.0,0.0,0.0,0.25000000000000006,0.0,0.0,0.0,-7.0,-6.0,8.0,6.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000231,15.0,15.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,-9.0,-9.0,24.0,9.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000234,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-2.0,3.0,2.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000236,-1.0,0.0,0.0,0.0,-0.040000000000000036,0.0,0.0,0.0,-10.0,-8.0,8.0,7.0,1.0,1.0
compact:frontier_consolidation_fwcompact_medium_000249,1.0,1.0,0.0,0.0,0.07692307692307687,0.0,0.0,0.0,-7.0,-7.0,8.0,7.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000254,5.0,5.0,0.0,0.0,0.05882352941176472,0.0,0.0,0.0,-16.0,-13.0,20.0,12.0,1.0,1.0
compact:frontier_consolidation_fwcompact_medium_000261,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,-12.0,-9.0,12.0,9.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000273,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-5.0,7.0,5.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,-10.0,12.0,10.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000284,3.0,3.0,-0.06666666666666665,-0.06666666666666665,0.19999999999999996,-0.06666666666666665,1.0,1.0,-12.0,-10.0,14.0,9.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000295,10.0,10.0,0.0,0.0,0.1578947368421053,0.0,0.0,0.0,-12.0,-12.0,22.0,12.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000301,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,5.0,4.0,1.0,1.0
compact:frontier_consolidation_fwcompact_medium_000302,1.0,1.0,0.0,0.0,0.06666666666666665,0.0,0.0,0.0,-7.0,-7.0,8.0,7.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000304,3.0,4.0,0.0,0.0,0.08333333333333326,0.0,0.0,0.0,-4.0,-4.0,7.0,4.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000306,-1.0,-1.0,0.0,0.0,0.04347826086956519,0.0,0.0,0.0,-18.0,-15.0,15.0,13.0,2.0,2.0
compact:frontier_consolidation_fwcompact_medium_000312,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-7.0,8.0,7.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000313,1.0,1.0,0.0,0.0,0.09090909090909088,0.0,0.0,0.0,-5.0,-5.0,2.0,2.0,4.0,3.0
compact:frontier_consolidation_fwcompact_medium_000319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-4.0,5.0,4.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000323,4.0,4.0,0.0,0.0,0.24999999999999994,0.0,0.0,0.0,-5.0,-5.0,8.0,4.0,1.0,1.0
compact:frontier_consolidation_fwcompact_medium_000328,-1.0,-1.0,0.0,0.0,0.23076923076923073,0.0,0.0,0.0,-13.0,-9.0,12.0,9.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000329,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,5.0,4.0,1.0,1.0
compact:frontier_consolidation_fwcompact_medium_000338,-1.0,-1.0,0.09999999999999998,0.09999999999999998,0.0,0.09999999999999998,-1.0,-1.0,-4.0,-2.0,4.0,3.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000339,1.0,1.0,0.0,0.0,0.09090909090909088,0.0,0.0,0.0,-6.0,-5.0,7.0,5.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000344,1.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,-3.0,-3.0,4.0,3.0,0.0,0.0
compact:frontier_consolidation_fwcompact_medium_000345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-4.0,2.0,2.0,3.0,2.0
compact:frontier_consolidation_fwcompact_medium_000351,1.0,1.0,0.0,0.0,0.06666666666666665,0.0,0.0,0.0,-3.0,-3.0,4.0,3.0,0.0,0.0
