i,item_id,split_key,source,target_kind,target_text,target_id,nll_base,top1_base,rank_base,nll_true,top1_true,rank_true,nll_reversed,top1_reversed,rank_reversed,nll_shuffled,top1_shuffled,rank_shuffled,example_id,mid_len_bin,mid_words,neighbor_mid_overlap,neighbor_overlap_bin,next_words,prev_words,row_index,shuffle_next_words,shuffle_prev_words,shuffle_row_index,source,target_char_end,target_char_start
0,disc:30855:0:117-121,row:30855,gutenberg,content,ears,1866,2.865648031234741,1,1,2.775310754776001,1,1,2.86025333404541,1,1,3.115117311477661,1,1,23751,16_30,27,0.0673374613003096,0p05_0p15,8,36,30855,15,40,58291,gutenberg,121,117
1,disc:16698:1:109-112,row:16698,bnc_spoken,content,'ll,512,2.80147385597229,0,3,2.8260293006896973,0,4,2.9594762325286865,0,4,3.091721534729004,0,4,3395,16_30,30,0.034352142110762804,lt0p05,15,61,16698,15,67,9793,bnc_spoken,112,109
2,disc:3660:2:13-17,row:3660,gutenberg,content,ager,2398,10.225637435913086,0,2353,0.0873517394065857,1,1,0.2135680764913559,1,1,10.035321235656738,0,1329,25209,8_15,8,0.13333333333333333,0p05_0p15,9,11,3660,9,11,42778,gutenberg,17,13
3,disc:51633:3:37-40,row:51633,gutenberg,content,ess,400,7.456305980682373,0,174,7.300841808319092,0,164,7.881732940673828,0,263,7.758666515350342,0,238,22781,8_15,10,0.014285714285714285,lt0p05,6,26,51633,7,24,4605,gutenberg,40,37
4,disc:44544:4:28-33,row:44544,simple_wiki,content,-down,12926,9.329885482788086,0,916,9.102534294128418,0,967,8.980062484741211,0,879,8.468610763549805,0,495,61327,16_30,16,0.07785714285714285,0p05_0p15,13,12,44544,13,9,21115,simple_wiki,33,28
5,disc:57969:5:8-11,row:57969,bnc_spoken,content,ela,7588,5.076427459716797,0,19,14.05169677734375,0,1645,14.12393569946289,0,2255,5.755901336669922,0,57,1340,8_15,8,0.0,lt0p05,22,12,57969,26,13,6601,bnc_spoken,11,8
6,disc:32922:6:7-10,row:32922,bnc_spoken,content,'re,447,1.7996593713760376,0,3,1.2958731651306152,1,1,1.1052532196044922,1,1,1.2345497608184814,0,2,656,lt8,5,0.0,lt0p05,8,8,32922,8,9,63260,bnc_spoken,10,7
7,disc:29071:7:13-15,row:29071,open_subtitles,content,'t,294,0.0011711412807926536,1,1,0.0007980260998010635,1,1,0.0009234455064870417,1,1,0.0009082006872631609,1,1,39275,16_30,19,0.0375,lt0p05,6,12,29071,6,12,24151,open_subtitles,15,13
8,disc:13411:8:7-12,row:13411,childes,content,cause,571,0.026913810521364212,1,1,0.019095400348305702,1,1,0.02605855092406273,1,1,0.052258990705013275,1,1,16490,16_30,20,0.08605072463768115,0p05_0p15,5,6,13411,5,8,31728,childes,12,7
9,disc:47179:9:149-150,row:47179,simple_wiki,number,5,25,2.6816256046295166,0,8,2.6120731830596924,0,4,2.618338108062744,0,6,2.574833869934082,0,7,60163,gt30,34,0.046031746031746035,lt0p05,13,10,47179,10,10,44860,simple_wiki,150,149
10,disc:19121:10:87-88,row:19121,simple_wiki,content,C,39,2.831721067428589,0,3,2.605940818786621,1,1,2.695925712585449,0,2,2.4831855297088623,1,1,54423,16_30,22,0.13620689655172413,0p05_0p15,33,12,19121,31,11,11165,simple_wiki,88,87
11,disc:63649:11:23-25,row:63649,gutenberg,content,le,242,6.9579949378967285,0,199,7.134979248046875,0,238,7.403747081756592,0,290,6.490657329559326,0,125,30890,8_15,13,0.019230769230769232,lt0p05,14,5,63649,9,5,24362,gutenberg,25,23
12,disc:36608:12:26-30,row:36608,simple_wiki,content,ised,1504,5.861588478088379,0,57,5.385279655456543,0,43,5.616411209106445,0,52,5.9401702880859375,0,64,59762,16_30,20,0.14377470355731226,0p05_0p15,29,7,36608,29,8,4237,simple_wiki,30,26
13,disc:4612:13:10-15,row:4612,gutenberg,content,iring,4677,4.48837947845459,0,16,4.820896148681641,0,24,5.209204196929932,0,33,4.700019836425781,0,20,31758,gt30,31,0.11150512214342001,0p05_0p15,27,23,4612,29,22,16073,gutenberg,15,10
14,disc:47032:14:25-26,row:47032,simple_wiki,number,1,21,3.87825345993042,0,3,3.3199424743652344,0,3,3.309776782989502,0,3,3.2127432823181152,0,3,59239,gt30,37,0.08020833333333333,0p05_0p15,11,33,47032,15,34,16554,simple_wiki,26,25
15,disc:33013:15:14-18,row:33013,gutenberg,content,king,2926,7.923445701599121,0,258,5.567567825317383,0,40,5.234997749328613,0,25,4.951416015625,0,27,24363,lt8,6,0.06696428571428571,0p05_0p15,11,9,33013,8,7,62114,gutenberg,18,14
16,disc:44506:16:14-17,row:44506,switchboard,content,'ve,635,2.1170153617858887,0,3,5.2560858726501465,0,6,3.6656291484832764,0,4,2.594364881515503,0,4,62367,16_30,19,0.08502024291497975,0p05_0p15,24,8,44506,26,10,20725,switchboard,17,14
17,disc:43327:17:147-150,row:43327,open_subtitles,content,oba,14163,7.936833381652832,0,393,6.533520221710205,0,43,5.8827619552612305,0,37,8.102556228637695,0,450,47977,gt30,33,0.16068376068376067,0p15_0p30,23,9,43327,6,8,60065,open_subtitles,150,147
18,disc:48219:18:6-8,row:48219,bnc_spoken,content,'m,451,4.959184169769287,0,4,3.061218738555908,0,3,3.3476715087890625,0,3,2.352999210357666,0,3,4190,lt8,5,0.0,lt0p05,10,4,48219,8,5,19689,bnc_spoken,8,6
19,disc:59215:19:60-62,row:59215,switchboard,content,an,221,6.811678886413574,0,158,6.525481224060059,0,120,6.309165954589844,0,109,6.129219055175781,0,83,62411,16_30,19,0.05923076923076923,0p05_0p15,8,8,59215,7,9,54220,switchboard,62,60
20,disc:55517:20:43-44,row:55517,simple_wiki,number,0,20,8.431408882141113,0,293,8.541451454162598,0,309,8.632654190063477,0,321,8.813138008117676,0,334,53484,8_15,9,0.02,lt0p05,17,15,55517,16,16,21945,simple_wiki,44,43
