seed,checkpoint,pair_id,role2,token_class,n_tokens,gain,true_source_nll,unrelated_source_nll,source_content_word_types,rewrite_content_word_types,shared_content_word_types,word_jaccard,rewrite_overlap_frac,source_overlap_frac,rewrite_new_frac,source_words_raw,rewrite_words_raw,overlap_fixed_bin,overlap_tertile
43022,chck_100M,compact:frontier_consolidation_fwcompact_expansion_000126,C,nonoverlap,2,3.17307710647583,6.782801628112793,9.955878734588623,9,7,5,0.45454545454545453,0.7142857142857143,0.5555555555555556,0.2857142857142857,11,7,high_50_75,tertile_mid
43022,chck_100M,compact:frontier_consolidation_fwcompact_expansion_000126,C,overlap,2,3.363438606262207,4.847317457199097,8.210756063461304,9,7,5,0.45454545454545453,0.7142857142857143,0.5555555555555556,0.2857142857142857,11,7,high_50_75,tertile_mid
43022,chck_100M,compact:frontier_consolidation_fwcompact_expansion_000126,R,nonoverlap,2,4.55064058303833,4.844489574432373,9.395130157470703,9,7,5,0.45454545454545453,0.7142857142857143,0.5555555555555556,0.2857142857142857,11,7,high_50_75,tertile_mid
43022,chck_100M,compact:frontier_consolidation_fwcompact_expansion_000126,R,overlap,2,3.730191469192505,5.137601613998413,8.867793083190918,9,7,5,0.45454545454545453,0.7142857142857143,0.5555555555555556,0.2857142857142857,11,7,high_50_75,tertile_mid
43022,chck_100M,compact:frontier_consolidation_fwcompact_expansion_000126,RS,nonoverlap,2,1.2195749282836914,8.177246570587158,9.39682149887085,9,7,5,0.45454545454545453,0.7142857142857143,0.5555555555555556,0.2857142857142857,11,7,high_50_75,tertile_mid
43022,chck_100M,compact:frontier_consolidation_fwcompact_expansion_000126,RS,overlap,2,3.2652320861816406,4.927847862243652,8.193079948425293,9,7,5,0.45454545454545453,0.7142857142857143,0.5555555555555556,0.2857142857142857,11,7,high_50_75,tertile_mid
43022,chck_100M,compact:frontier_consolidation_fwcompact_expansion_000126,V,nonoverlap,2,3.676694869995117,4.69021463394165,8.366909503936768,9,7,5,0.45454545454545453,0.7142857142857143,0.5555555555555556,0.2857142857142857,11,7,high_50_75,tertile_mid
43022,chck_100M,compact:frontier_consolidation_fwcompact_expansion_000126,V,overlap,2,8.257778096944094,0.07805521413683886,8.335833311080933,9,7,5,0.45454545454545453,0.7142857142857143,0.5555555555555556,0.2857142857142857,11,7,high_50_75,tertile_mid
43022,chck_100M,compact:frontier_consolidation_fwcompact_expansion_000164,C,nonoverlap,2,2.8205459117889404,5.08154559135437,7.9020915031433105,5,4,2,0.2857142857142857,0.5,0.4,0.5,11,8,mid_25_50,tertile_low
43022,chck_100M,compact:frontier_consolidation_fwcompact_expansion_000164,C,overlap,1,9.348145693540571,0.372489720582962,9.720635414123535,5,4,2,0.2857142857142857,0.5,0.4,0.5,11,8,mid_25_50,tertile_low
43022,chck_100M,compact:frontier_consolidation_fwcompact_expansion_000164,R,nonoverlap,2,1.4354937076568604,4.121694087982178,5.557187795639038,5,4,2,0.2857142857142857,0.5,0.4,0.5,11,8,mid_25_50,tertile_low
43022,chck_100M,compact:frontier_consolidation_fwcompact_expansion_000164,R,overlap,1,10.36840619146824,0.1992856115102768,10.567691802978516,5,4,2,0.2857142857142857,0.5,0.4,0.5,11,8,mid_25_50,tertile_low
43022,chck_100M,compact:frontier_consolidation_fwcompact_expansion_000164,RS,nonoverlap,2,-0.4905142784118651,5.705868244171143,5.215353965759277,5,4,2,0.2857142857142857,0.5,0.4,0.5,11,8,mid_25_50,tertile_low
43022,chck_100M,compact:frontier_consolidation_fwcompact_expansion_000164,RS,overlap,1,10.019620031118391,0.2874201834201813,10.307040214538574,5,4,2,0.2857142857142857,0.5,0.4,0.5,11,8,mid_25_50,tertile_low
43022,chck_100M,compact:frontier_consolidation_fwcompact_expansion_000164,V,nonoverlap,2,0.5704572200775146,4.875519752502441,5.445976972579956,5,4,2,0.2857142857142857,0.5,0.4,0.5,11,8,mid_25_50,tertile_low
43022,chck_100M,compact:frontier_consolidation_fwcompact_expansion_000164,V,overlap,1,9.19533670693636,0.0723224803805351,9.267659187316896,5,4,2,0.2857142857142857,0.5,0.4,0.5,11,8,mid_25_50,tertile_low
43022,chck_100M,compact:frontier_consolidation_fwcompact_expansion_000275,C,nonoverlap,2,0.11880898475646977,5.753592252731323,5.872401237487793,7,5,4,0.5,0.8,0.5714285714285714,0.19999999999999996,12,7,very_high_75_100,tertile_high
43022,chck_100M,compact:frontier_consolidation_fwcompact_expansion_000275,C,overlap,2,1.7483716607093809,6.882603585720061,8.630975246429443,7,5,4,0.5,0.8,0.5714285714285714,0.19999999999999996,12,7,very_high_75_100,tertile_high
43022,chck_100M,compact:frontier_consolidation_fwcompact_expansion_000275,R,nonoverlap,2,-1.1975371837615967,8.01972246170044,6.822185277938843,7,5,4,0.5,0.8,0.5714285714285714,0.19999999999999996,12,7,very_high_75_100,tertile_high
