token_class,contrast,n_pairs,corr_overlap_gain_delta,corr_overlap_excess_true_cost
nonoverlap,RSminusC,1465,-0.03349349980107195,0.033493499801071955
nonoverlap,RSminusR,1465,0.12584547206332197,-0.12584547206332194
nonoverlap,RminusC,1465,-0.1520114524408551,0.15201145244085515
nonoverlap,VminusC,1465,0.07353616530150829,-0.07353616530150826
nonoverlap,VminusR,1465,0.1955572808891042,-0.19555728088910423
overlap,RSminusC,1619,0.0602224663933575,-0.060222466393357495
overlap,RSminusR,1619,0.05536443676714411,-0.055364436767144094
overlap,RminusC,1619,0.002459530694136506,-0.0024595306941365145
overlap,VminusC,1619,-0.03050465123977093,0.030504651239770923
overlap,VminusR,1619,-0.03184070824311859,0.031840708243118604
