token_class,contrast,bin_col,bin,n_pairs,overlap_mean,gain_mean,gain_median,true_mean,unrel_mean,excess_mean,excess_median,frac_gain_negative,frac_excess_positive
nonoverlap,RSminusC,overlap_tertile,tertile_low,578,0.453249390535404,0.01770098907325198,0.0197785298029581,-0.60619307288335,-0.588492083810098,-0.01770098907325197,-0.019778529802958317,0.486159169550173,0.486159169550173
nonoverlap,RSminusC,overlap_tertile,tertile_mid,527,0.6681486713172726,-0.07710298166108412,-0.04497460524241128,-0.5014954409316115,-0.5785984225926956,0.0771029816610841,0.04497460524241129,0.5142314990512334,0.5142314990512334
nonoverlap,RSminusC,overlap_tertile,tertile_high,360,0.89198910657244,-0.10691083269883635,-0.10889219244321191,-0.44348562087656723,-0.5503964535754037,0.10691083269883639,0.10889219244321187,0.5222222222222223,0.5222222222222223
nonoverlap,RSminusR,overlap_tertile,tertile_low,578,0.453249390535404,0.5675329276948153,0.4293247858683267,-0.9186004908259146,-0.3510675631310992,-0.5675329276948153,-0.42932478586832684,0.3771626297577855,0.3771626297577855
nonoverlap,RSminusR,overlap_tertile,tertile_mid,527,0.6681486713172726,0.6741977984765763,0.6263540585835776,-0.9451424543927545,-0.27094465591617817,-0.6741977984765763,-0.6263540585835775,0.3396584440227704,0.3396584440227704
nonoverlap,RSminusR,overlap_tertile,tertile_high,360,0.89198910657244,1.1056968226718407,0.8639585971832278,-1.261040385843565,-0.15534356317172449,-1.1056968226718407,-0.8639585971832279,0.3055555555555556,0.3055555555555556
nonoverlap,RminusC,overlap_tertile,tertile_low,578,0.453249390535404,-0.5498319386215634,-0.4331251382827759,0.31240741794256466,-0.2374245206789987,0.5498319386215634,0.4331251382827759,0.6349480968858131,0.6349480968858131
nonoverlap,RminusC,overlap_tertile,tertile_mid,527,0.6681486713172726,-0.7513007801376604,-0.5518674055735271,0.44364701346114305,-0.30765376667651734,0.7513007801376603,0.5518674055735273,0.650853889943074,0.650853889943074
nonoverlap,RminusC,overlap_tertile,tertile_high,360,0.89198910657244,-1.2126076553706768,-0.9329310059547424,0.8175547649669979,-0.3950528904036792,1.2126076553706768,0.9329310059547423,0.7166666666666667,0.7166666666666667
nonoverlap,VminusC,overlap_tertile,tertile_low,578,0.453249390535404,0.5580518064513426,0.5155358811219533,-1.031428665436177,-0.4733768589848345,-0.5580518064513424,-0.5155358811219529,0.35121107266435986,0.35121107266435986
nonoverlap,VminusC,overlap_tertile,tertile_mid,527,0.6681486713172726,0.6872055056438044,0.7090983390808107,-1.14638106897061,-0.4591755633268053,-0.6872055056438044,-0.7090983390808105,0.33586337760910817,0.33586337760910817
nonoverlap,VminusC,overlap_tertile,tertile_high,360,0.89198910657244,0.8288897916381419,0.9080999493598938,-1.3662163520128363,-0.5373265603746943,-0.8288897916381419,-0.9080999493598931,0.3527777777777778,0.3527777777777778
nonoverlap,VminusR,overlap_tertile,tertile_low,578,0.453249390535404,1.1078837450729058,0.8907138705253601,-1.3438360833787417,-0.23595233830583584,-1.1078837450729058,-0.8907138705253604,0.2560553633217993,0.2560553633217993
nonoverlap,VminusR,overlap_tertile,tertile_mid,527,0.6681486713172726,1.438506285781465,1.3203403800725937,-1.5900280824317528,-0.15152179665028798,-1.438506285781465,-1.3203403800725932,0.22011385199240988,0.22011385199240988
nonoverlap,VminusR,overlap_tertile,tertile_high,360,0.89198910657244,2.0414974470088185,1.617366631825765,-2.183771116979834,-0.14227366997101515,-2.041497447008819,-1.6173666318257651,0.19166666666666668,0.19166666666666668
overlap,RSminusC,overlap_tertile,tertile_low,572,0.4541867384547731,-0.8228626178415674,-0.8594671115279198,0.07823013754783792,-0.7446324802937295,0.8228626178415674,0.85946711152792,0.7167832167832168,0.7167832167832168
overlap,RSminusC,overlap_tertile,tertile_mid,526,0.6682782315289023,-0.8639692126807824,-0.8508771462365985,0.09980303733724705,-0.7641661753435354,0.8639692126807824,0.8508771462365985,0.7243346007604563,0.7243346007604563
overlap,RSminusC,overlap_tertile,tertile_high,521,0.9246873514627834,-0.6535674657962974,-0.620833837116758,-0.04282596413549918,-0.6963934299317966,0.6535674657962973,0.6208338371167578,0.6928982725527831,0.6928982725527831
overlap,RSminusR,overlap_tertile,tertile_low,572,0.4541867384547731,-0.6291378343088506,-0.5710306341449419,0.1849589685696497,-0.4441788657392008,0.6291378343088505,0.5710306341449418,0.6783216783216783,0.6783216783216783
overlap,RSminusR,overlap_tertile,tertile_mid,526,0.6682782315289023,-0.4377559701819444,-0.4704832021767893,0.16200487375441183,-0.2757510964275327,0.4377559701819445,0.4704832021767896,0.6463878326996197,0.6463878326996197
overlap,RSminusR,overlap_tertile,tertile_high,521,0.9246873514627834,-0.4754246275414524,-0.48285073849062127,0.08372495961178902,-0.3916996679296633,0.47542462754145237,0.48285073849062127,0.6660268714011516,0.6660268714011516
overlap,RminusC,overlap_tertile,tertile_low,572,0.4541867384547731,-0.1937247835327168,-0.20202099252492206,-0.10672883102181177,-0.30045361455452857,0.19372478353271685,0.20202099252492167,0.5524475524475524,0.5524475524475524
overlap,RminusC,overlap_tertile,tertile_mid,526,0.6682782315289023,-0.42621324249883785,-0.3525324933580123,-0.06220183641716475,-0.48841507891600267,0.4262132424988379,0.35253249335801196,0.6197718631178707,0.6197718631178707
overlap,RminusC,overlap_tertile,tertile_high,521,0.9246873514627834,-0.17814283825484503,-0.07517660222947627,-0.12655092374728819,-0.3046937620021333,0.17814283825484506,0.07517660222947599,0.525911708253359,0.525911708253359
overlap,VminusC,overlap_tertile,tertile_low,572,0.4541867384547731,0.6014238055202331,0.36125649387637776,-0.9138286162298144,-0.3124048107095814,-0.6014238055202331,-0.36125649387637804,0.39335664335664333,0.39335664335664333
overlap,VminusC,overlap_tertile,tertile_mid,526,0.6682782315289023,0.6374936960621339,0.42034977895673353,-1.102876080961571,-0.46538238489943706,-0.6374936960621339,-0.42034977895673364,0.3973384030418251,0.3973384030418251
overlap,VminusC,overlap_tertile,tertile_high,521,0.9246873514627834,0.4684305836667646,0.20195093750953674,-0.8417573232925899,-0.37332673962582535,-0.46843058366676454,-0.20195093750953674,0.43953934740882916,0.43953934740882916
overlap,VminusR,overlap_tertile,tertile_low,572,0.4541867384547731,0.7951485890529498,0.48811208937938033,-0.8070997852080026,-0.01195119615505277,-0.7951485890529498,-0.4881120893793802,0.3741258741258741,0.3741258741258741
overlap,VminusR,overlap_tertile,tertile_mid,526,0.6682782315289023,1.0637069385609716,0.7522874412437279,-1.0406742445444064,0.023032694016565557,-1.0637069385609716,-0.7522874412437281,0.30228136882129275,0.30228136882129275
overlap,VminusR,overlap_tertile,tertile_high,521,0.9246873514627834,0.6465734219216096,0.28589875996112807,-0.7152063995453017,-0.06863297762369208,-0.6465734219216096,-0.28589875996112823,0.3934740882917466,0.3934740882917466
