pair_id,source_content_word_types,rewrite_content_word_types,shared_content_word_types,word_jaccard,rewrite_overlap_frac,source_overlap_frac,rewrite_new_frac,source_words_raw,rewrite_words_raw,overlap_fixed_bin,overlap_tertile
compact:frontier_consolidation_fwcompact_medium_006297,21,14,7,0.25,0.5,0.3333333333333333,0.5,43,20,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_038651,26,17,11,0.34375,0.6470588235294118,0.4230769230769231,0.3529411764705882,46,23,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_058642,23,13,8,0.2857142857142857,0.6153846153846154,0.34782608695652173,0.3846153846153846,43,18,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_019796,11,10,8,0.6153846153846154,0.8,0.7272727272727273,0.19999999999999996,14,13,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_044450,9,8,8,0.8888888888888888,1.0,0.8888888888888888,0.0,14,12,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_034393,15,10,6,0.3157894736842105,0.6,0.4,0.4,27,10,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_002283,22,15,8,0.27586206896551724,0.5333333333333333,0.36363636363636365,0.4666666666666667,36,16,high_50_75,tertile_low
compact:frontier_consolidation_fwcompact_medium_044738,11,7,5,0.38461538461538464,0.7142857142857143,0.45454545454545453,0.2857142857142857,21,10,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_008076,21,14,9,0.34615384615384615,0.6428571428571429,0.42857142857142855,0.3571428571428571,44,17,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_016698,7,5,3,0.3333333333333333,0.6,0.42857142857142855,0.4,13,6,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_018372,7,7,5,0.5555555555555556,0.7142857142857143,0.7142857142857143,0.2857142857142857,13,13,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_003770,9,7,5,0.45454545454545453,0.7142857142857143,0.5555555555555556,0.2857142857142857,15,9,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_045363,19,10,7,0.3181818181818182,0.7,0.3684210526315789,0.30000000000000004,27,14,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_029453,13,11,8,0.5,0.7272727272727273,0.6153846153846154,0.2727272727272727,29,14,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_055603,20,14,7,0.25925925925925924,0.5,0.35,0.5,32,16,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_015561,19,14,8,0.32,0.5714285714285714,0.42105263157894735,0.4285714285714286,45,18,high_50_75,tertile_low
compact:frontier_consolidation_fwcompact_medium_053929,22,14,10,0.38461538461538464,0.7142857142857143,0.45454545454545453,0.2857142857142857,45,21,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_059238,19,13,7,0.28,0.5384615384615384,0.3684210526315789,0.46153846153846156,45,23,high_50_75,tertile_low
compact:frontier_consolidation_fwcompact_medium_040052,6,6,4,0.5,0.6666666666666666,0.6666666666666666,0.33333333333333337,10,9,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_037371,8,8,8,1.0,1.0,1.0,0.0,10,9,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_050000,5,4,3,0.5,0.75,0.6,0.25,11,6,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_027762,8,4,3,0.3333333333333333,0.75,0.375,0.25,12,6,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_043414,5,4,3,0.5,0.75,0.6,0.25,12,5,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_027814,10,9,9,0.9,1.0,0.9,0.0,13,12,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_027660,9,7,3,0.23076923076923078,0.42857142857142855,0.3333333333333333,0.5714285714285714,13,9,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_018113,8,7,4,0.36363636363636365,0.5714285714285714,0.5,0.4285714285714286,14,10,high_50_75,tertile_low
