pair_id,gain_a,true_a,unrel_a,gain_b,true_b,unrel_b,seed,checkpoint,token_class,contrast,gain_delta,true_delta,unrel_delta,excess_true_cost,source_content_word_types,rewrite_content_word_types,shared_content_word_types,word_jaccard,rewrite_overlap_frac,source_overlap_frac,rewrite_new_frac,source_words_raw,rewrite_words_raw,overlap_fixed_bin,overlap_tertile
compact:frontier_consolidation_fwcompact_expansion_000126,4.55064058303833,4.844489574432373,9.395130157470703,3.17307710647583,6.782801628112793,9.955878734588623,43022,chck_100M,nonoverlap,RminusC,1.3775634765625,-1.93831205368042,-0.5607485771179199,-1.3775634765625,9,7,5,0.45454545454545453,0.7142857142857143,0.5555555555555556,0.2857142857142857,11,7,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_expansion_000164,1.4354937076568604,4.121694087982178,5.557187795639038,2.8205459117889404,5.08154559135437,7.9020915031433105,43022,chck_100M,nonoverlap,RminusC,-1.38505220413208,-0.9598515033721924,-2.3449037075042725,1.38505220413208,5,4,2,0.2857142857142857,0.5,0.4,0.5,11,8,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_expansion_000275,-1.1975371837615967,8.01972246170044,6.822185277938843,0.11880898475646977,5.753592252731323,5.872401237487793,43022,chck_100M,nonoverlap,RminusC,-1.3163461685180664,2.266130208969116,0.9497840404510498,1.3163461685180664,7,5,4,0.5,0.8,0.5714285714285714,0.19999999999999996,12,7,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_expansion_000286,2.8645249605178833,8.115506529808044,10.980031490325928,0.7031493186950684,9.436408519744873,10.139557838439941,43022,chck_100M,nonoverlap,RminusC,2.161375641822815,-1.3209019899368286,0.8404736518859863,-2.161375641822815,10,7,5,0.4166666666666667,0.7142857142857143,0.5,0.2857142857142857,13,9,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_expansion_000565,-1.012155055999756,7.5155816078186035,6.503426551818848,-2.319608688354492,7.522313117980957,5.202704429626465,43022,chck_100M,nonoverlap,RminusC,1.307453632354736,-0.006731510162353516,1.3007221221923828,-1.3074536323547363,8,4,3,0.3333333333333333,0.75,0.375,0.25,12,7,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_expansion_000594,0.2525918483734131,4.353999361395836,4.606591209769249,0.5375330746173859,4.29194287955761,4.829475954174995,43022,chck_100M,nonoverlap,RminusC,-0.2849412262439728,0.06205648183822632,-0.22288474440574646,0.2849412262439728,7,4,1,0.1,0.25,0.14285714285714285,0.75,12,8,low_<25,tertile_low
compact:frontier_consolidation_fwcompact_expansion_000883,-3.6821300983428955,9.912681102752686,6.23055100440979,-1.2941322326660156,9.15091323852539,7.856781005859375,43022,chck_100M,nonoverlap,RminusC,-2.38799786567688,0.7617678642272949,-1.626230001449585,2.38799786567688,11,6,3,0.21428571428571427,0.5,0.2727272727272727,0.5,22,9,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_expansion_000886,1.7498176097869873,4.4368908405303955,6.186708450317383,2.311511754989624,4.691929340362549,7.003441095352173,43022,chck_100M,nonoverlap,RminusC,-0.5616941452026367,-0.2550384998321533,-0.81673264503479,0.5616941452026367,7,4,2,0.2222222222222222,0.5,0.2857142857142857,0.5,10,6,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_expansion_000899,-2.379192352294922,11.678821563720703,9.299629211425781,-1.9115548133850098,10.844161987304688,8.932607173919678,43022,chck_100M,nonoverlap,RminusC,-0.4676375389099121,0.8346595764160156,0.3670220375061035,0.4676375389099121,9,6,5,0.5,0.8333333333333334,0.5555555555555556,0.16666666666666663,12,7,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_expansion_001020,1.6982359886169434,6.6918723583221436,8.390108346939087,2.191232919692993,6.595836400985718,8.787069320678711,43022,chck_100M,nonoverlap,RminusC,-0.4929969310760498,0.09603595733642578,-0.396960973739624,0.4929969310760498,7,5,5,0.7142857142857143,1.0,0.7142857142857143,0.0,10,6,very_high_75_100,tertile_high
