token_class,contrast,bin_col,bin,n_pairs,overlap_mean,gain_mean,gain_median,true_mean,unrel_mean,excess_mean,excess_median,frac_gain_negative,frac_excess_positive
nonoverlap,RSminusC,overlap_fixed_bin,low_<25,28,0.21904761904761907,0.2656369668298534,0.0890433037032684,-0.42559740381936234,-0.1599604369895089,-0.2656369668298535,-0.08904330370326836,0.5,0.5
nonoverlap,RSminusC,overlap_fixed_bin,mid_25_50,474,0.4492414231338282,0.033350097779158386,0.04561269283294677,-0.6111855966297048,-0.5778354988505463,-0.03335009777915838,-0.04561269283294678,0.47890295358649787,0.47890295358649787
nonoverlap,RSminusC,overlap_fixed_bin,high_50_75,603,0.6550891038389691,-0.08896829364777556,-0.05040470759073908,-0.5191525595159423,-0.608120853163718,0.08896829364777555,0.05040470759073893,0.5157545605306799,0.5157545605306799
nonoverlap,RSminusC,overlap_fixed_bin,very_high_75_100,360,0.89198910657244,-0.10691083269883635,-0.10889219244321191,-0.44348562087656723,-0.5503964535754037,0.10691083269883639,0.10889219244321187,0.5222222222222223,0.5222222222222223
nonoverlap,RSminusR,overlap_fixed_bin,low_<25,28,0.21904761904761907,0.3905892680133028,0.43022195498148585,-0.4243389639471259,-0.03374969593382304,-0.3905892680133028,-0.43022195498148597,0.39285714285714285,0.39285714285714285
nonoverlap,RSminusR,overlap_fixed_bin,mid_25_50,474,0.4492414231338282,0.618639061992409,0.45826198657353723,-0.9672869595577194,-0.34864789756531034,-0.618639061992409,-0.4582619865735372,0.37130801687763715,0.37130801687763715
nonoverlap,RSminusR,overlap_fixed_bin,high_50_75,603,0.6550891038389691,0.6287974413200408,0.5448153018951416,-0.9264770271003012,-0.2976795857802606,-0.6287974413200408,-0.5448153018951413,0.3482587064676617,0.3482587064676617
nonoverlap,RSminusR,overlap_fixed_bin,very_high_75_100,360,0.89198910657244,1.1056968226718407,0.8639585971832278,-1.261040385843565,-0.15534356317172449,-1.1056968226718407,-0.8639585971832279,0.3055555555555556,0.3055555555555556
nonoverlap,RminusC,overlap_fixed_bin,low_<25,28,0.21904761904761907,-0.12495230118344937,0.11417806148529053,-0.0012584398722364845,-0.12621074105568583,0.12495230118344933,-0.11417806148529067,0.4642857142857143,0.4642857142857143
nonoverlap,RminusC,overlap_fixed_bin,mid_25_50,474,0.4492414231338282,-0.5852889642132507,-0.448469340801239,0.35610136292801464,-0.22918760128523605,0.5852889642132506,0.44846934080123907,0.6434599156118144,0.6434599156118144
nonoverlap,RminusC,overlap_fixed_bin,high_50_75,603,0.6550891038389691,-0.7177657349678164,-0.5518674055735271,0.40732446758435903,-0.31044126738345734,0.7177657349678164,0.5518674055735273,0.6500829187396352,0.6500829187396352
nonoverlap,RminusC,overlap_fixed_bin,very_high_75_100,360,0.89198910657244,-1.2126076553706768,-0.9329310059547424,0.8175547649669979,-0.3950528904036792,1.2126076553706768,0.9329310059547423,0.7166666666666667,0.7166666666666667
nonoverlap,VminusC,overlap_fixed_bin,low_<25,28,0.21904761904761907,0.34494245331734424,0.5015296035756668,-0.5578748797554345,-0.21293242643809024,-0.3449424533173443,-0.5015296035756668,0.42857142857142855,0.42857142857142855
nonoverlap,VminusC,overlap_fixed_bin,mid_25_50,474,0.4492414231338282,0.5594707938256961,0.5102548698584238,-1.0340668927438024,-0.4745960989181062,-0.5594707938256961,-0.5102548698584237,0.350210970464135,0.350210970464135
