case_id,source,target_token,prefix_tokens,later_tokens,target_idx,wwm_lp_full,wwm_lp_deleted,wwm_lp_shuffled,wwm_lp_same_near,wwm_lp_cross_near,wwm_delta_deleted,wwm_delta_shuffled,wwm_delta_same_near,wwm_delta_cross_near,wwm_spec_same_vs_cross,wwm_spec_deleted_vs_cross,cpc_same_lp_full,cpc_same_lp_deleted,cpc_same_lp_shuffled,cpc_same_lp_same_near,cpc_same_lp_cross_near,cpc_same_delta_deleted,cpc_same_delta_shuffled,cpc_same_delta_same_near,cpc_same_delta_cross_near,cpc_same_spec_same_vs_cross,cpc_same_spec_deleted_vs_cross,cpc_cross_lp_full,cpc_cross_lp_deleted,cpc_cross_lp_shuffled,cpc_cross_lp_same_near,cpc_cross_lp_cross_near,cpc_cross_delta_deleted,cpc_cross_delta_shuffled,cpc_cross_delta_same_near,cpc_cross_delta_cross_near,cpc_cross_spec_same_vs_cross,cpc_cross_spec_deleted_vs_cross,same_minus_wwm_delta_deleted,same_minus_wwm_delta_shuffled,same_minus_wwm_delta_same_near,same_minus_wwm_delta_cross_near,same_minus_wwm_spec_same_vs_cross,same_minus_wwm_spec_deleted_vs_cross,cross_minus_wwm_delta_deleted,cross_minus_wwm_delta_shuffled,cross_minus_wwm_delta_same_near,cross_minus_wwm_delta_cross_near,cross_minus_wwm_spec_same_vs_cross,cross_minus_wwm_spec_deleted_vs_cross,wwm_sensitivity_score
0,bnc_spoken.train.txt,Ġlike,111,110,28,-6.067220687866211,-6.067193508148193,-6.067224502563477,-6.0672502517700195,-6.067292213439941,-2.7179718017578125e-05,3.814697265625e-06,2.956390380859375e-05,7.152557373046875e-05,-4.1961669921875e-05,-9.870529174804688e-05,-6.251574516296387,-6.251574516296387,-6.25157356262207,-6.251574516296387,-6.184579372406006,0.0,-9.5367431640625e-07,0.0,-0.06699514389038086,0.06699514389038086,0.06699514389038086,-6.143174171447754,-6.143174171447754,-6.143174648284912,-6.143174171447754,-6.143174171447754,0.0,4.76837158203125e-07,0.0,0.0,0.0,0.0,2.7179718017578125e-05,-4.76837158203125e-06,-2.956390380859375e-05,-0.06706666946411133,0.06703710556030273,0.0670938491821289,2.7179718017578125e-05,-3.337860107421875e-06,-2.956390380859375e-05,-7.152557373046875e-05,4.1961669921875e-05,9.870529174804688e-05,2.956390380859375e-05
1,bnc_spoken.train.txt,Ġlittle,100,105,29,-7.199582099914551,-7.1995978355407715,-7.199573516845703,-7.199607849121094,-7.2002129554748535,1.5735626220703125e-05,-8.58306884765625e-06,2.574920654296875e-05,0.0006308555603027344,-0.0006051063537597656,-0.0006151199340820312,-7.548854827880859,-7.548852920532227,-7.548854827880859,-7.548856735229492,-7.281297206878662,-1.9073486328125e-06,0.0,1.9073486328125e-06,-0.26755762100219727,0.2675595283508301,0.26755571365356445,-7.061378002166748,-7.06137752532959,-7.06137752532959,-7.061378002166748,-7.061378002166748,-4.76837158203125e-07,-4.76837158203125e-07,0.0,0.0,0.0,-4.76837158203125e-07,-1.7642974853515625e-05,8.58306884765625e-06,-2.384185791015625e-05,-0.2681884765625,0.26816463470458984,0.2681708335876465,-1.621246337890625e-05,8.106231689453125e-06,-2.574920654296875e-05,-0.0006308555603027344,0.0006051063537597656,0.0006146430969238281,2.574920654296875e-05
2,bnc_spoken.train.txt,Ġain,99,102,25,-12.73076343536377,-12.73076343536377,-12.730796813964844,-12.730751037597656,-12.730751037597656,0.0,3.337860107421875e-05,-1.239776611328125e-05,-1.239776611328125e-05,0.0,1.239776611328125e-05,-12.71407699584961,-12.714076042175293,-12.714076042175293,-12.714073181152344,-13.305366516113281,-9.5367431640625e-07,-9.5367431640625e-07,-3.814697265625e-06,0.5912895202636719,-0.5912933349609375,-0.5912904739379883,-12.717148780822754,-12.717148780822754,-12.717147827148438,-12.717147827148438,-12.71714973449707,0.0,-9.5367431640625e-07,-9.5367431640625e-07,9.5367431640625e-07,-1.9073486328125e-06,-9.5367431640625e-07,-9.5367431640625e-07,-3.4332275390625e-05,8.58306884765625e-06,0.5913019180297852,-0.5912933349609375,-0.5913028717041016,0.0,-3.4332275390625e-05,1.1444091796875e-05,1.33514404296875e-05,-1.9073486328125e-06,-1.33514404296875e-05,3.337860107421875e-05
3,bnc_spoken.train.txt,ĠAfter,109,103,28,-10.674663543701172,-10.674660682678223,-10.674678802490234,-10.67436695098877,-10.674654006958008,-2.86102294921875e-06,1.52587890625e-05,-0.00029659271240234375,-9.5367431640625e-06,-0.00028705596923828125,6.67572021484375e-06,-10.304954528808594,-10.304954528808594,-10.304954528808594,-10.304956436157227,-12.556910514831543,0.0,0.0,1.9073486328125e-06,2.251955986022949,-2.2519540786743164,-2.251955986022949,-11.549659729003906,-11.54965877532959,-11.549659729003906,-11.549659729003906,-11.549659729003906,-9.5367431640625e-07,0.0,0.0,0.0,0.0,-9.5367431640625e-07,2.86102294921875e-06,-1.52587890625e-05,0.00029850006103515625,2.2519655227661133,-2.251667022705078,-2.251962661743164,1.9073486328125e-06,-1.52587890625e-05,0.00029659271240234375,9.5367431640625e-06,0.00028705596923828125,-7.62939453125e-06,0.00029659271240234375
4,bnc_spoken.train.txt,Ġroom,99,102,26,-8.59814167022705,-8.598037719726562,-8.598145484924316,-8.598012924194336,-8.598001480102539,-0.00010395050048828125,3.814697265625e-06,-0.00012874603271484375,-0.00014019012451171875,1.1444091796875e-05,3.62396240234375e-05,-9.068120956420898,-9.068120956420898,-9.068120956420898,-9.068120002746582,-8.55077075958252,0.0,0.0,-9.5367431640625e-07,-0.5173501968383789,0.5173492431640625,0.5173501968383789,-8.815448760986328,-8.815448760986328,-8.815448760986328,-8.815448760986328,-8.815448760986328,0.0,0.0,0.0,0.0,0.0,0.0,0.00010395050048828125,-3.814697265625e-06,0.0001277923583984375,-0.5172100067138672,0.5173377990722656,0.5173139572143555,0.00010395050048828125,-3.814697265625e-06,0.00012874603271484375,0.00014019012451171875,-1.1444091796875e-05,-3.62396240234375e-05,0.00012874603271484375
5,bnc_spoken.train.txt,Ġheard,105,95,23,-9.525798797607422,-9.525960922241211,-9.525812149047852,-9.52586841583252,-9.52646255493164,0.0001621246337890625,1.33514404296875e-05,6.961822509765625e-05,0.00066375732421875,-0.0005941390991210938,-0.0005016326904296875,-9.03573989868164,-9.035740852355957,-9.03573989868164,-9.035741806030273,-10.508519172668457,9.5367431640625e-07,0.0,1.9073486328125e-06,1.4727792739868164,-1.4727773666381836,-1.4727783203125,-9.388225555419922,-9.388225555419922,-9.388225555419922,-9.388225555419922,-9.388225555419922,0.0,0.0,0.0,0.0,0.0,0.0,-0.00016117095947265625,-1.33514404296875e-05,-6.771087646484375e-05,1.4721155166625977,-1.4721832275390625,-1.4722766876220703,-0.0001621246337890625,-1.33514404296875e-05,-6.961822509765625e-05,-0.00066375732421875,0.0005941390991210938,0.0005016326904296875,0.0001621246337890625
6,bnc_spoken.train.txt,Ġcouncil,97,93,23,-8.695042610168457,-8.695027351379395,-8.695051193237305,-8.694981575012207,-8.695159912109375,-1.52587890625e-05,8.58306884765625e-06,-6.103515625e-05,0.00011730194091796875,-0.00017833709716796875,-0.00013256072998046875,-8.512491226196289,-8.512491226196289,-8.512491226196289,-8.512489318847656,-9.603500366210938,0.0,0.0,-1.9073486328125e-06,1.0910091400146484,-1.0910110473632812,-1.0910091400146484,-8.654631614685059,-8.654631614685059,-8.654631614685059,-8.654631614685059,-8.654631614685059,0.0,0.0,0.0,0.0,0.0,0.0,1.52587890625e-05,-8.58306884765625e-06,5.91278076171875e-05,1.0908918380737305,-1.0908327102661133,-1.090876579284668,1.52587890625e-05,-8.58306884765625e-06,6.103515625e-05,-0.00011730194091796875,0.00017833709716796875,0.00013256072998046875,6.103515625e-05
7,bnc_spoken.train.txt,Ġinvitation,97,104,29,-11.776389122009277,-11.776235580444336,-11.776250839233398,-11.777046203613281,-11.778687477111816,-0.00015354156494140625,-0.00013828277587890625,0.0006570816040039062,0.0022983551025390625,-0.0016412734985351562,-0.0024518966674804688,-11.275474548339844,-11.275476455688477,-11.275474548339844,-11.275474548339844,-12.76032543182373,1.9073486328125e-06,0.0,0.0,1.4848508834838867,-1.4848508834838867,-1.484848976135254,-11.673526763916016,-11.673526763916016,-11.673526763916016,-11.673528671264648,-11.673527717590332,0.0,0.0,1.9073486328125e-06,9.5367431640625e-07,9.5367431640625e-07,-9.5367431640625e-07,0.00015544891357421875,0.00013828277587890625,-0.0006570816040039062,1.4825525283813477,-1.4832096099853516,-1.4823970794677734,0.00015354156494140625,0.00013828277587890625,-0.0006551742553710938,-0.0022974014282226562,0.0016422271728515625,0.0024509429931640625,0.0006570816040039062
8,bnc_spoken.train.txt,Ġleft,103,109,28,-8.489272117614746,-8.489909172058105,-8.488777160644531,-8.489943504333496,-8.489908218383789,0.000637054443359375,-0.0004949569702148438,0.00067138671875,0.0006361007690429688,3.528594970703125e-05,9.5367431640625e-07,-8.156221389770508,-8.156217575073242,-8.156221389770508,-8.15621280670166,-8.9805908203125,-3.814697265625e-06,0.0,-8.58306884765625e-06,0.8243694305419922,-0.8243780136108398,-0.8243732452392578,-8.55084228515625,-8.55084228515625,-8.55084228515625,-8.55084228515625,-8.55084228515625,0.0,0.0,0.0,0.0,0.0,0.0,-0.000640869140625,0.0004949569702148438,-0.0006799697875976562,0.8237333297729492,-0.8244132995605469,-0.8243741989135742,-0.000637054443359375,0.0004949569702148438,-0.00067138671875,-0.0006361007690429688,-3.528594970703125e-05,-9.5367431640625e-07,0.00067138671875
9,bnc_spoken.train.txt,Ġcoming,102,91,23,-8.072784423828125,-8.072758674621582,-8.072786331176758,-8.072761535644531,-8.073142051696777,-2.574920654296875e-05,1.9073486328125e-06,-2.288818359375e-05,0.00035762786865234375,-0.00038051605224609375,-0.0003833770751953125,-7.9566545486450195,-7.956654071807861,-7.9566545486450195,-7.9566545486450195,-8.908315658569336,-4.76837158203125e-07,0.0,0.0,0.9516611099243164,-0.9516611099243164,-0.9516615867614746,-8.098278045654297,-8.098278045654297,-8.098278045654297,-8.098278045654297,-8.098278045654297,0.0,0.0,0.0,0.0,0.0,0.0,2.5272369384765625e-05,-1.9073486328125e-06,2.288818359375e-05,0.9513034820556641,-0.9512805938720703,-0.9512782096862793,2.574920654296875e-05,-1.9073486328125e-06,2.288818359375e-05,-0.00035762786865234375,0.00038051605224609375,0.0003833770751953125,2.574920654296875e-05
